"HospitalName","Description","Price","Address","Zip","City","StaffedBeds","TotalDischarges","PatientDays","GrossPatientRevenue","long","lat"
"Northeast Regional Medical Center","NORM SALINE 250ML IV",35,"315 South Osteopathy, Kirksville, MO, 63501",63501,"Kirksville",73,NA,9047,320798,-92.59086,40.19272
"Poplar Bluff Regional Medical Center - Oak Grove","NORMAL SALINE FLUSH 10ML      ",3.61,"3100 Oak Grove Rd, Poplar Bluff, MO, 63901",63901,"Poplar Bluff",221,NA,43116,1367325,-90.443287,36.788987
"Poplar Bluff Regional Medical Center - Oak Grove","FLUCONAZOLE 100MG/50ML SALINE ",745.55,"3100 Oak Grove Rd, Poplar Bluff, MO, 63901",63901,"Poplar Bluff",221,NA,43116,1367325,-90.443287,36.788987
"Southeast Hospital","Heparin In Saline-pressure Bag 00338-0431-03",11.87,"1701 Lacey Street, Cape Girardeau, MO, 63701",63701,"Cape Girardeau",222,NA,37700,1083546,-89.54289,37.311756
"Southeast Hospital","Heparin In Saline-pressure Bag 00338-0433-04",17.55,"1701 Lacey Street, Cape Girardeau, MO, 63701",63701,"Cape Girardeau",222,NA,37700,1083546,-89.54289,37.311756
"Southeast Hospital","Esmolol In Saline 10019-0055-61",869.25,"1701 Lacey Street, Cape Girardeau, MO, 63701",63701,"Cape Girardeau",222,NA,37700,1083546,-89.54289,37.311756
"Southeast Hospital","Hetastarch/saline 6%",50.76,"1701 Lacey Street, Cape Girardeau, MO, 63701",63701,"Cape Girardeau",222,NA,37700,1083546,-89.54289,37.311756
"Southeast Hospital","Saline Normal  5000cc  2b7479",300.46,"1701 Lacey Street, Cape Girardeau, MO, 63701",63701,"Cape Girardeau",222,NA,37700,1083546,-89.54289,37.311756
"Southeast Hospital","Saline Normal 1000cc 2f7124",34.71,"1701 Lacey Street, Cape Girardeau, MO, 63701",63701,"Cape Girardeau",222,NA,37700,1083546,-89.54289,37.311756
"Southeast Hospital","Saline Normal 500cc 2f7123",34.71,"1701 Lacey Street, Cape Girardeau, MO, 63701",63701,"Cape Girardeau",222,NA,37700,1083546,-89.54289,37.311756
"Southeast Health Center of Stoddard County","US SALINE INF SONOHYST",824,"1200 N 1 Mile Rd, Dexter, MO, 63841",63841,"Dexter",48,817,2153,67288,-89.9701,36.806152
"Southeast Health Center of Stoddard County","PB US SALINE INF SONOHYST",824,"1200 N 1 Mile Rd, Dexter, MO, 63841",63841,"Dexter",48,817,2153,67288,-89.9701,36.806152
"Southeast Health Center of Stoddard County","WOUND WASH SALINE SPRAY",18,"1200 N 1 Mile Rd, Dexter, MO, 63841",63841,"Dexter",48,817,2153,67288,-89.9701,36.806152
"Southeast Health Center of Stoddard County","SALINE NASAL SPRAY 0.65%",4,"1200 N 1 Mile Rd, Dexter, MO, 63841",63841,"Dexter",48,817,2153,67288,-89.9701,36.806152
"Southeast Health Center of Stoddard County","0.9% NORMAL SALINE 30ML/KG BOLUS",35,"1200 N 1 Mile Rd, Dexter, MO, 63841",63841,"Dexter",48,817,2153,67288,-89.9701,36.806152
"Saint Luke's Des Peres Hospital","SILVER SALINE WND45GM GL",131,"2345 Dougherty Ferry Rd, St. Louis, MO, 63122",63122,"Saint Louis",88,NA,13879,478258,-90.44815,38.58157
"Saint Luke's East Hospital","IMPLANT BREAST SALINE SMOOTH RND HIGH PROFILE 630ML 350-3630",1050,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","HC BREAST SIZER VOLUME 500ML ROUND HIGH PROFILE SALINE STRL 351-3500SZ",167,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","AYR SALINE NASAL GEL",15.15,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's East Hospital","BABY AYR SALINE 0.65 % NASAL DROPS",12.35,"100 NE St Lukes Blvd, Lee's Summit, MO, 64086",64086,"Lee's Summit",184,NA,51826,1230676,-94.38195,38.94175
"Saint Luke's Hospital","IMPLANT TESTICULAR PROSTHESIS SALINE MED 450-1327 (NON-RETURNABLE)",5955,"232 S Woods Mill Rd, Chesterfield, MO, 63017",63017,"Chesterfield",462,NA,63821,1511123,-90.50342,38.6515
"Saint Luke's Hospital","IMPLANT BREAST CONTOUR PROFILE SPECTRUM SALINE 550ML 354-2514",3300,"232 S Woods Mill Rd, Chesterfield, MO, 63017",63017,"Chesterfield",462,NA,63821,1511123,-90.50342,38.6515
"Saint Luke's Hospital","HC MISTER SALINE BLOWER W/MALLEABLE WAND & SURE GRIP HEXAGONAL HANDLE  001-402-210",400,"232 S Woods Mill Rd, Chesterfield, MO, 63017",63017,"Chesterfield",462,NA,63821,1511123,-90.50342,38.6515
"Saint Luke's Hospital","HC BREAST SIZER SALINE LOW PROFILE 600ML STYLE 68LP SZLP68600",87,"232 S Woods Mill Rd, Chesterfield, MO, 63017",63017,"Chesterfield",462,NA,63821,1511123,-90.50342,38.6515
"Saint Luke's Hospital","HC BREAST SIZER SALINE DISP 750ML SZHP68750",87,"232 S Woods Mill Rd, Chesterfield, MO, 63017",63017,"Chesterfield",462,NA,63821,1511123,-90.50342,38.6515
"Saint Luke's Hospital","HC BREAST SIZER VOLUME 175  50ML ROUND VOLUME  SALINE STRL 351-175SZ",175,"232 S Woods Mill Rd, Chesterfield, MO, 63017",63017,"Chesterfield",462,NA,63821,1511123,-90.50342,38.6515
"Saint Luke's Hospital","HC BREAST SIZER VOLUME 500ML ROUND HIGH PROFILE SALINE STRL 351-3500SZ",175,"232 S Woods Mill Rd, Chesterfield, MO, 63017",63017,"Chesterfield",462,NA,63821,1511123,-90.50342,38.6515
"Saint Luke's Hospital","AYR SALINE NASAL GEL",15.12,"232 S Woods Mill Rd, Chesterfield, MO, 63017",63017,"Chesterfield",462,NA,63821,1511123,-90.50342,38.6515
"Saint Luke's Hospital","BABY AYR SALINE 0.65 % NASAL DROPS",12.35,"232 S Woods Mill Rd, Chesterfield, MO, 63017",63017,"Chesterfield",462,NA,63821,1511123,-90.50342,38.6515
"Capital Region Medical Center","Y    SALINE 0.65% NASAL SOLN 45 ML",0.67,"1125 Madison Street, Jefferson City, MO, 65101",65101,"Jefferson City",114,NA,17048,502476,-92.18203,38.56665
"University of Missouri Hospital","HYPERTONIC SALINE 3.5% NEB SOLN, 4 ML NF",5.62,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","HYPERTONIC SALINE 7% NEB SOLN, 4 ML VIAL",5.62,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","HYPERTONIC SALINE NASAL IRRIGATION",69.63,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","SMOG ENEMA (SALINE//MINERAL OIL/GLYCERIN), 150 ML",69.63,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","BARD DS4001 CASETTE VAC AND RINSE SALINE TUB",173,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","COLOPLAST 96-450-1329 TESTICULAR PROS SALINE FILLED LARGE",11842,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 350-1610 IMPLANT BRST SMTH RND MOD SALINE 125+25CC",2480,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 350-1650 IMPLANT SALINE MODERATE STYLE 1600",2480,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 350-2175 IMPLANT BREAST RND MOD SALINE 175+ 35CC",2480,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 350-2200 IMPLANT BREAST RND MOD SALINE 200 + 40CC",2480,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 350-2275 IMPLANT BREAST RND MOD SALINE 275+ 55CC",2480,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 350-2300 IMPLANT BREAST RND MOD SALINE 300+ 60CC",2480,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 350-2325 IMPLANT BREAST RND MOD SALINE 325+ 65CC",2480,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 350-2350 IMP BREAST RND MOD SALINE 350 +70CC",2480,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 350-2425 IMPLANT BRST SMTH RND MOD+ SALINE 425CC",2480,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 350-2475 IMPLANT BRST MOD SMTH PLUS SALINE 450CC",2480,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 350-2700 IMP BREAST SM RND MOD PROF SALINE 350",2480,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 350-2800 IMPLANT BREAST SM RND MOD PROFILE SALINE",2480,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 350-3310 IMPLANT BREAST HI PROFILE SALINE 310CC",2480,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 350-3380 IMPLANT SMTH RND HIGH PROF SALINE 380CC",2480,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 350-3460 IMPLANT BRST SMTH RND HIPROF460CC SALINE",2480,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 351-2225SZ SIZER BREAST IMP MOD W/SALINE 225CC",248,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 351-2250SZ SIZER BREAST IMP MOD W/SALINE 250CC",248,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 351-2300SZ SIZER BREAST IMP MOD W/SALINE 300CC",248,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 351-2375SZ SIZER BREAST IMP MOD W/SALINE 375CC",248,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 351-2400SZ SIZER BREAST IMP MOD W/SALINE 400CC",248,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 351-2425SZ SIZER BREAST IMP MOD W/SALINE 425CC",248,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 351-2475SZ SIZER BREAST IMP MOD W/SALINE 475CC",248,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 351-3190SZ SIZER BREAST SALINE RND HIPROF 190-225CC",248,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 351-3230SZ SIZER BRST SALINE RND HI PROF 230ML",248,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 351-3270SZ SIZER BRST SALINE RND HI PROF 630ML",248,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 351-3310SZ SIZER BRST SALINE RND HIPROF 310-375CC",279,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 351-3330SZ SIZER BRST SALINE RND HI PROF 330ML",248,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 351-3380SZ SIZER BRST SALINE RND HI PROF 380ML",248,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 351-3420SZ SIZER BRST RND MOD SALINE HIPROF 420CC",248,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 351-3500SZ SIZER BRST RND MOD SALINE HI PROF 500CC",248,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","MENTOR 351-3630SZ SIZER BRST SALINE RND HIGH PROF 630ML",248,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","TISSUELINK MEDICAL 23-112-1 SEALER TISSUE BIPOLAR SALINE 6.0",3002,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"University of Missouri Hospital","ULRICH CS 3850-01 ADAPTER UCENTUM FOR DYE/SALINE INJECT",1860,"One Hospital Drive, Columbia, MO, 65212",65212,"Columbia",587,NA,126788,2595460,-92.3273683,38.9381449
"Ozarks Medical Center","PRE-FILLED SALINE SYRINGES 10M",4.5,"1100 Kentucky Avenue, West Plains, MO, 65775",65775,"West Plains",103,NA,19097,406891,-91.87558,36.738
"Ozarks Medical Center","PRE-FILLED SALINE SYRINGES 10M",4.5,"1100 Kentucky Avenue, West Plains, MO, 65775",65775,"West Plains",103,NA,19097,406891,-91.87558,36.738
"Ozarks Medical Center","FLUID (HEPARINIZED SALINE",45.5,"1100 Kentucky Avenue, West Plains, MO, 65775",65775,"West Plains",103,NA,19097,406891,-91.87558,36.738
"Pemiscot Memorial Health System","1/2 NORMAL SALINE 500ML INJ",12.5,"907 East Reed, Hayti, MO, 63851",63851,"Hayti",167,NA,4804,74792,-89.74066,36.236813
"Pemiscot Memorial Health System","NORMAL SALINE (.9%) 25ML",34.5,"907 East Reed, Hayti, MO, 63851",63851,"Hayti",167,NA,4804,74792,-89.74066,36.236813
"Pemiscot Memorial Health System","NORMAL SALINE 0.9% 100ML ADV",26.5,"907 East Reed, Hayti, MO, 63851",63851,"Hayti",167,NA,4804,74792,-89.74066,36.236813
"Pemiscot Memorial Health System","NORMAL SALINE 0.9% 250ML ADV",26.5,"907 East Reed, Hayti, MO, 63851",63851,"Hayti",167,NA,4804,74792,-89.74066,36.236813
"Pemiscot Memorial Health System","NORMAL SALINE 0.9% 50ML ADV",26.5,"907 East Reed, Hayti, MO, 63851",63851,"Hayti",167,NA,4804,74792,-89.74066,36.236813
"Pemiscot Memorial Health System","NORMAL SALINE 1000CC",34.5,"907 East Reed, Hayti, MO, 63851",63851,"Hayti",167,NA,4804,74792,-89.74066,36.236813
"Pemiscot Memorial Health System","NORMAL SALINE 1000ML IV",34.5,"907 East Reed, Hayti, MO, 63851",63851,"Hayti",167,NA,4804,74792,-89.74066,36.236813
"Pemiscot Memorial Health System","NORMAL SALINE 100ML IV",34.5,"907 East Reed, Hayti, MO, 63851",63851,"Hayti",167,NA,4804,74792,-89.74066,36.236813
"Pemiscot Memorial Health System","NORMAL SALINE 100ML MINIBAGP INJ",79.5,"907 East Reed, Hayti, MO, 63851",63851,"Hayti",167,NA,4804,74792,-89.74066,36.236813
"Pemiscot Memorial Health System","NORMAL SALINE 250ML IV",34.5,"907 East Reed, Hayti, MO, 63851",63851,"Hayti",167,NA,4804,74792,-89.74066,36.236813
"Pemiscot Memorial Health System","NORMAL SALINE 500ML IV",34.5,"907 East Reed, Hayti, MO, 63851",63851,"Hayti",167,NA,4804,74792,-89.74066,36.236813
"Pemiscot Memorial Health System","NORMAL SALINE 50ML IV",34.5,"907 East Reed, Hayti, MO, 63851",63851,"Hayti",167,NA,4804,74792,-89.74066,36.236813
"Pemiscot Memorial Health System","NORMAL SALINE 50ML MINIBAGP INJ",79.5,"907 East Reed, Hayti, MO, 63851",63851,"Hayti",167,NA,4804,74792,-89.74066,36.236813
"Pemiscot Memorial Health System","NORMAL SALINE P/5ML",1.5,"907 East Reed, Hayti, MO, 63851",63851,"Hayti",167,NA,4804,74792,-89.74066,36.236813
"Pemiscot Memorial Health System","NORMAL SALINE W 40 MEQ KCL  1000ML",63,"907 East Reed, Hayti, MO, 63851",63851,"Hayti",167,NA,4804,74792,-89.74066,36.236813
"Pemiscot Memorial Health System","NORMAL SALINE W/ 20MEQ KCL  1000ML",55,"907 East Reed, Hayti, MO, 63851",63851,"Hayti",167,NA,4804,74792,-89.74066,36.236813
"Pemiscot Memorial Health System","SALINE 9% 100ML",3.5,"907 East Reed, Hayti, MO, 63851",63851,"Hayti",167,NA,4804,74792,-89.74066,36.236813
"Pemiscot Memorial Health System","SALINE 9% 100ML",3.5,"907 East Reed, Hayti, MO, 63851",63851,"Hayti",167,NA,4804,74792,-89.74066,36.236813
"Pemiscot Memorial Health System","SALINE DRESSING",3.5,"907 East Reed, Hayti, MO, 63851",63851,"Hayti",167,NA,4804,74792,-89.74066,36.236813
"Pemiscot Memorial Health System","SALINE FLUSH SYRINGE 10ML",3.5,"907 East Reed, Hayti, MO, 63851",63851,"Hayti",167,NA,4804,74792,-89.74066,36.236813
"Pemiscot Memorial Health System","SALINE INHALATION SOL 0.9% 15ML",1,"907 East Reed, Hayti, MO, 63851",63851,"Hayti",167,NA,4804,74792,-89.74066,36.236813
"Pemiscot Memorial Health System","SALINE-NORMAL 250 ML",4.5,"907 East Reed, Hayti, MO, 63851",63851,"Hayti",167,NA,4804,74792,-89.74066,36.236813
"Pemiscot Memorial Health System","SALINE-STRL IRR 1000",13.5,"907 East Reed, Hayti, MO, 63851",63851,"Hayti",167,NA,4804,74792,-89.74066,36.236813
"Pemiscot Memorial Health System","STERILE SALINE",12.5,"907 East Reed, Hayti, MO, 63851",63851,"Hayti",167,NA,4804,74792,-89.74066,36.236813
"Pemiscot Memorial Health System","SUPP/SALINE FLUSH",10,"907 East Reed, Hayti, MO, 63851",63851,"Hayti",167,NA,4804,74792,-89.74066,36.236813
"Saint Francis Medical Center","HC ER 0.9% SALINE 1000ML",161,"211 St Francis Dr, Cape Girardeau, MO, 63703",63703,"Cape Girardeau",302,NA,57341,1955417,-89.57125,37.30357
"Saint Francis Medical Center","HC ER 0.9% SALINE 250ML",161,"211 St Francis Dr, Cape Girardeau, MO, 63703",63703,"Cape Girardeau",302,NA,57341,1955417,-89.57125,37.30357
"Saint Francis Medical Center","HC ER 0.9% SALINE 500ML",161,"211 St Francis Dr, Cape Girardeau, MO, 63703",63703,"Cape Girardeau",302,NA,57341,1955417,-89.57125,37.30357
"Saint Francis Medical Center","HC ER 0.9% SALINE IRG 1000ML",149,"211 St Francis Dr, Cape Girardeau, MO, 63703",63703,"Cape Girardeau",302,NA,57341,1955417,-89.57125,37.30357
"Saint Francis Medical Center","HC ER 0.9% SALINE IRR 3000ML",153,"211 St Francis Dr, Cape Girardeau, MO, 63703",63703,"Cape Girardeau",302,NA,57341,1955417,-89.57125,37.30357
"Saint Francis Medical Center","HC ER SALINE FLUSH 10ML SYRINGE",53,"211 St Francis Dr, Cape Girardeau, MO, 63703",63703,"Cape Girardeau",302,NA,57341,1955417,-89.57125,37.30357
"Saint Francis Medical Center","HC NORMAL SALINE SOLUTION INFUS",40,"211 St Francis Dr, Cape Girardeau, MO, 63703",63703,"Cape Girardeau",302,NA,57341,1955417,-89.57125,37.30357
"Saint Francis Medical Center","HC SALINE CROSS MATCH",349,"211 St Francis Dr, Cape Girardeau, MO, 63703",63703,"Cape Girardeau",302,NA,57341,1955417,-89.57125,37.30357
"Saint Francis Medical Center","AYR SALINE NASAL GEL 0.5 OZ",35.9385,"211 St Francis Dr, Cape Girardeau, MO, 63703",63703,"Cape Girardeau",302,NA,57341,1955417,-89.57125,37.30357
"Saint Francis Medical Center","BACTERIOSTATIC SALINE / SODIUM CHLORIDE BACTERIOSTATIC 0.9 % 30  VIAL   INJ",11.058,"211 St Francis Dr, Cape Girardeau, MO, 63703",63703,"Cape Girardeau",302,NA,57341,1955417,-89.57125,37.30357
"Saint Francis Medical Center","HETASTARCH (HESPAN)-NORMAL SALINE 6% 500 ML BAG",171.69,"211 St Francis Dr, Cape Girardeau, MO, 63703",63703,"Cape Girardeau",302,NA,57341,1955417,-89.57125,37.30357
"Saint Francis Medical Center","IMPLANT BREAST SALINE 275CC",9384.75,"211 St Francis Dr, Cape Girardeau, MO, 63703",63703,"Cape Girardeau",302,NA,57341,1955417,-89.57125,37.30357
"Saint Francis Medical Center","IMPLANT BREAST SALINE 425CC",8366.25,"211 St Francis Dr, Cape Girardeau, MO, 63703",63703,"Cape Girardeau",302,NA,57341,1955417,-89.57125,37.30357
