"SVCCD","Description","PRICE1","As of Date"
"1110804","OR LEV 4 INI 15 MIN ",8777.75,"2/5/2019"
"1110805","OR LEV 5 INI 15 MIN ",10240.50,"2/5/2019"
"1110806","OR LEV 6 INI 15 MIN ",11703.25,"2/5/2019"
"1110811","OR LEV 1 EA ADD MIN ",127.00,"2/5/2019"
"1110812","OR LEV 2 EA ADD MIN ",168.50,"2/5/2019"
"1110813","OR LEV 3 EA ADD MIN ",210.25,"2/5/2019"
"1110814","OR LEV 4 EA ADD MIN ",251.75,"2/5/2019"
"1110815","OR LEV 5 EA ADD MIN ",293.25,"2/5/2019"
"1110816","OR LEV 6 EA ADD MIN ",337.25,"2/5/2019"
"1110821","AD PROCEDURE OR LV 1",1260.25,"2/5/2019"
"1110822","AD PROCEDURE OR LV 2",1678.50,"2/5/2019"
"1110823","AD PROCEDURE OR LV 3",2098.25,"2/5/2019"
"1110824","AD PROCEDURE OR LV 4",2518.25,"2/5/2019"
"1110841","PAIN MGMT IN PROC L1",1999.75,"2/5/2019"
"1120001","PACU LEV 1 INI 15 MN",780.00,"2/5/2019"
"1120002","PACU LEV 2 INI 15 MN",1168.25,"2/5/2019"
"1120003","PACU LEV 3 INI 15 MN",1557.00,"2/5/2019"
"1120004","PACU LEV 4 INI 15 MN",1946.00,"2/5/2019"
"1120011","PACU LEV 1 EA ADD MN",4.50,"2/5/2019"
"1120012","PACU LEV 2 EA ADD MN",7.60,"2/5/2019"
"1120013","PACU LEV 3 EA ADD MN",9.40,"2/5/2019"
"1120014","PACU LEV 4 EA ADD MN",11.75,"2/5/2019"
"1131111","ANES LV 1 INI 15 MIN",1545.25,"2/5/2019"
"1131112","ANES LV 2 INI 15 MIN",2317.75,"2/5/2019"
"1131113","ANES LV 3 INI 15 MIN",3090.50,"2/5/2019"
"1131114","ANES LV 4 INI 15 MIN",3863.25,"2/5/2019"
"1131121","ANES LV 1 EA ADD MIN",43.25,"2/5/2019"
"1131122","ANES LV 2 EA ADD MIN",64.00,"2/5/2019"
"1131123","ANES LV 3 EA ADD MIN",85.75,"2/5/2019"
"1131124","ANES LV 4 EA ADD MIN",108.25,"2/5/2019"
"1138501","LABOR EPIDURAL      ",94.00,"2/5/2019"
"1160111","GI LAB LEV 1 1ST 15 ",2375.50,"2/5/2019"
"1160112","GI LAB LEV 2 1ST 15 ",3564.75,"2/5/2019"
"1160113","GI LAB LEV 3 1ST 15 ",4753.50,"2/5/2019"
"1160114","GI LAB LEV 4 1ST 15 ",5718.75,"2/5/2019"
"1160121","GI LEV 1 EA ADD MIN ",59.25,"2/5/2019"
"1160122","GI LEV 2 EA ADD MIN ",88.75,"2/5/2019"
"1160123","GI LEV 3 EA ADD MIN ",123.00,"2/5/2019"
"1160124","GI LEV 4 EA ADD MIN ",152.50,"2/5/2019"
"1160131","AD PROCEDURE GI LV 1",2375.50,"2/5/2019"
"1160132","AD PROCEDURE GI LV 2",3564.75,"2/5/2019"
"1160143","ESOPH IMPED FUN TEST",598.00,"2/5/2019"
"1160148","ESOPHAGUS MOTIL STUD",1014.00,"2/5/2019"
"1160158","GI TRACT CAPSL ENDOS",3231.25,"2/5/2019"
"1210007","IVIG (OCTAGAM) 500MG",266.89,"2/5/2019"
"1210011","RHOPHYLAC 100UNT    ",49.40,"2/5/2019"
"1210013","ZOLEDRONIC ACID 1MG ",216.00,"2/5/2019"
"1210016","CEPHALEX 250/5 100ML",46.40,"2/5/2019"
"1210022","OXYCODONE 5MG/5ML OR",14.20,"2/5/2019"
"1210027","ALTEPLASE RECOM 1MG ",353.55,"2/5/2019"
"1210031","NICARDIP 25/10ML INJ",195.00,"2/5/2019"
"1210090","LEVETIRACET 10MG INJ",1.76,"2/5/2019"
"1210140","CLOPIDOGREL 300MG TB",31.40,"2/5/2019"
"1210145","CEFEPIME 500MG INJ  ",20.58,"2/5/2019"
"1210147","ALTEPLASE RECOM 1MG ",316.81,"2/5/2019"
"1210148","ALTEPLASE RECOM 1MG ",316.81,"2/5/2019"
"1210149","CEFOXITIN 1GM IJ    ",42.00,"2/5/2019"
"1210162","OCTREOTIDE ND 25MCG ",20.85,"2/5/2019"
"1210176","FOSPHENYTOIN 50MG   ",64.00,"2/5/2019"
"1210181","ENOXAPARIN 10MG INJ ",16.69,"2/5/2019"
"1210182","ENOXAPARIN 10MG INJ ",16.69,"2/5/2019"
"1210183","ENOXAPARIN 10MG INJ ",16.70,"2/5/2019"
"1210185","ENOXAPARIN 10MG INJ ",16.65,"2/5/2019"
"1210186","ENOXAPARIN 10MG INJ ",16.70,"2/5/2019"
"1210187","ENOXAPARIN 10MG INJ ",16.70,"2/5/2019"
"1210188","AMPICILLIN/SUB 1.5GM",53.80,"2/5/2019"
"1210194","CEFAZOLIN 500MG INJ ",17.50,"2/5/2019"
"1210195","CEFTRIAXONE 250MGINJ",17.50,"2/5/2019"
"1210196","CEFTRIAXONE 250MGINJ",8.75,"2/5/2019"
"1210202","CIPROFLOXAC 200MG IV",17.50,"2/5/2019"
"1210207","DOBUTAMINE 250MG INJ",146.55,"2/5/2019"
"1210210","MEROPENEM 100MG INJ ",24.36,"2/5/2019"
"1210224","LEVOFLOXAC 250MG INJ",28.25,"2/5/2019"
"1210225","LEVOFLOXAC 250MG INJ",20.83,"2/5/2019"
"1210233","KETOROLAC 15MG INJ  ",13.13,"2/5/2019"
"1210236","AMPICILLIN 500MG INJ",30.25,"2/5/2019"
"1210237","AMPICILLIN 500MG INJ",27.85,"2/5/2019"
"1210238","FLUCONAZOL 200MG INJ",58.80,"2/5/2019"
"1210250","BUPIVAC-MPF .5% 30ML",35.00,"2/5/2019"
"1210251","MORPHINE PF 10MG INJ",221.30,"2/5/2019"
"1210262","FUROSEMIDE 20MG INJ ",7.00,"2/5/2019"
"1210263","FUROSEMIDE 20MG INJ ",52.20,"2/5/2019"
"1210267","MEPERID HCL 100MGINJ",35.00,"2/5/2019"
"1210281","AMOX 250MG/5ML 80ML ",9.50,"2/5/2019"
"1210294","PIPER/TAZOB 1G/.125G",48.23,"2/5/2019"
"1210331","ALUMINUM HYD 320/5ML",1.10,"2/5/2019"
"1210342","AMIODARONE 30MG INJ ",2.33,"2/5/2019"
"1210366","PHEN-SHK-MO-PE OIN30",14.60,"2/5/2019"
"1210371","CARBID25-LEVO100MGTB",1.90,"2/5/2019"
"1210373","CALCITONIN NASAL 2ML",172.50,"2/5/2019"
"1210411","ZINC OX 20% OIN 454G",20.50,"2/5/2019"
"1210416","HC ACE/PRAM2.5-1 4GM",32.90,"2/5/2019"
"1210432","AMMON LAC 12%CR 140G",21.60,"2/5/2019"
"1210466","NEBIVOLOL 5MG TAB   ",10.80,"2/5/2019"
"1210474","PANTOPRAZ 40MG PKT  ",29.60,"2/5/2019"
"1210487","VANCOMYCIN 500MG INJ",25.15,"2/5/2019"
"1210507","DEXAMETH 0.25MG ORAL",0.18,"2/5/2019"
"1210538","MIDAZOL  HCL 1MG INJ",7.00,"2/5/2019"
"1210540","HEPARIN 1000U INJ   ",25.80,"2/5/2019"
"1210552","PHYTONADIONE 1MG INJ",40.52,"2/5/2019"
"1210554","IPRA-ALBU.5-2.5MG/3M",7.50,"2/5/2019"
"1210558","VANCOMYCIN 500MG INJ",40.65,"2/5/2019"
"1210577","FE POLYSAC-B12-FA CP",1.60,"2/5/2019"
"1210595","RALTEGRAVIR 400MG TB",48.40,"2/5/2019"
"1210609","LIDO-MPF 0.5% 50ML  ",105.70,"2/5/2019"
"1210614","BENZO 20%DENT GEL 7G",10.10,"2/5/2019"
"1210666","LUBIPROSTONE 8MCG CP",7.90,"2/5/2019"
"1210670","CYCLOPENTO 1%OS 5ML ",27.30,"2/5/2019"
"1210711","LIDOC-MPF 2% INJ 2ML",37.00,"2/5/2019"
"1210719","BENZ 20%TOP SPR 60ML",11.80,"2/5/2019"
"1210736","MAGNES SULF 500MGINJ",31.10,"2/5/2019"
"1210739","POTASSI CHL 2MEQ INJ",1.75,"2/5/2019"
"1210741","MORPHINE UP TO 10MG ",22.33,"2/5/2019"
"1210746","MULTIVITAM INJ 10ML ",84.90,"2/5/2019"
"1210752","VIT D3 1000UNT TAB  ",1.00,"2/5/2019"
"1210757","TRANEXAMIC 1000MG IJ",257.90,"2/5/2019"
"1210775","METHENAMIN MAN 1GM  ",15.75,"2/5/2019"
"1210796","CEFEPIME 500MG INJ  ",39.35,"2/5/2019"
"1210801","DEXAMETH NA 1MG INJ ",8.75,"2/5/2019"
"1210802","DEXAMETH NA 1MG INJ ",3.50,"2/5/2019"
"1210807","LIP16.8-PRO40-AMY70C",10.10,"2/5/2019"
"1210823","ALBUMIN 5% 250ML IV ",320.00,"2/5/2019"
"1210873","HYDR PEROX 3% 480ML ",6.00,"2/5/2019"
"1210890","MORPH PO 20MG/ML 1ML",9.90,"2/5/2019"
"1210895","TACROLIMUS 1MG PO   ",2.20,"2/5/2019"
"1210900","PHENOL APPL KIT     ",12.60,"2/5/2019"
"1210902","HEPARIN 1000U INJ   ",7.00,"2/5/2019"
"1210903","MAGNES SULF 500MGINJ",7.60,"2/5/2019"
"1210919","DICLOFEN 1% GEL 100G",90.60,"2/5/2019"
"1210925","TENECTEPLASE 1MG INJ",422.05,"2/5/2019"
"1210967","DEXAMETH NA 1MG INJ ",1.75,"2/5/2019"
"1210971","OXYCODONE 15MG SR TB",14.50,"2/5/2019"
"1211034","POTASSI CHL 2MEQ INJ",3.50,"2/5/2019"
"1211037","MIDAZOL  HCL 1MG INJ",17.50,"2/5/2019"
"1211039","GENTAMICIN UPTO 80MG",17.50,"2/5/2019"
"1211040","GENTAMICIN UPTO 80MG",8.51,"2/5/2019"
"1211045","METHOTREX NA 5MG    ",1.66,"2/5/2019"
"1211048","EPO NESRD 1000 U INJ",96.21,"2/5/2019"
"1211052","EPO NESRD 1000 U INJ",96.21,"2/5/2019"
"1211087","LIDOCAINE 4% SOL 4ML",15.25,"2/5/2019"
"1211093","ROPIVACAINE 1MG INJ ",1.39,"2/5/2019"
"1211094","METHYLPRED 125MG INJ",43.99,"2/5/2019"
"1211122","TRIAMCIN ACE 10MGINJ",19.65,"2/5/2019"
"1211130","DEXAMETH 0.25MG ORAL",0.75,"2/5/2019"
"1211142","CEFOXITIN 1GM IJ    ",86.35,"2/5/2019"
"1211143","CEFOXITIN 1GM IJ    ",94.00,"2/5/2019"
"1211153","CEFAZOLIN 500MG INJ ",25.70,"2/5/2019"
"1211154","VANCOMYCIN 500MG INJ",126.10,"2/5/2019"
"1211159","MAGNES SULF 500MGINJ",30.60,"2/5/2019"
"1211162","HEPARIN 1000U INJ   ",2.77,"2/5/2019"
"1211166","HYDROXYZI UP TO 25MG",74.23,"2/5/2019"
"1211167","NITROFUR MONO 100MG ",9.10,"2/5/2019"
"1211178","PROTAMINE 10MG INJ  ",12.38,"2/5/2019"
"1211179","HEPARIN 1000U INJ   ",35.00,"2/5/2019"
"1211187","MAGNES SULF 500MGINJ",17.50,"2/5/2019"
"1211192","CALCIUM CL 10% 10ML ",57.00,"2/5/2019"
"1211200","MENTHOL/CAMPHOR LOT ",16.80,"2/5/2019"
"1211202","MULTIVIT-MIN LIQ 5ML",1.30,"2/5/2019"
"1211205","MULTIVITAMIN W/MINER",1.20,"2/5/2019"
"1211206","APAP/COD 120-12/5ML ",5.40,"2/5/2019"
"1211208","K & NA PHOS PWD PKT ",2.00,"2/5/2019"
"1211212","MORPH PO 10MG/5ML 5M",6.00,"2/5/2019"
"1211217","MORPHINE PF 10MG INJ",56.80,"2/5/2019"
"1211232","FENTAN 50MCG/ML PCA ",7.25,"2/5/2019"
"1211364","FENTANY CIT 0.1MGINJ",12.26,"2/5/2019"
"1211431","SKIN CREAM 454GM    ",15.90,"2/5/2019"
"1211512","ARFORMOTL 15MCG/2ML ",36.50,"2/5/2019"
"1211520","PRASUGREL 10MG TAB  ",30.00,"2/5/2019"
"1211523","TOLVAPTAN 15MG TAB  ",693.40,"2/5/2019"
"1211531","NEOSTIGMINE .5MG INJ",17.43,"2/5/2019"
"1211533","LEVONORGEST 1.5MG TB",38.90,"2/5/2019"
"1211542","CEFTRIAXONE 250MGINJ",8.75,"2/5/2019"
"1211563","LACOSAMIDE 100MG TAB",30.30,"2/5/2019"
"1211614","OSELTAMIVIR 30MG CAP",23.40,"2/5/2019"
"1211616","LACOSAMIDE 1MG INJ  ",3.18,"2/5/2019"
"1211639","GLYCERIN 2GM SUPP   ",1.90,"2/5/2019"
"1211645","ATROPINE 0.01MG INJ ",0.96,"2/5/2019"
"1211654","L-METHYLFOL 7.5MG TB",5.55,"2/5/2019"
"1211655","MILNACIPRAN 50MG TAB",13.10,"2/5/2019"
"1211669","MICONAZOLE 2%CR 142G",21.00,"2/5/2019"
"1211768","TELAVANCIN 10MG INJ ",155.50,"2/5/2019"
"1211786","PN VIT/FE/FA 27-.8TB",1.10,"2/5/2019"
"1211796","ARTIFIC TEAR OIN3.5G",18.10,"2/5/2019"
"1211886","RIFAXIMIN 550MG TAB ",75.80,"2/5/2019"
"1211903","THROMB REC 20U KIT  ",532.40,"2/5/2019"
"1211996","LIP42-PRO14.2AMY24.6",3.30,"2/5/2019"
"1212092","SUCCINYLCHN 20MG INJ",128.00,"2/5/2019"
"1212096","DABIGATRAN 75MG TAB ",14.70,"2/5/2019"
"1212118","ADRENL/EPINEP 0.1MG ",13.25,"2/5/2019"
"1212119","ADRENL/EPINEP 0.1MG ",1.80,"2/5/2019"
"1212120","ADRENL/EPINEP 0.1MG ",240.63,"2/5/2019"
"1212136","PEN G BENZ INJ 100K ",60.58,"2/5/2019"
"1212192","ACETAMINO 10MG INJ  ",3.37,"2/5/2019"
"1212217","INSULIN 1 UNT INJ   ",2.00,"2/5/2019"
"1212218","INSULIN 1 UNT INJ   ",2.10,"2/5/2019"
"1212220","INSULIN 1 UNT INJ   ",2.10,"2/5/2019"
"1212221","INSULIN 1 UNT INJ   ",2.00,"2/5/2019"
"1212223","INSULIN 1 UNT INJ   ",2.00,"2/5/2019"
"1212224","INSULIN 1 UNT INJ   ",2.00,"2/5/2019"
"1212226","INSULIN 1 UNT INJ   ",2.00,"2/5/2019"
"1212227","INSULIN 1 UNT INJ   ",2.00,"2/5/2019"
"1212270","AMIODARONE 30MG INJ ",32.29,"2/5/2019"
"1212271","AMIODARONE 30MG INJ ",58.26,"2/5/2019"
"1212283","RIVAROXABAN 10MG TAB",29.30,"2/5/2019"
"1212286","ROFLUMILAS 500MCG TB",23.80,"2/5/2019"
"1212287","OSELTAMIV 6MG/ML 5ML",259.90,"2/5/2019"
"1212294","TICAGRELOR 90MG TAB ",12.80,"2/5/2019"
"1212296","MOME/FORM 200/5 13GM",8.50,"2/5/2019"
"1212311","MYCOPHE MOF 250MG PO",5.80,"2/5/2019"
"1212332","RIVAROXABAN 15MG TAB",29.30,"2/5/2019"
"1212348","VILAZODONE 40MG TAB ",18.20,"2/5/2019"
"1212349","LEVOTHYROX 100MCG IV",640.00,"2/5/2019"
"1212358","EPHEDR 50MG/5ML INJ ",35.00,"2/5/2019"
"1212361","H-COD7.5-APAP325 15M",8.20,"2/5/2019"
"1212362","BARIUM SULF 700MG TB",5.40,"2/5/2019"
"1212416","CEFAZOLIN 500MG INJ ",19.28,"2/5/2019"
"1212417","GABAPEN ENACAR 600MG",8.20,"2/5/2019"
"1212430","SEVELAM CARB 800MGTB",16.70,"2/5/2019"
"1212435","MOME/FORM 100/5 13GM",8.50,"2/5/2019"
"1212467","PHENYLEP 1MG NS 10ML",35.00,"2/5/2019"
"1212470","NEOSTIGMINE .5MG INJ",3.50,"2/5/2019"
"1212498","ADRENL/EPINEP 0.1MG ",3.50,"2/5/2019"
"1212509","LIDO 5% OINT 50GM   ",409.30,"2/5/2019"
"1212527","PHENOBARB 120MG INJ ",183.30,"2/5/2019"
"1212540","ALBUTEROL INH SOL   ",6.60,"2/5/2019"
"1212548","ROPIVACAINE 1MG INJ ",0.35,"2/5/2019"
"1212549","ROPIVACAINE 1MG INJ ",1.71,"2/5/2019"
"1212550","ROPIVACAINE 1MG INJ ",2.84,"2/5/2019"
"1212585","ATROPINE 0.01MG INJ ",0.42,"2/5/2019"
"1212588","CLOZAPINE 100MG ODT ",5.86,"2/5/2019"
"1212625","HEPARIN 1000U INJ   ",6.36,"2/5/2019"
"1212655","MEGESTROL 800MG/20ML",14.20,"2/5/2019"
"1212657","POTASSI CHL 2MEQ INJ",7.00,"2/5/2019"
"1212665","DOPAMIN HCL 40MG INJ",7.13,"2/5/2019"
"1212695","TIMOLOL MAL.5%OS 5ML",3.09,"2/5/2019"
"1212698","CLOBETA .05% EM CR15",98.80,"2/5/2019"
"1212701","CLOBETA .05% OIN 15G",249.60,"2/5/2019"
"1212736","DEXTRAN 40 500ML INF",222.80,"2/5/2019"
"1212744","CLIN-BENZ 1-5%GEL 25",264.40,"2/5/2019"
"1212794","FENT2MCG-ROP.1%100ML",129.50,"2/5/2019"
"1212799","ONDANSETRON 1MG ODT ",7.46,"2/5/2019"
"1212801","LITHIUM CARB 300MGTB",1.50,"2/5/2019"
"1212834","ZINC SULF 220MG TAB ",1.10,"2/5/2019"
"1212850","MOME/FORM 200/5 8.8G",10.40,"2/5/2019"
"1212863","BACITR ZN 1GM UD PKT",1.20,"2/5/2019"
"1212864","BACIT ZN 500/GM 15GM",17.40,"2/5/2019"
"1212877","MOME/FORM 100/5 8.8G",10.40,"2/5/2019"
"1212882","MICONAZOLE 2%PWD 45G",10.70,"2/5/2019"
"1212900","BARIUM SULF 98% 1ML ",11.60,"2/5/2019"
"1212901","HYDROXOCOBAL 5GM INJ",2956.70,"2/5/2019"
"1212915","KETAMINE 50MG/5MLINJ",42.30,"2/5/2019"
"1212926","CEFEPIME 500MG INJ  ",52.15,"2/5/2019"
"1212931","AL200-MG200-SIM20/5M",6.50,"2/5/2019"
"1212966","CARBOXYME .5%OS .4ML",4.60,"2/5/2019"
"1213038","APIXABAN 2.5MG TAB  ",15.00,"2/5/2019"
"1213041","LINACLOTID 145MCG CP",27.80,"2/5/2019"
"1213134","MORPHINE PF 10MG INJ",177.20,"2/5/2019"
"1213136","MORPHINE PF 10MG INJ",35.00,"2/5/2019"
"1213187","ZOLEDRONIC ACID 1MG ",92.40,"2/5/2019"
"1213189","THIAMIN MONO 100MGTB",1.60,"2/5/2019"
"1213212","FLUMAZENIL.1MG/ML 1M",56.80,"2/5/2019"
"1213271","DIP/LID/AL/MG/SI237M",1.20,"2/5/2019"
"1213322","DOXEPIN 3MG TAB     ",27.50,"2/5/2019"
"1213324","DOXYCYC MON 100MG CP",4.70,"2/5/2019"
"1213375","MEDROXYPROG 1MG INJ ",5.80,"2/5/2019"
"1213388","DEXMEDETO 400MCG/100",640.00,"2/5/2019"
"1213389","MESALAMIN 400MG DRCP",8.30,"2/5/2019"
"1213394","DIAZEPAM 5MG INJ    ",57.40,"2/5/2019"
"1213403","PSYLLIUM 58.12%PWDPK",1.90,"2/5/2019"
"1213405","TRACE 5 MINERALS 10M",111.40,"2/5/2019"
"1213440","MELATONIN 5MG TAB   ",2.00,"2/5/2019"
"1213509","VIT D3 10000UNT CAP ",3.90,"2/5/2019"
"1213527","HYDROMORPH UP TO 4MG",35.00,"2/5/2019"
"1213544","FLU VAC QUAD 3YR-ADU",172.25,"2/5/2019"
"1213610","PROTHROMB COM 1UN IX",8.70,"2/5/2019"
"1213611","LURASIDONE 20MG TAB ",78.30,"2/5/2019"
"1213614","LABETALOL 5MG/1ML 1M",57.10,"2/5/2019"
"1213684","MEMANTINE 28MG SRCAP",24.50,"2/5/2019"
"1213686","POLYSAC FE 391.3MGCP",1.50,"2/5/2019"
"1213711","ADENOSINE 1MG INJ   ",7.11,"2/5/2019"
"1213713","CHLORPROMAZIN 5MG PO",3.22,"2/5/2019"
"1213760","K155-NA852-NA130MGTB",2.00,"2/5/2019"
"1213879","NA HYA15-CHON20MG/.5",663.90,"2/5/2019"
"1213936","MORPHINE PF 10MG INJ",35.00,"2/5/2019"
"1213943","ICOSAPENT ETH 1GM CP",5.00,"2/5/2019"
"1213948","MIRABEGRON 50MG SRTB",29.25,"2/5/2019"
"1214003","ADENOSINE 1MG INJ   ",7.88,"2/5/2019"
"1214005","TESTOSTER CYPION 1MG",1.10,"2/5/2019"
"1214008","PROPOFOL 10MG INJ   ",2.63,"2/5/2019"
"1214009","PROPOFOL 10MG INJ   ",1.75,"2/5/2019"
"1214010","PROPOFOL 10MG INJ   ",2.63,"2/5/2019"
"1214011","TESTOSTERON ENAN 1MG",0.62,"2/5/2019"
"1214056","VORTIOXETINE 10MG TB",25.20,"2/5/2019"
"1214122","COLCHICINE 0.6MG CAP",11.30,"2/5/2019"
"1214150","MOMETAS 200MCG/A 13G",4.40,"2/5/2019"
"1214152","MOMETAS 100MCG/A 13G",4.40,"2/5/2019"
"1214284","PREDNISONE 1MG ORAL ",0.30,"2/5/2019"
"1214285","PREDNISONE 1MG ORAL ",0.15,"2/5/2019"
"1214286","PREDNISONE 1MG ORAL ",1.60,"2/5/2019"
"1214308","BENZ14-BUT2-TET2 20G",118.40,"2/5/2019"
"1214310","SUGAMMED 100MG/ML 5M",780.00,"2/5/2019"
"1214320","B-COMP/FA/BIOTIN TAB",1.90,"2/5/2019"
"1214323","OMEGA-3 1000MG DR CP",1.10,"2/5/2019"
"1214342","LIDOCAINE 2% GEL 6ML",15.30,"2/5/2019"
"1214375","METHYLENE BLUE.5%10M",780.00,"2/5/2019"
"1214392","DEXMEDETOM 100MCG/1M",165.80,"2/5/2019"
"1214394","LIDOCAINE 4% PATCH  ",6.90,"2/5/2019"
"1214397","TETRACAINE.5%OS 4ML ",23.40,"2/5/2019"
"1214405","ARGATROBAN 1MG NESRD",7.34,"2/5/2019"
"1214534","ADRENL/EPINEP 0.1MG ",12.25,"2/5/2019"
"1214586","BREXPIPRAZOLE 1MG TB",75.80,"2/5/2019"
"1214641","BREXPIPRAZOLE 3MG TB",71.10,"2/5/2019"
"1214642","BREXPIPRAZOLE 4MG TB",71.10,"2/5/2019"
"1215000","PHARMACY MEDICATION ",170.90,"2/5/2019"
"1215001","PATIENTS OWN MED    ",36.20,"2/5/2019"
"1216921","OXYCODONE 30MG TAB  ",8.70,"2/5/2019"
"1216942","APAP 160MG/5ML      ",4.10,"2/5/2019"
"1216944","ACETAMINOPHEN 325MGS",2.00,"2/5/2019"
"1216945","ACETAMINOPH 500MG TB",1.20,"2/5/2019"
"1216946","ACETAMINOPHEN 120MGS",1.90,"2/5/2019"
"1216947","ACETAMINOPHEN 325MG ",1.10,"2/5/2019"
"1216948","ACETAMINOPHEN 650MGS",2.00,"2/5/2019"
"1216950","ACETAZOLAMIDE 250MG ",7.60,"2/5/2019"
"1216954","ACETYLCYS 20%INH 4ML",27.60,"2/5/2019"
"1216958","ACYCLOVIR 200MG CAP ",2.50,"2/5/2019"
"1216966","ALLOPURINOL 100MG TB",2.00,"2/5/2019"
"1216967","ALLOPURINOL 300MG TB",2.30,"2/5/2019"
"1216969","ALPRAZOLAM 0.25MG TB",3.10,"2/5/2019"
"1216970","ALPRAZOLAM 1MG TAB  ",4.40,"2/5/2019"
"1216971","ALPRAZOLAM 0.5MG TAB",4.20,"2/5/2019"
"1216973","AMANTADINE 100MG CAP",6.50,"2/5/2019"
"1216974","AMANTAD 10MG/MLOR 5M",2.20,"2/5/2019"
"1216980","AMITRIPTYLINE 25MGTB",2.00,"2/5/2019"
