"HospitalName","Description","Price"
"Saint Luke's Des Peres Hospital","HIP UNI SINGLE VIEW",277
"Saint Luke's Des Peres Hospital","HIP UNI W PELV 2 3 VWS",381
"Saint Luke's Des Peres Hospital","HIP UNI W PELVIS 1VW",277
"Saint Luke's Des Peres Hospital","HIP UNILATERAL 2 3VWS",663
"Saint Luke's Des Peres Hospital","HUMERUS 2 VIEW MINIMUM",707
"Saint Luke's Des Peres Hospital","INFERIOR VENACAVAGRAM",2981
"Saint Luke's Des Peres Hospital","INJ BLADDER RETRO UR",269
"Saint Luke's Des Peres Hospital","INJ CM EVAL DTUBE",763
"Saint Luke's Des Peres Hospital","INJ CM EVAL GJTUBE",763
"Saint Luke's Des Peres Hospital","INJ CM EVAL GTUBE",763
"Saint Luke's Des Peres Hospital","INJ CM EVAL JTUBE",763
"Saint Luke's Des Peres Hospital","INJ F CYSTO OR VCUG",1015
"Saint Luke's Des Peres Hospital","INJ GALACTO DUCTO PROC",568
"Saint Luke's Des Peres Hospital","IVP WITH RENAL TOMOS",1165
"Saint Luke's Des Peres Hospital","KNEE 1 2 VIEWS",313
"Saint Luke's Des Peres Hospital","KNEE 3 VIEWS",482
"Saint Luke's Des Peres Hospital","KNEE ARTHROGRAPHY",1178
"Saint Luke's Des Peres Hospital","KNEE COMP 4 VW MIN",537
"Saint Luke's Des Peres Hospital","KNEES BILAT AP STANDING",489
"Saint Luke's Des Peres Hospital","LUMB BENDNG 2 OR 3 VWS",131
"Saint Luke's Des Peres Hospital","MAMMARY DUCT GALACT SNG",895
"Saint Luke's Des Peres Hospital","MANDIBLE 4 VIEWS",447
"Saint Luke's Des Peres Hospital","MANDIBLE 4VW MIN",284
"Saint Luke's Des Peres Hospital","MASTOIDS 3V SIDE",704
"Saint Luke's Des Peres Hospital","MYELOG MULTI REGIONS S I",2365
"Saint Luke's Des Peres Hospital","MYELOGRAM CERV S I",1681
"Saint Luke's Des Peres Hospital","MYELOGRAM LUMBAR S I",1545
"Saint Luke's Des Peres Hospital","MYELOGRAM THORACIC S I",1627
"Saint Luke's Des Peres Hospital","NASAL BONES 3VW MIN",412
"Saint Luke's Des Peres Hospital","NECK FOR SOFT TISSUES",475
"Saint Luke's Des Peres Hospital","OPTIC FORAMINA",392
"Saint Luke's Des Peres Hospital","ORBITS 4VW MIN",418
"Saint Luke's Des Peres Hospital","OS CALCIS 2 VIEWS",329
"Saint Luke's Des Peres Hospital","PELVIS 1 VIEW",391
"Saint Luke's Des Peres Hospital","PELVIS 2 VIEWS",399
"Saint Luke's Des Peres Hospital","PELVIS MIN 3 VWS",429
"Saint Luke's Des Peres Hospital","PERC CHOLANG EXIST ACCESS",13692
"Saint Luke's Des Peres Hospital","PERC DEVC BRST 1ST MAMMO",1507
"Saint Luke's Des Peres Hospital","PERC DRN ABSC W CATH",987
"Saint Luke's Des Peres Hospital","RIBS BI 4V MIN W PA CXR",1236
"Saint Luke's Des Peres Hospital","RIBS BILAT 3VW MIN",798
"Saint Luke's Des Peres Hospital","RIBS UNI 3V MIN W PA CXR",1336
"Saint Luke's Des Peres Hospital","RIBS UNILAT 2VW",797
"Saint Luke's Des Peres Hospital","SACRO ILIAC JNTS 3 OR VWS",342
"Saint Luke's Des Peres Hospital","SACRUM COCCYX 2 VWS",358
"Saint Luke's Des Peres Hospital","SCAPULA COMPLETE",730
"Saint Luke's Des Peres Hospital","SCRN MAMMO CAD BILAT",382
"Saint Luke's Des Peres Hospital","SHOULDER 2VWS MINIMUM",804
"Saint Luke's Des Peres Hospital","SHOULDER ARTHROGRAPHY",1048
"Saint Luke's Des Peres Hospital","SHOULDER SINGLE VIEW",488
"Saint Luke's Des Peres Hospital","SHUNTOGRAM PREV NONVASC",1281
"Saint Luke's Des Peres Hospital","SINUSES 2VW MAX",282
"Saint Luke's Des Peres Hospital","SINUSES 3VW MIN",421
"Saint Luke's Des Peres Hospital","SKULL 4 VIEWS",342
"Saint Luke's Des Peres Hospital","SKULL 4VW MIN",530
"Saint Luke's Des Peres Hospital","SMALL BOWEL",758
"Saint Luke's Des Peres Hospital","SP LUMBAR MIN 6 VWS",1353
"Saint Luke's Des Peres Hospital","SPINE ANY LEVEL SNGL VW",786
"Saint Luke's Des Peres Hospital","SPINE CERV 6 VWS",1588
"Saint Luke's Des Peres Hospital","SPINE CERVICAL 2 VIEWS",887
"Saint Luke's Des Peres Hospital","SPINE CERVICAL 3 VIEWS",789
"Saint Luke's Des Peres Hospital","SPINE CERVICAL 4 OR 5 VW",1072
"Saint Luke's Des Peres Hospital","SPINE LUMBAR 2 VIEWS",797
"Saint Luke's Des Peres Hospital","SPINE LUMBAR 3 VIEWS",888
"Saint Luke's Des Peres Hospital","SPINE LUMBAR MIN 4VWS",1337
"Saint Luke's Des Peres Hospital","SPINE THORACIC 2 VIEWS",960
"Saint Luke's Des Peres Hospital","SPINE THORACIC 3 VIEWS",994
"Saint Luke's Des Peres Hospital","SPINE THORACO LUMBAR JCT",841
"Saint Luke's Des Peres Hospital","SPINE THORACOLMBR 1 VW",960
"Saint Luke's Des Peres Hospital","SPINE THORACOLMBR 2 3VW",1586
"Saint Luke's Des Peres Hospital","STERNCLAVR JNTS 3VW MIN",380
"Saint Luke's Des Peres Hospital","STERNUM 2VW MIN",359
"Saint Luke's Des Peres Hospital","SUPERIOR VENACAVAGRAM",3160
"Saint Luke's Des Peres Hospital","SURGICAL SPECIMEN",432
"Saint Luke's Des Peres Hospital","SWAL FUNC W CINE VIDEO",606
"Saint Luke's Des Peres Hospital","THORACIC W SERL COMPLT",5569
"Saint Luke's Des Peres Hospital","TIBIA FIBULA 2 VIEWS",681
"Saint Luke's Des Peres Hospital","TM JOINTS BILATERAL",850
"Saint Luke's Des Peres Hospital","TOE S 2 VIEWS",283
"Saint Luke's Des Peres Hospital","TOMOGRAPHY SNGL PLANE",1282
"Saint Luke's Des Peres Hospital","TRNSCTH BIOPSY S I",7070
"Saint Luke's Des Peres Hospital","TRNSCTH EMBOLIZATN",10231
"Saint Luke's Des Peres Hospital","UPPER GI AIR KUB",977
"Saint Luke's Des Peres Hospital","UPPER GI AIR SMALL BOWEL",1355
"Saint Luke's Des Peres Hospital","UPPER GI W AIR",1035
"Saint Luke's Des Peres Hospital","UPPER GI W KUB",911
"Saint Luke's Des Peres Hospital","UPPER GI W O KUB",1009
"Saint Luke's Des Peres Hospital","UPPER GI W SMALL BOWEL",1052
"Saint Luke's Des Peres Hospital","URETHROCYSTOGRAPHY RETR",834
"Saint Luke's Des Peres Hospital","URETHROCYSTOGRAPHY VOID",830
"Saint Luke's Des Peres Hospital","UROG PYELOGRAPHY RETRO",1491
"Saint Luke's Des Peres Hospital","UROGRAPHY EXCRETORY IVP",880
"Saint Luke's Des Peres Hospital","US ABD LTD SNGLE QUAD FU",1424
"Saint Luke's Des Peres Hospital","US ABDOMEN COMPLETE",2830
"Saint Luke's Des Peres Hospital","US BREAST UNI COMPLETE",446
"Saint Luke's Des Peres Hospital","US BREAST UNI LTD",385
"Saint Luke's Des Peres Hospital","US CHEST INCLD MEDIASTNM",713
"Saint Luke's Des Peres Hospital","US COMPRESSN REP PSEUDAN",1427
"Saint Luke's Des Peres Hospital","US GUIDE NEEDLE PLACEMNT",1791
"Saint Luke's Des Peres Hospital","US GUIDE VASCULAR ACCESS",737
"Saint Luke's Des Peres Hospital","US OB COMP 14WK ADD GEST",1554
"Saint Luke's Des Peres Hospital","US OB COMP 14WK SGL GEST",969
"Saint Luke's Des Peres Hospital","US OB COMP 14WKS 1STGEST",942
"Saint Luke's Des Peres Hospital","US OB TRANSVAGINAL",1457
"Saint Luke's Des Peres Hospital","US PELVIC COMPLETE",821
"Saint Luke's Des Peres Hospital","US PELVIC LTD FU",561
"Saint Luke's Des Peres Hospital","US RETROPERITONEAL COMP",865
"Saint Luke's Des Peres Hospital","US RETROPERITONEAL LTD",663
"Saint Luke's Des Peres Hospital","US SCROTUM CONTENTS",1758
"Saint Luke's Des Peres Hospital","US SOFT TISSUE HEAD NECK",1018
"Saint Luke's Des Peres Hospital","US TRANSRECTAL",992
"Saint Luke's Des Peres Hospital","US TRANSVAGINAL NOT OB",862
"Saint Luke's Des Peres Hospital","US XTR JOINT COMPLETE",915
"Saint Luke's Des Peres Hospital","US XTR JOINT LMTD",802
"Saint Luke's Des Peres Hospital","US XTR NON VASC COMPLETE",915
"Saint Luke's Des Peres Hospital","US XTR NON VASC LMTD",802
"Saint Luke's Des Peres Hospital","US XTR SOFT TISSUE LMTD",802
"Saint Luke's Des Peres Hospital","VENOGRAM EXTREMITY BI",1877
"Saint Luke's Des Peres Hospital","VENOGRAM EXTREMITY UNI",1793
"Saint Luke's Des Peres Hospital","WRIST 2 VIEWS",622
"Saint Luke's Des Peres Hospital","WRIST 3 VIEWS MINIMUM",690
"Saint Luke's Des Peres Hospital","WRIST ARTHROGRAPHY",1647
"Saint Luke's Des Peres Hospital","LAB",NA
"Saint Luke's Des Peres Hospital","ABG O2 SAT ONLY DIRECT",99
"Saint Luke's Des Peres Hospital","ABG W CALC O2 SAT",272
"Saint Luke's Des Peres Hospital","ABG W CALC O2 SAT DIRECT",262
"Saint Luke's Des Peres Hospital","ABID PLT AIA",160
"Saint Luke's Des Peres Hospital","ABL1 KINASE VARIANTS",2240
"Saint Luke's Des Peres Hospital","ACETAMINOPHEN",249
"Saint Luke's Des Peres Hospital","ACETONE QUALITATIVE",59
"Saint Luke's Des Peres Hospital","ACHR BLOCKING ANTIBODY",107
"Saint Luke's Des Peres Hospital","ACHR MODULATING ANTIBODY",343
"Saint Luke's Des Peres Hospital","ACID FAST STAIN SMEAR",163
"Saint Luke's Des Peres Hospital","ACTH",546
"Saint Luke's Des Peres Hospital","ACTIN SMOOTH MUSCLE AB",409
"Saint Luke's Des Peres Hospital","ACTYCHLN RCPTR BLCKNG AB",224
"Saint Luke's Des Peres Hospital","ACTYCHLN RCPTR BNDNG AB",43
"Saint Luke's Des Peres Hospital","ACTYCHLN RCPTR BNDNG AB.",89
"Saint Luke's Des Peres Hospital","ACTYCHLN RCPTR MDLTNG AB",305
"Saint Luke's Des Peres Hospital","ACUTE HEPATITIS PANEL",1345
"Saint Luke's Des Peres Hospital","ADAMTS 13 ACTIVITY",211
"Saint Luke's Des Peres Hospital","ADENOVIRUS AB",54
"Saint Luke's Des Peres Hospital","AFP TUMOR MARKER",326
"Saint Luke's Des Peres Hospital","AGGLUTININS FEBRIL EA QL",38
"Saint Luke's Des Peres Hospital","AHG INDIR QL EA ANTISERM",165
"Saint Luke's Des Peres Hospital","ALBUMIN CSF",34
"Saint Luke's Des Peres Hospital","ALBUMIN SERUM",43
"Saint Luke's Des Peres Hospital","ALBUMIN SERUM",13
"Saint Luke's Des Peres Hospital","ALCOHOL ETHYL",304
"Saint Luke's Des Peres Hospital","ALCOHOL METHYL",43
"Saint Luke's Des Peres Hospital","ALDOLASE",209
"Saint Luke's Des Peres Hospital","ALDOSTERONE",790
"Saint Luke's Des Peres Hospital","ALDOSTERONE URINE",727
"Saint Luke's Des Peres Hospital","ALLGN SPEC IGE EA ALLERG",17
"Saint Luke's Des Peres Hospital","ALPHA 2 ANTIPLASMIN",183
"Saint Luke's Des Peres Hospital","ALPHA FETO PROTEIN SERUM",342
"Saint Luke's Des Peres Hospital","AMIKACIN",348
"Saint Luke's Des Peres Hospital","AMIKACIN PEAK SERUM",348
"Saint Luke's Des Peres Hospital","AMIKACIN TROUGH SERUM",348
"Saint Luke's Des Peres Hospital","AMIODARONE QUANT",184
"Saint Luke's Des Peres Hospital","AMITRIPTYLLINE QUANT",408
"Saint Luke's Des Peres Hospital","AMMONIA",251
"Saint Luke's Des Peres Hospital","AMYLASE",253
"Saint Luke's Des Peres Hospital","AMYLASE BODY FLUID",357
"Saint Luke's Des Peres Hospital","AMYLASE ISOENZYMES",59
"Saint Luke's Des Peres Hospital","AMYLASE URINE RANDOM",375
"Saint Luke's Des Peres Hospital","AMYLASE URINE TIMED",175
"Saint Luke's Des Peres Hospital","ANAEROBIC ID",93
"Saint Luke's Des Peres Hospital","ANAEROBIC ID CHG 1",138
"Saint Luke's Des Peres Hospital","ANAEROBIC ID CHG 2",145
"Saint Luke's Des Peres Hospital","ANCA C",111
"Saint Luke's Des Peres Hospital","ANCA CMPO PR 3",263
"Saint Luke's Des Peres Hospital","ANCA P",111
"Saint Luke's Des Peres Hospital","ANCA TITER",58
"Saint Luke's Des Peres Hospital","ANGIOTENSIN CONV ENZ CSF",172
"Saint Luke's Des Peres Hospital","ANGIOTENSIN CONV ENZYME",262
"Saint Luke's Des Peres Hospital","ANTI CARDIOLIPIN AB IGG",189
"Saint Luke's Des Peres Hospital","ANTI CARDIOLIPIN AB IGM",189
"Saint Luke's Des Peres Hospital","ANTI CENTROMERE AB",229
"Saint Luke's Des Peres Hospital","ANTI CENTROMERE AB.",61
"Saint Luke's Des Peres Hospital","ANTI GLOMERULAR BSMNT",441
"Saint Luke's Des Peres Hospital","ANTI NEUTRPHL CYT AB",211
"Saint Luke's Des Peres Hospital","ANTI SCL 70",37
"Saint Luke's Des Peres Hospital","ANTI SMITH AB",118
"Saint Luke's Des Peres Hospital","ANTI STREPTOLYSN O TITER",265
"Saint Luke's Des Peres Hospital","ANTI STREPTOLYSN SCREEN",215
"Saint Luke's Des Peres Hospital","ANTI THROMBINE III AG",455
"Saint Luke's Des Peres Hospital","ANTIBDY IDENT RBC EA PNL",597
"Saint Luke's Des Peres Hospital","ANTIBODY ID PLATELET",423
"Saint Luke's Des Peres Hospital","ANTIBODY INSULIN",408
"Saint Luke's Des Peres Hospital","ANTICHROMATIN ANTIBODY",65
"Saint Luke's Des Peres Hospital","ANTINUCLEAR AB ANA",358
"Saint Luke's Des Peres Hospital","ANTINUCLEAR AB ANA TITER",375
"Saint Luke's Des Peres Hospital","ANTIPARIETAL CELL AB",45
"Saint Luke's Des Peres Hospital","ANTIPROTEINASE 3 AB",95
"Saint Luke's Des Peres Hospital","ANTITHROMBIN III ACTIV",341
"Saint Luke's Des Peres Hospital","ANTITHYROID PEROXIDAS AB",205
"Saint Luke's Des Peres Hospital","ANTITRYPSIN ALPHA 1 TOTL",161
"Saint Luke's Des Peres Hospital","ANTITRYPSIN ALPHA PHENO",92
"Saint Luke's Des Peres Hospital","APOLIPOPROTEIN A 1",133
"Saint Luke's Des Peres Hospital","ARSENIC 24 HR URINE",362
"Saint Luke's Des Peres Hospital","ARSENIC UR RDM",148
"Saint Luke's Des Peres Hospital","ASCORBIC ACID VITAMIN C",169
"Saint Luke's Des Peres Hospital","ASPERGILLUS FUMIGATUS",105
"Saint Luke's Des Peres Hospital","AUTO RBC LEUKOREDUCED",950
"Saint Luke's Des Peres Hospital","AUTOLOGOUS BLOOD C P S",387
"Saint Luke's Des Peres Hospital","B HENSELAE IGG",24
"Saint Luke's Des Peres Hospital","B HENSELAE IGM",24
"Saint Luke's Des Peres Hospital","B QUINTANA IGG",24
"Saint Luke's Des Peres Hospital","B QUINTANA IGM",24
"Saint Luke's Des Peres Hospital","B TYP NATRIURETC PEPTIDE",166
"Saint Luke's Des Peres Hospital","BABESIA AB IGG",202
"Saint Luke's Des Peres Hospital","BABESIA AB IGM",202
"Saint Luke's Des Peres Hospital","BARBITURATE IDENT QUAN",257
"Saint Luke's Des Peres Hospital","BASIC METABOLIC PANEL",328
"Saint Luke's Des Peres Hospital","BCR ABL 1 MINOR BREAKPNT",605
"Saint Luke's Des Peres Hospital","BENZODIAZEPINE QTY",46
"Saint Luke's Des Peres Hospital","BETA 2 GLYCOPROT I AB",140
"Saint Luke's Des Peres Hospital","BETA 2 MICROGLOBLN",312
"Saint Luke's Des Peres Hospital","BETA 2 TRANSFERRIN FLUID",613
"Saint Luke's Des Peres Hospital","BETA LACTAMASE",21
"Saint Luke's Des Peres Hospital","BILIRUBIN DIRECT",110
"Saint Luke's Des Peres Hospital","BILIRUBIN TOTAL",43
"Saint Luke's Des Peres Hospital","BILIRUBN NB TOT",191
"Saint Luke's Des Peres Hospital","BLASTOMYCES AB",233
"Saint Luke's Des Peres Hospital","BLD AUTOSLV INTRA PSOP",2321
"Saint Luke's Des Peres Hospital","BLD DIF WBC BUFFY",140
"Saint Luke's Des Peres Hospital","BLD IRRAD RBC",756
"Saint Luke's Des Peres Hospital","BLD PLASMA FROZEN",369
"Saint Luke's Des Peres Hospital","BLD PLATELET PHERESIS",5989
"Saint Luke's Des Peres Hospital","BLD PLT PHER LEUKO REDUC",2798
"Saint Luke's Des Peres Hospital","BLD RC PACKED",997
"Saint Luke's Des Peres Hospital","BLD TYP AG SCR EA UNIT",168
"Saint Luke's Des Peres Hospital","BLD TYPE ABO ONLY",175
"Saint Luke's Des Peres Hospital","BLD TYPE RHO D ONLY",153
"Saint Luke's Des Peres Hospital","BLD UREA NITROGEN QUAN",47
"Saint Luke's Des Peres Hospital","BLEEDING TIME TEMPLATE",226
"Saint Luke's Des Peres Hospital","BLOOD CRYOPRECIPITATE",330
"Saint Luke's Des Peres Hospital","BLOOD DIRECTED UNIT",692
"Saint Luke's Des Peres Hospital","BLOOD GAS PH ONLY",58
"Saint Luke's Des Peres Hospital","BLOOD HEMOGLBN",52
"Saint Luke's Des Peres Hospital","BLOOD RC LEUKOCYTE POOR",950
"Saint Luke's Des Peres Hospital","BLOOD WHOLE",1082
"Saint Luke's Des Peres Hospital","BORDETELLA AB IGA",141
"Saint Luke's Des Peres Hospital","BORDETELLA AB IGG",153
"Saint Luke's Des Peres Hospital","BORDETELLA AB IGM",141
"Saint Luke's Des Peres Hospital","BRUCELLA IGG AB",190
"Saint Luke's Des Peres Hospital","BRUCELLA IGM AB",190
"Saint Luke's Des Peres Hospital","C DIFF TOX AB",153
"Saint Luke's Des Peres Hospital","C DIFF TOXIN AMP PROBE",117
"Saint Luke's Des Peres Hospital","C PEPTIDE",348
"Saint Luke's Des Peres Hospital","C REACTIVE PROTEIN QN",261
"Saint Luke's Des Peres Hospital","C TELOPEPTIDE",483
"Saint Luke's Des Peres Hospital","CA 125",358
"Saint Luke's Des Peres Hospital","CA 19 9",285
"Saint Luke's Des Peres Hospital","CA 27 29",93
"Saint Luke's Des Peres Hospital","CA15 3",285
"Saint Luke's Des Peres Hospital","CALCITONIN",475
"Saint Luke's Des Peres Hospital","CALCIUM",43
"Saint Luke's Des Peres Hospital","CALCIUM 24HR URINE",141
"Saint Luke's Des Peres Hospital","CALCIUM 24HR URINE",18
"Saint Luke's Des Peres Hospital","CALCIUM IONIZED",190
"Saint Luke's Des Peres Hospital","CALCIUM URINE QUAN TIMED",10
"Saint Luke's Des Peres Hospital","CALCULUS QUANT CHEMICAL",247
"Saint Luke's Des Peres Hospital","CALPROTECTIN FECAL",500
"Saint Luke's Des Peres Hospital","CALR MUTATION ANALY",875
"Saint Luke's Des Peres Hospital","CARBAMAZAPINE",218
"Saint Luke's Des Peres Hospital","CARBAMAZEPINE FREE",40
"Saint Luke's Des Peres Hospital","CARBON DIOXIDE",89
"Saint Luke's Des Peres Hospital","CARBON MONOXIDE QUAN",293
"Saint Luke's Des Peres Hospital","CARBOXYHEMOGLOBIN QUANT",140
"Saint Luke's Des Peres Hospital","CARCINO EMBRYONIC AG",411
"Saint Luke's Des Peres Hospital","CARDIOLIPIN AB QNT",189
"Saint Luke's Des Peres Hospital","CAROTENE",219
"Saint Luke's Des Peres Hospital","CATECHOLAMINES FRAC",392
"Saint Luke's Des Peres Hospital","CATECHOLAMN FRAC URINE",562
"Saint Luke's Des Peres Hospital","CBC PLT AUTO DIFF 5",256
"Saint Luke's Des Peres Hospital","CBC WITHOUT DIFF",157
"Saint Luke's Des Peres Hospital","CELL COUNT MISC W DIFF",276
"Saint Luke's Des Peres Hospital","CERULOPLASMIN",245
"Saint Luke's Des Peres Hospital","CHLAMYDIA DNA AMP PROBE",189
"Saint Luke's Des Peres Hospital","CHLAMYDIA DNA PROBE",199
"Saint Luke's Des Peres Hospital","CHLAMYDIA PNEUMO IGG",307
"Saint Luke's Des Peres Hospital","CHLAMYDIA PNEUMO IGM",307
"Saint Luke's Des Peres Hospital","CHLAMYDIA PSIT IGG",295
"Saint Luke's Des Peres Hospital","CHLAMYDIA PSIT IGM",283
"Saint Luke's Des Peres Hospital","CHLORIDE",57
"Saint Luke's Des Peres Hospital","CHLORIDE 24HR URINE",202
"Saint Luke's Des Peres Hospital","CHLORIDE URINE",172
"Saint Luke's Des Peres Hospital","CHOLESTEROL HDL",139
"Saint Luke's Des Peres Hospital","CHOLESTEROL TOTAL",104
"Saint Luke's Des Peres Hospital","CHOLINESTERASE PLASMA",219
"Saint Luke's Des Peres Hospital","CHOLINESTERASE RBC",322
"Saint Luke's Des Peres Hospital","CHROMIUM",117
"Saint Luke's Des Peres Hospital","CHROMOGRANIN A",136
"Saint Luke's Des Peres Hospital","CI ESTERASE",414
"Saint Luke's Des Peres Hospital","CITRIC ACID URINE",79
"Saint Luke's Des Peres Hospital","CK MB FRACTION",160
