Mnemonic,Name,Std Price
2700000956,Monitor Kit W/Transducer,$134.50
2700000957,Electro Surg Gr Pads,$91.25
2700001070,Guidewire,$828.25
2700001398,Picc Dual Lumen Basic Kit,$695.00
2700001400,Microintroducer Kit   Picc,$84.25
2700001410,Picc Power Dual Lumen Kit,"$1,139.00"
2700001411,Picc Power Single Lumen Kit,"$1,082.25"
2700001412,Picc Power Triple Lumen Kit,"$1,274.50"
2700001656,Guidewire Bmw,$743.25
2700002371,Transducer Cover,$87.25
2700003213,Actidose Aqua Char,$66.00
2700003473,Aquacl Ag 4X4 Drsg,$230.00
2700005009,Oxygen (Er & Op & Or),$41.50
2700005016,Cast/Splint Supplies,$181.00
2700006013,Leg Bag,$39.25
2700006085,Catheter Plug,$5.25
2700006910,Oxygen,$141.25
2700008017,Bair Hugger Blanket,$84.50
2700008026,Electro Surg Gr Pads,$91.25
2700008027,Suction Coagulation Disp,$99.75
2700008036,Ace Bandage,$18.50
2700008041,Binder Abdominal,$191.00
2700008042,Abduction Pillow,$440.00
2700008048,Ambu Bag,$176.50
2700008050,Immobilizer Shoulder,$70.25
2700008051,Sling Arm,$52.00
2700008053,Cast Padding,$19.75
2700008054,Fiberglass Cast,$54.00
2700008065,Catheter Plug,$5.25
2700008066,Splint Clavicle Brace,$72.00
2700008069,Connector 5-In-1,$16.50
2700008071,Boot Darco,$110.00
2700008075,Enema Bag/Soap,$18.75
2700008081,Filter Micron,$28.75
2700008087,Heel & Elbow Prot Lg,$81.50
2700008089,Ice Pack Constant,$26.75
2700008090,Cold Pack Instant,$8.00
2700008099,Brace Knee Ranger,$728.75
2700008100,Brace Knee Universal,$276.75
2700008103,Leg Bag,$39.25
2700008109,Ostomy Pouch,$32.75
2700008115,Stockinette,$5.00
2700008116,Stocking Knee Length,$78.25
2700008117,Stocking Thigh Length,$67.75
2700008121,Suspensory,$104.50
2700008129,Urine Drainage Bag,$42.50
2700008133,Brace Walking,$283.75
2700008136,Stockinette 12X48 Impervious,$63.50
2700008152,Splint Finger  Supply,$23.00
2700008219,Camera Cover,$118.00
2700008243,Splint Denver Nasal,$412.50
2700008250,Splint Thermoplas,$82.25
2700008255,Tube G-Tube (Mic),$464.00
2700008275,Stat Padz Adult,$325.00
2700008283,Plaster Splint,$46.00
2700008293,Shoulder Abduct,$595.00
2700008330,Connector,$31.25
2700008342,Eye Shield Metal W/Garter,$30.00
2700008348,Knee Brace Flexion,$729.50
2700008352,Mattressoverlay Spr Plus,$511.50
2700008381,Leggings,$25.25
2700008384,Kodiak Cold Therapy Pad,$795.00
2700008398,Antenna Interstim,$751.50
2700008408,Knee Brace Trom Advance Cool,$535.25
2700008431,Head Halter,$40.00
2700008601,Urine Meter,$90.75
2700008605,Rib Belt,$93.50
2700008608,Ostomy Wafer,$68.00
2700008609,Ostomy Clamp,$19.75
2700008614,Montgomery Strap,$75.75
2700008615,Cannula Kit Concept,$78.75
2700008617,Converter 10.5,$79.75
2700008619,"Ortho Felt 1/4""",$366.00
2700008620,Finger Cot,$45.75
2700008627,Filter Pall,$142.00
2700008687,Toe Separator,$13.25
2700008940,Electrode Tri Needle,$301.00
2700008941,Electrode Paired Subdermal,$353.50
2700008942,Electrode Laryngeal,"$1,270.75"
2700008945,Covaderm Dressing,$25.25
2700100001,Ace Bandage,$18.50
2700100002,Brace Gel,$126.00
2700100003,Anoscope Disp,$21.00
2700100004,Bair Hugger Blanket,$84.50
2700100005,Boot Darco,$110.00
2700100006,Sling Arm,$52.00
2700100007,Brace Knee Universal,$276.75
2700100008,Breast Pump  Manual,$161.50
2700100010,Cast Padding,$19.75
2700100021,Brace Walking Boot,$283.75
2700100031,Cervical Collar,$71.75
2700100037,"Edema, Reg Fleet",$13.50
2700100038,Enema Bag/Soap,$18.75
2700100041,Immobilizer Shoulder,$70.25
2700100042,Inc Spirometer,$38.50
2700100052,Abduction Pillow,$440.00
2700100061,Splint Clavicle Brace,$72.00
2700100062,Fiberglass Cast,$54.00
2700100064,Stockinette,$5.00
2700100065,Stocking Knee Length,$78.25
2700100066,Stocking Thigh Length,$67.75
2700100068,Surgitube,$71.00
2700100070,Wrist/Thumb Splint,$92.25
2700100077,Cervical Collar Vista,$337.25
2700100093,Mattress Overlay Spr Puls,$511.50
2700100096,Accucheck,$5.25
2700100098,Bile Bag 19 Oz Reg,$56.75
2700100099,Easy Cap Co2 Detector,$124.75
2700100100,Electrode Adjust,$2.75
2700100101,Electrode Fetal Ecg,$42.50
2700100102,Electrode Neonatal,$2.75
2700100103,Quick Comb Defib/Pac Pad Pk,$193.75
2700100104,Electrode Tab Ecg,$2.75
2700100106,Fetal Ecg Electrode,$5.25
2700100115,Heel & Elbow Prot,$81.50
2700100119,Sitz Bath,$29.75
2700100127,Urine Drainage Bag,$42.50
2700100128,Urine Meter,$90.75
2700100129,Urine Strainer,$8.50
2700100131,Splint Finger,$23.00
2700100133,"Splint Synthetic /12""""",$49.25
2700100134,Dressing Level I,$7.50
2700100135,Dressing Level Ii,$25.50
2700100136,Dressing Level Iii,$97.50
2700100137,Dressing Level Iv,$318.25
2700100138,Dressing Level V,$930.75
2700100139,Breast Pump Electric,$221.00
2700100154,Thigh Scd Reprocessed,$161.75
2700100155,Splint Sam,$145.50
2700100157,Acapella Vibratory Pep,$367.25
2720000100,Catheter,$100.00
2720000101,Cath Foley W/Tray,$84.25
2720000102,Dura Prep Solution,$99.50
2720000103,Gauze 4X4 Ster 10'S,$14.75
2720000104,"Steri-Strip 1/4X3""",$23.00
2720000105,Swan Ganz,$583.25
2720000106,Tegaderm,$3.25
2720000107,Gauze 4X4 Tripaque,$21.50
2720000108,Temp Pace Lead,$624.50
2720000109,Drape Angiography Brachial,$39.25
2720000110,Ivc Filter Tulip,"$2,793.00"
2720000111,Guardian Touhy,$265.75
2720000112,Asahi Fielder Guidewire,$468.50
2720000115,Catheter Rubicon Crossing,$656.00
2720000131,Drape Mayo Stand Cover,$16.25
2720000150,Catheter Extension,"$2,296.50"
2720000200,Balloon,$780.00
2720000201,Kit Left Heart 4 Manifold,$443.50
2720000202,Guideliner Cathether,"$2,149.00"
2720000203,Trek Mini,$768.50
2720000204,Cath Ensnare,"$1,249.75"
2720000205,Cath Guide Convey,$359.25
2720000206,Wire Peripheral,$471.00
2720000207,Guidewire Mailman,$467.00
2720000212,Cath Foley W/Statlock,$116.75
2720000250,Sheath Destination Terumo,$530.50
2720000300,Cathether Guide,"$3,261.50"
2720000301,Cath Venture Rx,"$2,840.50"
2720000302,Glidesheaths,$357.25
2720000303,Balloon Charger,$432.00
2720000500,Guide Catheter,$475.00
2720000501,Cath Microguide,"$2,363.25"
2720000600,Addwire Extension,$606.00
2720000601,Filterline Capno Adult,$123.25
2720000602,Transducer,$94.25
2720000620,Safesheath Valve,$639.25
2720000660,Pencil Switch 2/E-Z Cautery,$114.75
2720000661,Epidural Tray,$182.00
2720000663,Blade Surgical Clipper,$51.00
2720000664,Betadine Swabsticks,$5.25
2720000665,Avanti Transradial Kit,$498.75
2720000666,Sheath Prelude Ease,$303.50
2720000702,Guidewire Asahi,"$1,213.50"
2720000752,Forcep Grasper  4 Prong,"$2,439.25"
2720000753,Introducer Flexor,$415.25
2720000754,Balloons  Emerge,$491.00
2720000755,Balloon Cutter,"$3,101.25"
2720000756,Catheter Support Guidezilla,"$1,550.75"
2720000800,Cath,$456.75
2720000801,Pigtail Vu Soft,$404.75
2720000802,Acist Hand Controller,$224.00
2720000803,Acist Manifold/Transducer,$234.75
2720000901,Manifold  Valve,$108.00
2720000902,Miser Contrast Management Sys,$149.25
2720000903,Scalpel Disp,$15.50
2720000905,Namic Angio Manifold Med Press,$28.25
2720000917,Temp Pace Lead,$624.50
2720000918,Suture,$65.75
2720000920,Kit Left Heart Navilyst,$241.75
2720000921,Sheath Flexor Introducer,$512.50
2720000923,Merit Pressure Monitor Line 48,$39.75
2720000925,Cath Retrival G2,"$2,925.00"
2720000927,Needle Arterial Access,$53.25
2720000928,Drape Pacemaker,$175.25
2720000930,Cath Export Xt Aspiration,"$2,561.50"
2720000932,Merit Pressure Monitor Line 24,$39.75
2720000933,Multipac Model D,$319.00
2720000934,Closure Device Starclose,$777.00
2720000938,Asahi Miracle Iii  180Cm,"$1,677.50"
2720000940,Endoflators Encore Kit,$407.75
2720000945,Radial Band,$213.25
2720000951,Introducer Guide,$454.75
2720000954,Cath Pta Foxcross,$110.50
2720000958,Pressurewire Certus,"$2,972.25"
2720000959,Drape Angiography,$110.50
2720000960,Balloon Intra Aortic,"$3,740.25"
2720000962,Cath Peripheral Silverhawk,"$8,467.00"
2720000963,Femostop Hd,$662.00
2720000964,D-Stat Flowable Hemostat,$664.75
2720000965,Band Tr Radial,$268.75
2720000966,Contrast Management Sys Miser,$149.00
2720000972,Cath Diagnostic Glide,$611.50
2720000973,Femostop Inflation Device,$468.50
2720000974,Guidewire,$490.50
2720000976,Injectate System Room Temp,$198.00
2720000981,Basix Compak Endolator,$388.25
2720000982,Balloon Trek,$981.25
2720000983,Guide Cath Launcher,$459.00
2720000984,Balloon Cath Emerge,$780.00
2720000985,Sheath Guide,$617.75
2720000986,Micropuncture Kit,$240.75
2720000987,Guidewire,"$1,089.00"
2720000988,Guide Finecross,"$2,809.00"
2720000989,Sheath Destination,$733.50
2720000990,Needle Access,$50.25
2720000991,Dual Lumen Pigtail,$541.50
2720000992,Balloon,"$1,737.25"
2720000993,Balloon Charger,$913.75
2720000994,Introducer Flexor Tuohy,$691.50
2720000995,Asahi Miracle Iii 300Cm,"$1,677.50"
2720000996,Catheter Navicross Support,$968.25
2720000997,Balloon Drug Coated,"$3,727.25"
2720000998,Merit Pressure Monitor Line,$27.75
2720000999,Guidewire Comet Pressure,"$2,355.50"
2720001000,Medical Supplies- Misc (B),$460.25
2720001001,Cath Icross,"$2,633.50"
2720001002,Balloon,"$4,038.50"
2720001003,Peri Dialysis Manual Exch Kit,$290.75
2720001012,Catheter Atherectomy,"$6,297.50"
2720001013,Balloon Lutonix,"$3,114.50"
2720001014,Wire Gmw Microwire,$530.00
2720001015,Guide Runway,$348.75
2720001016,En Snare Mini,"$2,581.25"
2720001017,Plasma Knife,"$1,276.00"
2720001018,Guidewire Samurai,$534.25
2720001020,Balloon Angiosculpt,"$3,237.50"
2720001472,Guidewire Angled,$327.25
2720001651,Closure Device,$879.75
2720001654,Guidewire Cath Lab,$124.50
2720001657,Cath Diagnostic,$236.75
2720001660,Cath Pack,$459.00
2720001702,Filter-Wire,"$4,976.75"
2720002121,Guidewire Supracare,$465.75
2720002751,Kinetix Jtip,$702.00
2720003120,Pleurx Patient Starter Kit,"$1,265.25"
2720003121,Pleurx Pleural Catheter Set,"$3,511.00"
2720003174,Impulse Pigtail,$105.25
2720003213,Guidewire,$608.25
2720003233,Cath Guide Launcher,$459.00
2720003520,Integuseal,$216.75
2720003535,Transducer Meritrans Mer100,$122.50
2720003536,Cath Ivus,"$2,580.75"
2720003537,Ivus Pull Back Sled,$411.75
2720003612,Filterwire,"$6,580.25"
2720003659,Balloon Catheters,"$1,225.00"
2720003662,Diagnostic Guidewires,$327.25
2720003663,Sheaths,$158.25
2720003750,Biopsy Marker,$560.25
2720005050,On-Q-T Bloc Prep Tray,$255.75
2720005051,Cath Quickbloc Set,$217.25
2720005052,On-Q Pump W/Select-A-Flow 400M,"$1,028.75"
2720005053,On-Q Pump W/Slect-A-Flow 600M,"$1,649.00"
2720006230,Blades Weck,$13.25
2720008002,Weck Sponges,$37.75
2720008003,Pack Ophthalmic,$681.75
2720008004,Irrigation Solutions,$41.50
2720008006,Suture,$65.75
2720008007,Blades Surgical,$11.00
2720008008,Suction Cannisters,$46.00
2720008009,Kerlix Rolls Sterile,$19.75
2720008010,Tourniquet Cuff,$225.50
2720008011,Stapler Skin,$72.00
2720008012,Gauze 4X4 Ster 10'S,$14.75
2720008013,Secondary Set 20 Drp,$20.75
2720008014,Vascular Loops,$30.50
2720008015,Pack Set Up,$98.00
2720008016,Dura Prep Solution,$99.50
2720008018,Basin Set,$312.75
2720008019,Drape Hand,$191.50
2720008020,Xeroform,$20.75
2720008021,Drape Mayo Stand Cover,$15.50
2720008022,Drape 3/4 Sheets,$24.75
2720008023,Syringe Bulb,$13.25
2720008024,Pencil Switch 2/E-Z Cautery,$114.75
2720008025,Sponge Tonsil,$30.50
2720008026,Electro Surg Gr Pads,$91.25
2720008028,Yankauer Suct Inst,$10.00
2720008029,Uc-Ez Fog Reducer,$33.75
2720008030,Cath Urethral,$134.50
2720008031,Bovie Scratch Pad,$30.50
2720008032,Teflon Cautery Tip,$70.00
2720008036,Pack Basic,$141.50
2720008037,Cath Urethral,$59.50
2720008038,Tubing Connection,$20.50
2720008040,Abd Surgipad,$6.50
2720008043,"Ace Bandage St 6"" Xl",$92.75
2720008044,Ace Sterile,$80.50
2720008045,Adaptic 3X3,$10.75
2720008046,Adaptic  3X8,$25.25
2720008049,Anoscope Disp,$21.00
2720008052,Drape Cassette Cover,$31.50
2720008055,Cath Coude,$129.25
2720008056,Cath Foley 3 Way,$134.75
2720008057,Cath Foley 30Cc,$48.50
2720008058,Cath Foley Ped 3Cc,$93.00
2720008059,Cath Foley Ped 3Cc,$93.00
2720008060,Cath Foley Latex-Free,$59.50
2720008061,Cath Foley W/Tray,$84.25
2720008062,Cath Foley Tray W/O Cath,$94.50
2720008063,Cath Triple Lumen,$298.25
2720008064,Catheter Council 18,$180.00
2720008067,Coban Sterile,$72.50
2720008070,Tubing Cysto,$81.75
2720008073,Syringe Ear/Ulcer,$28.75
2720008074,Endolock,$73.75
2720008076,Ext Set Large Bore,$52.00
2720008077,Pack Ortho,$240.75
2720008078,Eye Pads Sterile,$5.25
2720008079,Tube Feeding,$141.25
2720008080,Cath Female Kit,$32.00
2720008083,Gauze 4/4 St 2,$5.25
2720008084,Sponges Drain,$3.25
2720008085,Gauze Fluff,$22.50
2720008086,Gauze Sponge 2X2,$5.25
2720008088,Reservoir 100Cc Jp,$78.25
2720008091,Drape U 60X84,$65.25
2720008093,Intersorb Burn Dress,$123.00
2720008095,Tray Irrigation,$30.00
2720008096,Cath Iv,$33.00
2720008097,Iv Set Microdrip,$49.25
2720008098,Kling,$16.50
2720008101,Sponge Lap,$35.25
2720008102,Pack Laparoscopy Pelvi,$218.00
2720008104,Tube Stomach,$30.25
2720008105,"Tube Lukens  6-1/4""",$84.50
2720008106,Needle Spin.25X3 1/2,$21.75
2720008107,Nugauze  Iodo,$71.75
2720008108,Nu Gauze  Plain,$58.50
2720008110,Ostomy Pouch Post-Op,$81.25
2720008111,Drain Penrose,$32.75
2720008112,Rhino Rocket,$125.00
2720008113,Scalpel Disp,$15.50
2720008114,Steri-Strip,$23.00
2720008118,Stopcock 3-Way,$12.00
2720008119,Catheter Kit Suction,$12.00
2720008120,Surgiflex,$6.50
2720008122,Tegaderm,$3.25
2720008123,Telfa Pads,$5.25
2720008124,Syringe Toomey,$38.75
2720008125,Pack Ob,$295.75
2720008126,Tur Y-Set 4 Lead,$145.75
2720008127,Pack Universal Split,$187.75
2720008128,Tray Cath Urethral,$46.50
2720008130,Vag Packing,$84.00
2720008131,Gauze Petroleum,$13.25
2720008132,Gauze Vaseline  3X9,$13.25
2720008134,Sponges Peanut,$30.25
2720008135,Gauze 4X4 Tripaque,$21.50
2720008137,Drape Arthroscopy,$269.25
2720008138,Staple Remover,$40.50
2720008139,Drape Extrimity,$112.00
2720008140,Drape Extermity Bil,$177.50
2720008141,Trocar,$515.75
2720008142,Pack Shoulder Arthro,$520.25
2720008143,Reservoir 400Cc Jp,$349.50
2720008144,Skin Marking Pen,$49.25
2720008145,"Needle Biopsy  6""",$281.25
2720008146,Pack Ophthalmic,$681.75
2720008147,Drape Steri 1020,$46.00
2720008148,Balloon Pdb,"$1,621.50"
2720008149,Balloon Trocar 10Mm,$754.25
2720008150,Lap Cholang Cath W/Balloon,$606.75
2720008151,Gauze Vaseline,$8.00
2720008153,Porta-Cath,"$2,430.00"
2720008154,Lens Unfolder,$20.75
2720008158,Dermabond Adhesive,$90.75
2720008159,Drill Bit,$450.75
2720008161,Irrigation Solutions 3000Ml,$74.00
2720008162,Blade Power,$491.00
2720008163,Pencil Bipolar Disposable,$72.75
2720008164,Guidewire .035,$406.50
2720008173,Guide Wire,"$1,188.00"
2720008174,Guide Wire,$322.50
2720008177,Thoradrain,$473.50
2720008179,Bone Wax W31,$68.25
2720008180,Drape Steri Ioban Sm,$99.50
2720008181,Drape Steri  Ioban,$84.00
2720008182,Steri-Drape Ioban Lg,$169.25
2720008185,Drain Jackson-Pratt,$105.50
2720008186,Cath Cholangio  4.5Fr,$324.25
2720008188,Stapler Ta 55 4.8 Cart,$616.25
2720008189,Hemoclip Autoload,$581.00
2720008190,Gia 55,$789.25
2720008191,Gia 55 Reload,$695.75
2720008192,Purstring,$472.50
2720008193,Eea,"$1,731.00"
2720008194,Scalpel Harmonic Curved,"$2,792.50"
2720008195,Autotransfusion Kit,"$1,351.25"
2720008196,Carrier For Mesher,$300.25
2720008197,Blade Dermatone,$270.00
2720008198,Irrigation/Evacuator,$446.00
2720008199,Tubing Hysteroscope,$819.50
2720008200,Tubing Insufflation,$66.00
2720008201,Needle Verres,$177.75
2720008202,Endopouch,$799.25
2720008203,Excel Femoral Brush,$232.75
2720008204,Excel Handpiece,$391.75
2720008205,Vacuum Bowl,$654.25
2720008207,Drape C-Arm Table,$273.75
2720008211,Blade Micro E,$852.50
2720008213,Endostitch 10Mm,$907.50
2720008214,Endoclip,"$1,015.25"
2720008216,Tube Medullary Vent,$73.75
2720008217,Wire Cerclage,$79.50
2720008220,Insulscan,$289.00
2720008221,Endostitch,$412.00
2720008222,Vacuum Mixing Vortex System,$648.25
2720008223,Incision Drain Sil,$131.25
2720008224,Steri Drape 1064,$150.00
2720008225,Lens Glide Alcon,$136.75
2720008226,Sleeve Cover,$12.00
2720008227,Cath Kumar,$308.50
2720008228,Total Hip Prep Kit,"$1,384.50"
2720008229,Hesson Ussc,$475.75
2720008230,Blades Weck,$13.25
2720008231,Surgical Patties,$19.50
2720008232,Drape Exteremity  Upp,$351.50
2720008233,Kit Illuminator Cath,"$1,396.25"
2720008234,Suture Device Capio,"$3,668.00"
2720008235,Suture O Polyester Tc-43,$311.50
2720008237,Helical Basket Stone,"$1,040.00"
2720008238,Drill Bit,$325.00
2720008239,Rod Reaming,"$1,058.25"
2720008240,Guidewire Cannuflex,$313.00
2720008242,Biopsy Punch 6Mm,$50.75
2720008244,Tubing-Psi-Tec-I,$141.50
2720008245,Tubing Lam,$83.75
2720008246,Fluid Transfer Set,$196.25
2720008247,Fish Visc Retainer Adult,$148.50
2720008248,Arthrocare Wand,$904.00
2720008249,Knife Myringotomy Spear,$127.75
2720008251,Scalpel Harmonic  Coagulator,"$1,060.50"
2720008252,Drape Steri- C-Arm,$74.50
2720008253,Pin Guard .062,$30.50
2720008254,Pin Guard .045,$106.25
2720008256,Statak Device,"$1,820.50"
2720008257,Hemorrhoid Stapler,"$1,998.75"
2720008258,Pack Universal,$251.25
2720008259,Vitrectomy Kits Disp,$936.75
2720008260,"Eschmark 80G 6"" St",$66.00
2720008261,Hand Access Device/Lap,"$2,517.00"
2720008262,Pain Control Pump,$760.25
2720008263,Cement Hook,$147.00
2720008264,Tubing Insuff Heated,$488.50
2720008265,Blade Incisor,$429.00
2720008266,Acromionizer,$510.75
2720008267,Orbit Incisor Plus Shaver,$571.25
2720008268,Cannula Set Clear Trac,$285.00
2720008269,"Suture Passer 2""",$307.00
2720008270,Quick Load,$277.25
2720008271,Finger Traps Sterile,$288.25
2720008272,Ti Knot Lsi,$743.50
2720008273,Fiberwire,$202.75
2720008274,Saphyre Probe 60*,$869.75
2720008276,Urethral Sling Kit,"$3,441.00"
2720008277,Introducer Set 12/16,$571.25
2720008278,Needle Meniscal Rep,$161.50
2720008279,Statlock Foley,$55.50
2720008280,Bone Plug Acl,$213.25
2720008281,Essure System,"$3,410.75"
2720008282,K-Wire Threaded,$143.25
2720008284,Drill Bit,$756.25
2720008285,Kronner Uterine Manipulator,$285.00
2720008286,Cannulas Inner,$51.50
2720008287,Lacrimal Intub Set,$794.75
2720008288,Drill Bit,$545.25
2720008289,Drill Bit,"$1,629.00"
2720008290,Iris Retractor Flex,$265.00
2720008291,Scope Warmer,$83.75
2720008294,Graft Jacket,"$6,612.75"
2720008295,Disposable Scissors,$527.25
2720008296,Epidural Set Gemstar,$118.00
2720008297,Restore Orthobiologic,"$6,217.50"
2720008298,Transducer Cover,$87.25
2720008300,Biopsy System,$423.00
2720008301,Lightmat,$472.50
2720008302,Blade Saw Biomet,$606.75
2720008303,Loop Electrode,$136.75
2720008304,Helical Blade,"$2,557.25"
2720008305,Ball Electrode,$45.00
2720008306,Suture Ethibond/Cvd Needle,$215.25
2720008307,Myringotomy Blade Arrow Tip,$162.75
2720008308,Ear Tube,$261.75
2720008309,Margin Map,$181.25
2720008310,Plume Away Filter Tubing,$170.25
2720008311,Vacuum Collection Set,$113.00
2720008312,Vacuum Aspiration Filter,$45.00
2720008313,Vacurette 7Mm-14Mm,$82.25
2720008314,Drain Penrose  Silicone,$73.75
2720008315,Vacuum Collection Tubing,$120.75
2720008316,Sleeves,$393.75
2720008319,Staple Reloads Curved Stapler,"$1,191.75"
2720008320,Stapler Curved,"$2,558.25"
2720008321,Nasal Packing 8Cm Merocel,$136.75
2720008322,T-Tube,$100.25
2720008323,Novasure Device,"$2,815.75"
2720008324,Port-A-Cath,"$1,099.25"
2720008325,Laparoscopic Kittner,$136.25
2720008326,Mix Kit Cement,$826.25
2720008327,Ear Tube Armstrong,$338.75
2720008328,Ligasure,"$2,542.50"
2720008331,Ligasure Shorty,"$1,769.00"
2720008332,Suture Retriever,$384.75
2720008333,Tracheostomy Tubes,$370.25
2720008334,Traheostomy Tube Holder Dale,$47.25
2720008335,Blade Tricut 4Mm,$777.50
2720008336,Blade Beaver 6400,$28.50
2720008337,Tissue Morcellator Gynecare,"$3,557.00"
2720008339,Knife Ii Crescent Alcon,$211.25
2720008340,Blade Beaver,$88.50
2720008341,Irrigator Cystome 25 Ga,$75.75
2720008343,Cannula Hydrodissector 25Ga,$97.25
2720008344,Cautery Eraser Tip,$86.50
2720008345,Drain J P 15 Round Channel,$195.25
2720008346,Picc Power Single Lumen Kit,"$1,082.25"
2720008347,Microintroducer Kit   Picc,$84.25
2720008349,Blade Mini 2.9 Incisor,$559.75
2720008350,Abrader 209,$559.75
2720008354,Pack Ortho Custom,$793.50
2720008356,Ligasure Lf,"$3,355.00"
2720008357,Kit Dilator Balloon & Sheath,"$1,736.50"
2720008358,Cath Malecot Suprapubic,$393.75
2720008359,Retractor Mobium Elastic,$570.00
2720008361,Shunt Mini Glaucome P-50,"$5,548.50"
2720008362,Urethral Dilator Set,"$1,160.75"
2720008363,Catheter Ureteral 6X70 Openend,$347.25
2720008364,Malyugin Ring,$713.25
2720008365,Bovie Pencil Force Triverse,$347.50
2720008366,Glidewire Straight,$529.50
2720008367,Guidewire,$307.25
2720008368,Ureteral Catheter,$147.00
2720008369,Ureteral Catheter Open End,$347.25
2720008370,Dilator Balloon Uromax,"$1,033.50"
2720008371,Encore Inflator,$450.50
2720008372,Basket 4-Wire,$834.25
2720008373,Forcep 2 Prong Graspit,"$1,102.75"
2720008374,Biopsy Device Easy Core,$415.75
2720008375,Laser Fiber Single Use,"$1,212.25"
2720008376,Laser Fiber 1000,"$3,507.00"
2720008377,Loop Pk Super Sect,"$2,479.25"
2720008378,Stapler Endo 60Mm,"$1,255.00"
2720008379,Blade Straight Codl Knife,$965.00
2720008380,Electrode Bugbee Fulgurating,$826.50
2720008382,Drape Fluid Collection,$52.50
2720008383,Suture Anchor Bioraptor,"$1,766.50"
2720008386,Capsular Tension Ring,"$1,139.00"
2720008388,Cold Therapy Dressing,$136.75
2720008389,Ligasure Advance,"$3,458.00"
2720008390,Corneal Shield,$67.75
2720008392,Blade Crescent,$606.00
2720008393,Tube Arthroscopy,$515.00
2720008394,Needle Endoscopic Rigid,$338.00
2720008399,Nasal Splint Kit,$347.00
2720008400,Harmonic Tonsil Handpiece,"$1,334.00"
2720008404,Blade Endoscopy,$908.50
2720008405,Endo Close,$536.25
2720008406,Needle Sytem Curved Ultra,"$1,682.25"
2720008407,Suture V Loc 180 Abs Clos Dev,$297.75
2720008409,Fixation Cannula,$92.75
2720008410,Kii Fios First Entry,$335.25
2720008411,Gps Separation Kit,"$3,799.25"
2720008412,Gps Spray Applicator Kit,$375.75
2720008413,Gps Dual-Spray Applicator Kit,$348.50
2720008414,Gps Cannula Tip,$348.50
2720008415,Stapler Ta 55 4.8 Cart,$616.25
2720008418,Bur Round,$779.75
2720008420,Knee-Sleeve Kendall,$134.00
2720008421,Footprint Ultra Sut Anchor,"$1,755.50"
2720008423,Applicator Vitasure Extended,$388.75
2720008425,Catheter Thermachoice,"$3,072.25"
2720008426,Kit Thermalablation,"$3,137.25"
2720008427,Shoulder Stabilization Kit,$523.25
2720008428,Anterior Chamber Maintainer,$255.75
2720008429,Irrigation Fluid Warming Range,$411.00
2720008430,Blanket Lithotomy Underbody,$229.75
2720008432,Esophyx 2 Link,"$5,736.00"
2720008434,Drsg Roll Dental Sterile,$5.25
2720008435,Drape Beach Chair Shoulder,$274.50
2720008436,Bovie Tips,$255.50
2720008437,Needle Core Biopsy,"$1,213.75"
2720008438,Biopsy Site Marker,$699.00
