Procedure ID,Description,Amount
791918,IV CONCURRENT INFUSION  ,278.99
791919,IV ADDL SEQ INF UP TO 1H,195.55
791920,IV EACH ADD HOUR        ,124.42
791921,IV INITIAL UP TO 1 HOUR ,642.03
791922,IV HYDRAT EA ADD HR     ,124.42
791923,IV HYDRAT INIT UP TO 1HR,642.03
791924,IV INF > 8 HR REQ PUMP  ,999.73
791925,APP ONBODY INJ          ,124.42
791926,INJECTION IM OR SQ      ,195.55
791927,ASP BONE MARROW W BX    ,4529.08
791928,CT NDL PLCMT INTSTL RAD ,13814.71
791996,PERC CLSR LT ATRL W/IMP ,89086.85
791998,SYSTEM FLOWTRIEVER ASPIR,21168.00
792019,JET 7 REPRFSN CATH AN PE,6468.00
792025,NEG PRESSURE 50CM OR <  ,506.79
792053,CATHETER SUC 4.6MM 15CM ,3045.84
792113,BASEPLATE TIB ATTUNE 4 K,2625.00
792126,INTR SHTH 8.5FR GW TIP M,200.20
792127,CATHETER MAPPING 15 MM C,3262.22
792128,CATH 110CM 6FR INQ PSH &,739.00
792129,CATH EP 110CM 6FR INQPSH,739.00
792134,BRONCH W/BALLOON INIT   ,15858.63
792135,BRONCH W/BALLOON ADDL   ,4447.33
792136,BRONCHIAL VALVE REMOVAL ,8791.07
792137,BRONCHIAL VALVE REM ADDL,4447.33
792138,STENT EPRSTH 79MM 11MM 1,7587.50
792220,CATHETER SUC 16MM 105CM ,11277.84
792224,INS PICC WO SQ PORT >5YR,8375.04
792227,SET XTN SHRT .2ML 60IN I,18.70
792237,SCREW OC TPRD 5.0X14MM  ,250.00
792238,SCREW OC TPRD 5.0X12MM  ,250.00
792239,SCREW OC TPRD 5.0X10MM  ,250.00
792240,SCREW OC TPRD 5.0X8MM   ,250.00
792241,SCREW OC TPRD 5.0X6MM   ,250.00
792242,SCREW OC TPRD 4.5X14MM  ,250.00
792243,SCREW OC TPRD 4.5X12MM  ,250.00
792244,SCREW OC TPRD 4.5X10MM  ,250.00
792245,SCREW OC TAPERED 4.5X8MM,250.00
792246,SCREW OC TAPERED 4.5X6MM,250.00
792247,P-T MAS 4.0X40MM        ,1712.50
792248,P-T MAS 4.0X38MM        ,1712.50
792249,P-T MAS 4.0X36MM        ,1712.50
792250,P-T MAS 4.0X34MM        ,1712.50
792251,P-T MAS 4.0X32MM        ,1712.50
792252,P-T MAS 4.0X20MM        ,1712.50
792253,P-T MAS 4.0X18MM        ,1712.50
792254,P-T MAS 3.5X40MM        ,1712.50
792255,P-T MAS 3.5X38MM        ,1712.50
792256,P-T MAS 3.5X36MM        ,1712.50
792257,P-T MAS 3.5X34MM        ,1712.50
792258,P-T MAS 3.5X32MM        ,1712.50
792259,P-T MAS 3.5X20MM        ,1712.50
792260,P-T MAS 3.5X18MM        ,1712.50
792261,HOOK LMR 6.0MM OFFSET R ,875.00
792263,HOOK LMR 6.0MM OFFSET L ,875.00
792264,HOOK LAMINAR 6.0MM      ,875.00
792265,HOOK LMR 4.5MM OFFSET R ,875.00
792266,HOOK LMR 4.5MM OFFST L  ,875.00
792267,HOOK LAMINAR 4.5MM      ,875.00
792268,CONN MAS EXT5.5/6.0/6.35,1125.00
792269,CONN MAS EXT 4.75MM     ,1125.00
792270,CONN MAS EXT 3.2/3.5MM  ,1125.00
792271,MULTI AXIAL SCREW 4.5X20,1712.50
792272,MULTI AXIAL SCREW 4.5X18,1712.50
792273,MULTI AXIAL SCREW 4.5X16,1712.50
792274,MULTI AXIAL SCREW 4.5X14,1712.50
792275,MULTI AXIAL SCREW 4.5X12,1712.50
792276,ROD TPRD 3.5/6.0X420 CCM,750.00
792277,ROD TPRD 3.5/6.0X600 CCM,750.00
792278,ROD TPRD 3.5/6.0X420 TI ,750.00
792279,ROD TPRD 3.5/6.0X600 TI ,750.00
792280,DMN AXIAL 3.5 TO 5.5/6.0,1125.00
792281,CROSSLINK ROD TO ROD L  ,1125.00
792282,CROSSLINK ROD TO ROD S  ,1125.00
792283,CROSSLINK MAS TO MAS L  ,1125.00
792284,CROSSLINK MAS TO MAS S  ,1125.00
792285,CONN LATERAL OPEN 19MM  ,1125.00
792286,CONN LATERAL OPEN 13MM  ,1125.00
792287,DMN AXIAL 3.5 TO 4.75MM ,1125.00
792288,DMN AXIAL 3.5 TO 3.5MM  ,1125.00
792289,CONN LATERAL CLOSED 19MM,1125.00
792290,CONN LATERAL CLOSED 13MM,1125.00
792291,ROD OC ADJ CCM 3.5X100  ,750.00
792292,ROD OC ADJ TI 3.5X100   ,750.00
792293,P-T MAS 4.0X30MM        ,1712.50
792294,P-T MAS 4.0X28MM        ,1712.50
792295,P-T MAS 4.0X26MM        ,1712.50
792296,P-T MAS 4.0X24MM        ,1712.50
792297,P-T MAS 4.0X22MM        ,1712.50
792298,P-T MAS 3.5X30MM        ,1712.50
792299,P-T MAS 3.5X28MM        ,1712.50
792301,P-T MAS 3.5X26MM        ,1712.50
792302,P-T MAS 3.5X24MM        ,1712.50
792303,P-T MAS 3.5X22MM        ,1712.50
792304,CONN LTRL OPEN ANGL 19MM,1125.00
792305,DMN OFFST 3.5 TO 4.75   ,1125.00
792306,DMN OFFSET 3.5 TO 3.5   ,1125.00
792307,ROD STD 3.5MMX240MM     ,450.00
792308,MULTI AXIAL SCREW 4.5X34,1712.50
792309,MULTI AXIAL SCREW 4.5X32,1712.50
792310,MULTI AXIAL SCREW 4.5X30,1712.50
792311,MULTI AXIAL SCREW 4.5X28,1712.50
792312,MULTI AXIAL SCREW 4.5X26,1712.50
792313,MULTI AXIAL SCREW 4.5X24,1712.50
792314,MULTI AXIAL SCREW 4.5X22,1712.50
792315,MULTI AXIAL SCREW 4.0X34,1712.50
792316,MULTI AXIAL SCREW 4.0X32,1712.50
792317,MULTI AXIAL SCREW 4.0X30,1712.50
792318,MULTI AXIAL SCREW 4.0X28,1712.50
792319,MULTI AXIAL SCREW 4.0X26,1712.50
792320,MULTI AXIAL SCREW 4.0X24,1712.50
792321,MULTI AXIAL SCREW 4.0X22,1712.50
792322,MULTI AXIAL SCREW 4.0X18,1712.50
792323,MULTI AXIAL SCREW 4.0X16,1712.50
792324,MULTI AXIAL SCREW 4.0X14,1712.50
792325,MULTI AXIAL SCREW 4.0X12,1712.50
792326,ROD TPRD 3.5/5.5X420MM  ,750.00
792327,ROD TPRD 3.5/4.75X420MM ,750.00
792328,ROD PRE-CUT 3.5MMX80MM  ,450.00
792329,ROD PRE-CUT 3.5MMX70MM  ,450.00
792330,ROD PRE-CUT 3.5MMX60MM  ,450.00
792331,ROD PRE-CUT 3.5MMX30MM  ,450.00
792332,ROD PRE-CUT 3.5MMX25MM  ,450.00
792333,ROD TPRD 3.5/5.5MMX420MM,750.00
792334,ROD TPRD 3.5/4.75X420MM ,750.00
792335,DMN OFFSTO/O5.5/6.0/6.35,1125.00
792336,MULTI AXIAL SCREW 3.5X34,1712.50
792337,MULTI AXIAL SCREW 3.5X32,1712.50
792338,MULTI AXIAL SCREW 3.5X30,1712.50
792339,MULTI AXIAL SCREW 3.5X28,1712.50
792340,MULTIAXIAL SCREW 3.5X16 ,1712.50
792341,MULTIAXIAL SCREW 3.5X14 ,1712.50
792342,DMN OFFST O/O 3.5TO4.75 ,1125.00
792343,DMN OFFST O/O 3.5 TO 3.5,1125.00
792344,SET SCREW FLAT CONNECTOR,125.00
792345,CROSSLINK ROD TO ROD M  ,1125.00
792346,CROSSLINK MAS TO MAS M  ,1125.00
792347,CONN LATERAL OPEN 10MM  ,1125.00
792348,ROD STANDARD 3.2MMX240MM,450.00
792349,DMN OFFST 3.5 TO 5.5/6.0,1125.00
792350,CONN LATERAL CLOSED 10MM,1125.00
792351,PLATE OC ADJUSTABLE     ,3750.00
792352,PLATE OC ADJ SMALL      ,3750.00
792353,SCREW OC 5.0X14MM       ,250.00
792354,SCREW OC 5.0X12MM       ,250.00
792355,SCREW OC 5.0X10MM       ,250.00
792356,SCREW 3600508 OC 5.0X8MM,250.00
792357,SCREW 3600506 OC 5.0X6MM,250.00
792358,SCREW OC 4.5X14MM       ,250.00
792359,SCREW OC 4.5X12MM       ,250.00
792360,SCREW OC 4.5X10MM       ,250.00
792361,SCREW 3600408 OC 4.5X8MM,250.00
792362,SCREW 3600406 OC 4.5X6MM,250.00
792363,CONN OC EYELET OFFSET   ,1125.00
792364,CONNECTOR OC EYELET STD ,1125.00
792365,ROD SPNL CRV 3.5X200MM  ,750.00
792366,ROD SPNL ADJ 3.5X200MM  ,750.00
792367,ROD SPNL CRV 3.5X200MM  ,750.00
792368,ROD SPNL ADJ 3.5X200MM  ,750.00
792412,CATHETER BI D HIGH DENSI,4586.00
792419,STENT XIENCE 38MM 4.0MM ,1925.00
792420,STENT XIENCE 33MM 4.0MM ,1925.00
792421,STENT XIENCE 28MM 4.0MM ,1925.00
792422,STENT XIENCE 23MM 4.0MM ,1925.00
792423,STENT XIENCE 8MM 4.0MM  ,1925.00
792424,STENT XIENCE 33MM 3.5MM ,1925.00
792425,STENT XIENCE 28MM 3.5MM ,1925.00
792426,STENT XIENCE 23MM 3.5MM ,1925.00
792427,STENT XIENCE 8MM 3.5MM  ,1925.00
792428,STENT XIENCE 38MM 3.25MM,1925.00
792429,STENT XIENCE 33MM 3.25MM,1925.00
792430,STENT XIENCE 28MM 3.25MM,1925.00
792431,STENT XIENCE 23MM 3.25MM,1925.00
792432,STENT XIENCE 18MM 3.25MM,1925.00
792433,STENT XIENCE 15MM 3.25MM,1925.00
792434,STENT XIENCE 12MM 3.25MM,1925.00
792435,STENT XIENCE 8MM 3.25MM ,1925.00
792436,STENT XIENCE 33MM 3.0MM ,1925.00
792437,STENT XIENCE 28MM 3.0MM ,1925.00
792438,STENT XIENCE 23MM 3.0MM ,1925.00
792439,STENT XIENCE 15MM 3.0MM ,1925.00
792440,STENT XIENCE 8MM 3.0MM  ,1925.00
792441,STENT XIENCE 38MM 2.75MM,1925.00
792442,STENT XIENCE 33MM 2.75MM,1925.00
792443,STENT XIENCE 28MM 2.75MM,1925.00
792444,STENT XIENCE 23MM 2.75MM,1925.00
792445,STENT XIENCE 18MM 2.75MM,1925.00
792446,STENT XIENCE 15MM 2.75MM,1925.00
792447,STENT XIENCE 8MM 2.75MM ,1925.00
792448,STENT XIENCE 33MM 2.5MM ,1925.00
792449,STENT XIENCE 28MM 2.5MM ,1925.00
792450,STENT XIENCE 23MM 2.5MM ,1925.00
792451,STENT XIENCE 15MM 2.5MM ,1925.00
792452,STENT XIENCE COR 38MM   ,1925.00
792453,STENT XIENCE COR 33MM   ,1925.00
792454,STENT XIENCE COR 28MM   ,1925.00
792455,STENT XIENCE COR 23MM   ,1925.00
792456,STENT XIENCE COR 18MM   ,1925.00
792457,STENT XIENCE COR 15MM   ,1925.00
792458,STENT XIENCE 18MM 4.0MM ,1925.00
792459,STENT XIENCE 15MM 4.0MM ,1925.00
792460,STENT XIENCE 12MM 4.0MM ,1925.00
792461,STENT XIENCE 38MM 3.5MM ,1925.00
792462,STENT XIENCE 18MM 3.5MM ,1925.00
792463,STENT XIENCE 15MM 3.5MM ,1925.00
792464,STENT XIENCE 12MM 3.5MM ,1925.00
792465,STENT XIENCE 38MM 3.0MM ,1925.00
792466,STENT XIENCE 18MM 3.0MM ,1925.00
792467,STENT XIENCE 12MM 3.0MM ,1925.00
792468,STENT XIENCE 12MM 2.75MM,1925.00
792469,STENT XIENCE 38MM 2.5MM ,1925.00
792470,STENT XIENCE 18MM 2.5MM ,1925.00
792471,STENT XIENCE 12MM 2.5MM ,1925.00
792472,STENT COR 8X2.5MM XIENCE,1925.00
792473,STENT XIENCE COR 12MM   ,1925.00
792474,STENT XIENCE COR 8MM    ,1925.00
792489,BN CMNT PALACOS R HI VIS,144.78
792495,KIT NEURO 10MM DISP     ,30564.24
792499,BN CMNT PLC R+G ARTH HVI,411.78
792520,OBS PER HOUR            ,169.31
792521,SEMI PVT-MED/SURG/GYN   ,4063.40
792526,PSY DX EVAL             ,1120.00
792550,PROC CAT 1              ,2361.91
792551,PROC CAT 2              ,3377.07
792552,PROC CAT 3              ,4824.25
792553,PROC CAT 4              ,6473.21
792554,PROC CAT 5              ,10236.41
792556,SPACER SPNL 12X17MM FORT,13400.00
792559,PLATE 26MM 2 LVL XTND BN,2375.00
792560,PLT 239MM SS 3.5MM SCR  ,3783.75
792565,IMPLT CRNL CMPLX-+ XL PE,35212.65
792570,CNNULA PRFSN 12-15IN 28F,79.59
792572,DEPLOYMENT CATHETER AND ,2352.00
792575,ENDPLATE 12X14MM 7DEG   ,1112.50
792579,PLT 158MM SS 3.5MM SCR 6,3620.63
792586,CANNULA PRFSN 15IN 34FR ,79.59
792587,CANNULA PRFSN VNS 15IN  ,79.59
792588,NAIL 14MM 400MM FEM LT P,5857.50
792602,CANNULA PRFSN 15IN 30FR ,79.59
792676,MULTIAXIAL SCREW 3.5X26 ,1712.50
792677,MULTIAXIAL SCREW 3.5X22 ,1712.50
792678,MULTIAXIAL SCREW 3.5X20 ,1712.50
792679,MESH HRN PLGLY 20X10IN 2,12000.00
792682,MULTIAXIAL SCREW 3.5X24 ,1712.50
792686,PSYTX FAM WO PT 50 MIN  ,1380.00
792687,PSYTX 45MIN PT          ,1317.00
792688,PSYTX 30MIN PT          ,1254.00
792689,PSY EDUC/TRAIN => 45 MIN,893.13
792716,GFT STNT 152X26MM 22FR  ,46237.50
792717,GFT STNT 145X26MM 22FR  ,44362.50
792743,TOOL DSCT 9CM 2MM DMD BU,398.27
792769,ELEC MICTRGTNG INS NRSTM,538.38
792832,INS CVAD W/SQ PORT >5YR ,8375.04
792844,CATHETER ABL 4MM 7FR MED,1167.94
792851,TUBING IRR HDR          ,25.00
792857,SPONGE BNCMNT 8IN ORTH-D,95.48
792896,SPACER SPNL 26X12X10MM R,9500.00
792897,SET SUT HALYARD ST-PEXY ,329.87
792900,PLATE 1.5MM MINI MXLFCL ,1777.45
792901,NEEDLE ASP 25GA BNX FN P,613.54
792902,NAIL 11MM 360MM FEM PIRI,6337.50
792903,GUIDEWIRE VASC 200CM .01,1338.88
792904,COMPONENT PTLR 38X8.5MM ,0.03
792905,CATHETER GD 100CM 6FR .0,1078.52
792925,CATH EP L CRV 6FR INQ   ,678.00
792967,SPACER SPNL 18X12MM FORT,1112.50
792968,SPCR SPNL 18X12MM OD 15M,1112.50
792969,SPACER SPNL 12X33MM FORT,13400.00
792974,SCREW BN 6.5MM 105MM TI ,579.38
792991,LENS IOL 5 D -5 DIOP MOD,310.00
792993,GUIDEWIRE VASC 260CM .03,62.37
792995,GUIDEWIRE VASC 145CM .03,43.12
792999,DEVICE EMBL 12MM 3.75MM ,28770.00
793098,VALVE AOR INSPIRIS RESIL,21250.00
793114,VALVE MTRL MITRACLIP BND,72500.00
793115,VALVE MTRL MITRACLIP BND,72500.00
793148,NAIL 14MM 380MM FEM RT P,5857.50
793181,TUBE 79X12.6X9MM UNCUF  ,83.16
793191,STENT EPRSTH 29MM 7MM 11,8340.00
793193,STEM FEM COLR ATS 8 STD ,5000.00
793198,SPACER SPNL 16X12MM FORT,1112.50
793199,SPACER SPNL 16X12MM FORT,1112.50
793209,SCREW BN 5.5MM 35MM CREO,453.00
793210,SCREW BN 5.5MM 30MM CREO,1132.50
793211,SCREW BN 3.5MM 34MM QUAR,1712.50
793223,NUT SPNL QUARTEX LCK HD ,125.00
793230,KIT PRICRDCTS 60CM 6FR .,222.29
793244,DEFIB CARD INVENTRA 7 VR,18389.23
793245,COVER BUR HL 17MM .3MM C,397.50
793247,CNCTR ROD 33-39MM QRTX  ,1125.00
793259,CAP LCK QUARTEX SPNE THR,125.00
793261,BOLT SPNL 25MM 9MM TI   ,1500.00
793286,AMINO ACIDS MISC COMP   ,511.00
793291,STNT EPRSTH 39X8X11M 7FR,8340.00
793349,PHP ACTIVITY TX =>45 MIN,893.13
793350,PSYTX FAM WO PT 50 MIN  ,1380.00
793351,PHP PSYTX ACT GRP 45-50M,893.13
793352,PHP PSYTX GROUP 45-50MIN,1317.00
793353,PSYTX MULT FAMILY GROUP ,1066.00
793354,PSYTX FAM W PT 50 MIN   ,1380.00
793355,PSYTX 60MIN PT          ,1380.00
793356,IOP ACTIVITY TX =>45 MIN,893.13
793357,PSYTX MULT FAMILY GROUP ,1066.00
793358,PSYTX GROUP (NOT FAMILY),1092.07
793359,PSYTX 60MIN PT          ,1380.00
793361,PSYTX FAM W PT 50 MIN   ,1380.00
793397,IOP ACTIVITY TX =>45 MIN,893.13
793409,PSYTX FAM W PT 50 MIN   ,1380.00
793411,PHP ACTIVITY TX =>45 MIN,893.13
793412,PSYTX FAM WO PT 50 MIN  ,1380.00
793413,PHP PSYTX ACT GRP 45-50M,893.13
793414,PHP PSYTX GROUP 45-50MIN,1317.00
793415,PSYTX MULT FAMILY GROUP ,1066.00
793416,PSYTX FAM W PT 50 MIN   ,1380.00
793417,PSYTX 60MIN PT          ,1380.00
793418,IOP ACTIVITY TX =>45 MIN,893.13
793421,PSYTX 60MIN PT          ,1380.00
793508,SCREW BN 5.5MM 40MM CREO,1132.50
793589,VALVE AOR INSPIRIS RESIL,21250.00
793615,PLT LDDR 1.8MM MDLN TI B,1750.17
793680,DOCETAXEL 1 MG INJJW    ,5.25
793690,**LU177 DOTATATE TX 1MCI,831.25
793693,SCREW SPNL SET STD TI   ,125.00
793701,ROD SPNL 3.5MM X 50MM TI,450.00
793702,ROD SPNL 3.5MM X 40MM TI,450.00
793706,DEV ENDO 200CM 3MM INFIN,431.00
793707,DEFIB CARD .99CM 5.37X7 ,24105.00
793709,CATHETER GD 90CM 7FR LNC,141.68
793710,CATHETER GD 90CM 7FR .08,141.68
793711,CATHETER GD 7FR .081IN L,141.68
793771,SCREW SPNL 4.0 X 20MM TI,1712.50
793772,SCREW SPNL 3.5XX18MM TI ,1712.50
793773,SCREW SPNL 3.5X12MM TI  ,1712.50
793796,BAND ANLPLS 73MM 37.7MM ,3297.50
793814,KIT NRSTM 15CM 1.2MM 1.5,10625.00
793910,SCREW BN 1.7MM 4MM SLF D,192.60
793938,ANCHOR SUT 6.5MM 2 TWNFX,964.60
793946,NERVE BLK TRIGEMINL PV 1,822.12
793947,INJ ILIO INGHYPOGAST NRV,1825.62
793948,INJ NERVE SCIATIC SNGL  ,1825.62
793949,INJ OTHR PRPHY NRV/BRNCH,1825.62
793950,ANES SUP HYPOGASTRC PLEX,2258.36
793951,DESTR PRPHL NRV BRNCH   ,2258.36
793952,CELIAC PLEX DESTION     ,2258.36
793953,INJ SACIL JOINT ARTHRO  ,1825.62
793954,USG NDL PLACEMENT       ,836.00
793976,SCR BN 2.3MM 15MM DRLFR ,122.75
794125,CATH GD 90CM 7FR .081IN ,141.68
794156,BURR SURG 7.5CM 1.5MM LG,308.00
794164,SEALER VESSEL EXTEND    ,1470.00
794288,PROBE GAMMA SINGLE-USE T,736.74
794306,FORCEP MICRO MORAY FOR 1,1294.00
794314,CATHETER BLNDIL .014IN 3,613.54
794391,SCREW BN 4MM 26MM YUKON ,1712.50
794394,SCREW BN 3.5MM 18MM YUKO,1712.50
794410,COIL EMBL 4CM 1.5MM TRGT,5321.25
