"SVCCD","Description","PRICE1","As of Date"
"1110814","OR LEV 4 EA ADD MIN ",349.00,"2/5/2019"
"1110815","OR LEV 5 EA ADD MIN ",407.00,"2/5/2019"
"1110821","AD PROCEDURE OR LV 1",922.00,"2/5/2019"
"1110822","AD PROCEDURE OR LV 2",2413.00,"2/5/2019"
"1110823","AD PROCEDURE OR LV 3",3018.00,"2/5/2019"
"1110824","AD PROCEDURE OR LV 4",3620.00,"2/5/2019"
"1110841","PAIN MGMT IN PROC L1",1905.00,"2/5/2019"
"1110873","PAIN MGMT IN PROC L3",3026.00,"2/5/2019"
"1120001","PACU LEV 1 INI 15 MN",870.00,"2/5/2019"
"1120002","PACU LEV 2 INI 15 MN",2559.00,"2/5/2019"
"1120003","PACU LEV 3 INI 15 MN",3411.00,"2/5/2019"
"1120004","PACU LEV 4 INI 15 MN",4263.00,"2/5/2019"
"1120011","PACU LEV 1 EA ADD MN",19.00,"2/5/2019"
"1120012","PACU LEV 2 EA ADD MN",52.00,"2/5/2019"
"1120013","PACU LEV 3 EA ADD MN",70.00,"2/5/2019"
"1120014","PACU LEV 4 EA ADD MN",87.00,"2/5/2019"
"1131111","ANES LV 1 INI 15 MIN",651.00,"2/5/2019"
"1131112","ANES LV 2 INI 15 MIN",1916.00,"2/5/2019"
"1131113","ANES LV 3 INI 15 MIN",2554.00,"2/5/2019"
"1131121","ANES LV 1 EA ADD MIN",19.00,"2/5/2019"
"1131122","ANES LV 2 EA ADD MIN",53.00,"2/5/2019"
"1131123","ANES LV 3 EA ADD MIN",72.00,"2/5/2019"
"1160111","GI LAB LEV 1 1ST 15 ",5041.00,"2/5/2019"
"1160112","GI LAB LEV 2 1ST 15 ",6838.00,"2/5/2019"
"1160113","GI LAB LEV 3 1ST 15 ",12850.00,"2/5/2019"
"1160121","GI LEV 1 EA ADD MIN ",166.00,"2/5/2019"
"1160122","GI LEV 2 EA ADD MIN ",324.00,"2/5/2019"
"1160123","GI LEV 3 EA ADD MIN ",398.00,"2/5/2019"
"1210016","CEPHALEX 250/5 100ML",7.80,"2/5/2019"
"1210027","ALTEPLASE RECOM 1MG ",245.00,"2/5/2019"
"1210031","NICARDIP 25/10ML INJ",56.00,"2/5/2019"
"1210090","LEVETIRACET 10MG INJ",1.10,"2/5/2019"
"1210115","RIVASTIG 9.5MG PATCH",45.00,"2/5/2019"
"1210116","RIVASTIG 4.6MG PATCH",45.00,"2/5/2019"
"1210145","CEFEPIME 500MG INJ  ",9.50,"2/5/2019"
"1210148","ALTEPLASE RECOM 1MG ",192.00,"2/5/2019"
"1210149","CEFOXITIN 1GM IJ    ",17.00,"2/5/2019"
"1210164","OCTREOTIDE ND 25MCG ",22.00,"2/5/2019"
"1210176","FOSPHENYTOIN 50MG   ",9.50,"2/5/2019"
"1210181","ENOXAPARIN 10MG INJ ",6.30,"2/5/2019"
"1210182","ENOXAPARIN 10MG INJ ",6.30,"2/5/2019"
"1210183","ENOXAPARIN 10MG INJ ",6.30,"2/5/2019"
"1210185","ENOXAPARIN 10MG INJ ",6.30,"2/5/2019"
"1210186","ENOXAPARIN 10MG INJ ",6.30,"2/5/2019"
"1210187","ENOXAPARIN 10MG INJ ",6.30,"2/5/2019"
"1210188","AMPICILLIN/SUB 1.5GM",16.00,"2/5/2019"
"1210194","CEFAZOLIN 500MG INJ ",8.50,"2/5/2019"
"1210195","CEFTRIAXONE 250MGINJ",15.00,"2/5/2019"
"1210196","CEFTRIAXONE 250MGINJ",15.00,"2/5/2019"
"1210197","CEFTRIAXONE 250MGINJ",15.00,"2/5/2019"
"1210206","PHENYTOIN NA 50MGINJ",7.40,"2/5/2019"
"1210207","DOBUTAMINE 250MG INJ",171.00,"2/5/2019"
"1210210","MEROPENEM 100MG INJ ",4.20,"2/5/2019"
"1210212","ACYCLOVIR 5MG INJ   ",0.20,"2/5/2019"
"1210224","LEVOFLOXAC 250MG INJ",156.00,"2/5/2019"
"1210225","LEVOFLOXAC 250MG INJ",107.00,"2/5/2019"
"1210233","KETOROLAC 15MG INJ  ",8.50,"2/5/2019"
"1210238","FLUCONAZOL 200MG INJ",175.00,"2/5/2019"
"1210243","BISMUTH SUB 262MG/15",7.80,"2/5/2019"
"1210250","BUPIVAC-MPF .5% 30ML",16.00,"2/5/2019"
"1210251","MORPHINE PF 10MG INJ",21.00,"2/5/2019"
"1210262","FUROSEMIDE 20MG INJ ",16.00,"2/5/2019"
"1210263","FUROSEMIDE 20MG INJ ",16.00,"2/5/2019"
"1210266","MEGESTROL 400MG/10ML",9.10,"2/5/2019"
"1210267","MEPERID HCL 100MGINJ",16.00,"2/5/2019"
"1210293","LACTOBA-ACIDO-PEC TB",4.50,"2/5/2019"
"1210294","PIPER/TAZOB 1G/.125G",13.00,"2/5/2019"
"1210332","GUAIFEN 300MG/15ML  ",7.80,"2/5/2019"
"1210340","SOD CHLOR .9% 250ML ",100.00,"2/5/2019"
"1210351","ANALGESIC BALM 30GM ",8.30,"2/5/2019"
"1210371","CARBID25-LEVO100MGTB",4.50,"2/5/2019"
"1210377","DICLOFEN .1%OS 5ML  ",35.00,"2/5/2019"
"1210399","HYDROXYZINE PAM 25MG",4.50,"2/5/2019"
"1210432","AMMON LAC 12%CR 140G",33.00,"2/5/2019"
"1210437","RISPERIDONE 2MG ODT ",8.50,"2/5/2019"
"1210439","CLOBETAS .05% CR 15G",234.00,"2/5/2019"
"1210474","PANTOPRAZ 40MG PKT  ",86.00,"2/5/2019"
"1210487","VANCOMYCIN 500MG INJ",18.00,"2/5/2019"
"1210489","CYCLOPENTO 2%OS 5ML ",82.00,"2/5/2019"
"1210507","DEXAMETH 0.25MG ORAL",0.80,"2/5/2019"
"1210540","HEPARIN 1000U INJ   ",192.00,"2/5/2019"
"1210552","PHYTONADIONE 1MG INJ",49.00,"2/5/2019"
"1210554","IPRA-ALBU.5-2.5MG/3M",8.30,"2/5/2019"
"1210569","POTASSI CHL 2MEQ INJ",4.20,"2/5/2019"
"1210606","LET SOLN 3ML        ",19.00,"2/5/2019"
"1210609","LIDO-MPF 0.5% 50ML  ",17.00,"2/5/2019"
"1210620","NYSTAT100K/GM OIN30G",55.00,"2/5/2019"
"1210623","MICONAZOLE 2%PWD 71G",11.00,"2/5/2019"
"1210666","LUBIPROSTONE 8MCG CP",24.00,"2/5/2019"
"1210736","MAGNES SULF 500MGINJ",157.00,"2/5/2019"
"1210740","MORPHINE UP TO 10MG ",16.00,"2/5/2019"
"1210741","MORPHINE UP TO 10MG ",85.00,"2/5/2019"
"1210746","MULTIVITAM INJ 10ML ",36.00,"2/5/2019"
"1210752","VIT D3 1000UNT TAB  ",4.10,"2/5/2019"
"1210757","TRANEXAMIC 1000MG IJ",116.00,"2/5/2019"
"1210801","DEXAMETH NA 1MG INJ ",4.20,"2/5/2019"
"1210807","LIP16.8-PRO40-AMY70C",13.00,"2/5/2019"
"1210876","RANITIDINE 25MG INJ ",28.00,"2/5/2019"
"1210881","DEXAMETH 0.25MG ORAL",3.20,"2/5/2019"
"1210890","MORPH PO 20MG/ML 1ML",6.60,"2/5/2019"
"1210892","ALBUTEROL 90MCG 8GM ",1.00,"2/5/2019"
"1210902","HEPARIN 1000U INJ   ",3.20,"2/5/2019"
"1210926","TRIAMCINOL A 1MG INJ",12.00,"2/5/2019"
"1210928","APLIGRAF SKIN SQ CM ",115.00,"2/5/2019"
"1210934","GRAFTJACKET SQ CM   ",7769.00,"2/5/2019"
"1210961","REGADENOSON 0.1MG IJ",252.00,"2/5/2019"
"1210967","DEXAMETH NA 1MG INJ ",4.20,"2/5/2019"
"1210997","TADALAFIL 20MG TAB  ",142.00,"2/5/2019"
"1210999","ROPINIROLE 3MG TAB  ",4.50,"2/5/2019"
"1211033","POTASSI CHL 2MEQ INJ",3.40,"2/5/2019"
"1211034","POTASSI CHL 2MEQ INJ",34.00,"2/5/2019"
"1211035","DOPAMIN HCL 40MG INJ",37.00,"2/5/2019"
"1211036","MORPHINE PF 10MG INJ",16.00,"2/5/2019"
"1211037","MIDAZOL  HCL 1MG INJ",7.40,"2/5/2019"
"1211039","GENTAMICIN UPTO 80MG",8.50,"2/5/2019"
"1211048","EPO NESRD 1000 U INJ",46.00,"2/5/2019"
"1211052","EPO NESRD 1000 U INJ",46.00,"2/5/2019"
"1211080","TRIAMCIN ACE 10MGINJ",8.50,"2/5/2019"
"1211091","HYDROCORTIS 100MGINJ",40.00,"2/5/2019"
"1211094","METHYLPRED 125MG INJ",30.00,"2/5/2019"
"1211109","ACETYLCYS 20%INH 30M",35.00,"2/5/2019"
"1211117","HEPARIN NA 10U FLUSH",0.30,"2/5/2019"
"1211122","TRIAMCIN ACE 10MGINJ",8.50,"2/5/2019"
"1211157","SOD CHLOR .9% 10ML  ",16.00,"2/5/2019"
"1211159","MAGNES SULF 500MGINJ",61.00,"2/5/2019"
"1211162","HEPARIN 1000U INJ   ",16.00,"2/5/2019"
"1211167","NITROFUR MONO 100MG ",8.30,"2/5/2019"
"1211187","MAGNES SULF 500MGINJ",9.50,"2/5/2019"
"1211188","ACETAMINOPHEN 160/5 ",1.00,"2/5/2019"
"1211196","PHENYLEPH.25%SPR 30M",14.00,"2/5/2019"
"1211198","SOD BICARB 8.4% 50ML",21.00,"2/5/2019"
"1211199","DEXTROSE 50% 50ML   ",24.00,"2/5/2019"
"1211201","PHENYLEPH 1% SPR 15M",12.00,"2/5/2019"
"1211202","MULTIVIT-MIN LIQ 5ML",5.30,"2/5/2019"
"1211205","MULTIVITAMIN W/MINER",1.00,"2/5/2019"
"1211208","K & NA PHOS PWD PKT ",4.50,"2/5/2019"
"1211215","AMINOPHYLL 250MG INJ",11.00,"2/5/2019"
"1211216","DOBUTAMINE 250MG INJ",19.00,"2/5/2019"
"1211226","MORPHINE UP TO 10MG ",16.00,"2/5/2019"
"1211234","ARTIFIC SALIVA 45ML ",20.00,"2/5/2019"
"1211347","MILRINONE 5MG INJ   ",88.00,"2/5/2019"
"1211362","QUETIAPINE 50MG SRTB",29.00,"2/5/2019"
"1211363","QUETIAPINE 150MGSRTB",50.00,"2/5/2019"
"1211431","SKIN CREAM 454GM    ",23.00,"2/5/2019"
"1211493","ALLODERM SQ CM      ",128.00,"2/5/2019"
"1211500","FEBUXOSTAT 40MG TAB ",31.00,"2/5/2019"
"1211507","DRONEDRARONE 400MG  ",21.00,"2/5/2019"
"1211512","ARFORMOTL 15MCG/2ML ",25.00,"2/5/2019"
"1211520","PRASUGREL 10MG TAB  ",56.00,"2/5/2019"
"1211524","LACOSAMIDE 50MG TAB ",28.00,"2/5/2019"
"1211530","NALBUPHINE 10MG INJ ",18.00,"2/5/2019"
"1211531","NEOSTIGMINE .5MG INJ",11.00,"2/5/2019"
"1211630","PALIPERIDONE 1MG INJ",25.00,"2/5/2019"
"1211631","PALIPERIDONE 1MG INJ",25.00,"2/5/2019"
"1211639","GLYCERIN 2GM SUPP   ",7.40,"2/5/2019"
"1211643","ATROPINE 0.01MG INJ ",0.50,"2/5/2019"
"1211645","ATROPINE 0.01MG INJ ",0.50,"2/5/2019"
"1211655","MILNACIPRAN 50MG TAB",15.00,"2/5/2019"
"1211702","FLUCONAZOL 200MG INJ",226.00,"2/5/2019"
"1211767","NOREPI 8MG D5W 250ML",143.00,"2/5/2019"
"1211796","ARTIFIC TEAR OIN3.5G",9.40,"2/5/2019"
"1211886","RIFAXIMIN 550MG TAB ",131.00,"2/5/2019"
"1211902","LIP10.5-PRO35-AMY61.",8.20,"2/5/2019"
"1211903","THROMB REC 20U KIT  ",784.00,"2/5/2019"
"1211996","LIP42-PRO14.2AMY24.6",8.30,"2/5/2019"
"1212086","RISPERIDONE LA 0.5MG",28.00,"2/5/2019"
"1212096","DABIGATRAN 75MG TAB ",20.00,"2/5/2019"
"1212118","ADRENL/EPINEP 0.1MG ",4.20,"2/5/2019"
"1212119","ADRENL/EPINEP 0.1MG ",4.20,"2/5/2019"
"1212133","PCN G BENZ/PROC 100K",33.00,"2/5/2019"
"1212136","PEN G BENZ INJ 100K ",40.00,"2/5/2019"
"1212140","VIT D3 5000UNT CAP  ",1.00,"2/5/2019"
"1212182","MENT.44-ZN20.6% 113G",21.00,"2/5/2019"
"1212192","ACETAMINO 10MG INJ  ",1.30,"2/5/2019"
"1212217","INSULIN 1 UNT INJ   ",2.00,"2/5/2019"
"1212221","INSULIN 1 UNT INJ   ",2.00,"2/5/2019"
"1212223","INSULIN 1 UNT INJ   ",2.00,"2/5/2019"
"1212224","INSULIN 1 UNT INJ   ",2.00,"2/5/2019"
"1212227","INSULIN 1 UNT INJ   ",2.00,"2/5/2019"
"1212233","DM-QUINIDINE 20-10MG",40.00,"2/5/2019"
"1212257","CHLORHEXIN .12% 15ML",7.50,"2/5/2019"
"1212259","LURASIDONE 40MG TAB ",122.00,"2/5/2019"
"1212270","AMIODARONE 30MG INJ ",84.00,"2/5/2019"
"1212271","AMIODARONE 30MG INJ ",84.00,"2/5/2019"
"1212283","RIVAROXABAN 10MG TAB",32.00,"2/5/2019"
"1212286","ROFLUMILAS 500MCG TB",25.00,"2/5/2019"
"1212294","TICAGRELOR 90MG TAB ",19.00,"2/5/2019"
"1212296","MOME/FORM 200/5 13GM",10.00,"2/5/2019"
"1212311","MYCOPHE MOF 250MG PO",7.80,"2/5/2019"
"1212332","RIVAROXABAN 15MG TAB",32.00,"2/5/2019"
"1212348","VILAZODONE 40MG TAB ",21.00,"2/5/2019"
"1212349","LEVOTHYROX 100MCG IV",277.00,"2/5/2019"
"1212358","EPHEDR 50MG/5ML INJ ",27.00,"2/5/2019"
"1212395","NACL/BENZ AL INJ 10M",15.00,"2/5/2019"
"1212409","BENZ 20%DENT .5ML UD",49.00,"2/5/2019"
"1212435","MOME/FORM 100/5 13GM",10.00,"2/5/2019"
"1212470","NEOSTIGMINE .5MG INJ",11.00,"2/5/2019"
"1212498","ADRENL/EPINEP 0.1MG ",4.20,"2/5/2019"
"1212542","HALOPER DEC 50MGINJ ",73.00,"2/5/2019"
"1212547","ROPIVACAINE 1MG INJ ",1.10,"2/5/2019"
"1212585","ATROPINE 0.01MG INJ ",0.50,"2/5/2019"
"1212625","HEPARIN 1000U INJ   ",3.20,"2/5/2019"
"1212641","HYDROMORPH UP TO 4MG",20.00,"2/5/2019"
"1212657","POTASSI CHL 2MEQ INJ",64.00,"2/5/2019"
"1212695","TIMOLOL MAL.5%OS 5ML",16.00,"2/5/2019"
"1212782","RIVASTIG 13.3MG PTCH",45.00,"2/5/2019"
"1212801","LITHIUM CARB 300MGTB",4.50,"2/5/2019"
"1212839","AMOX250/CLAV62.5 75M",21.00,"2/5/2019"
"1212863","BACITR ZN 1GM UD PKT",16.00,"2/5/2019"
"1212886","NALOXONE HCL 1MG INJ",49.00,"2/5/2019"
"1212933","AL400-MG400-SIM40/5M",4.50,"2/5/2019"
"1212942","LEVETIRACE 1000MG TB",4.50,"2/5/2019"
"1212982","GENTAMICIN UPTO 80MG",164.00,"2/5/2019"
"1212983","GENTAMICIN UPTO 80MG",164.00,"2/5/2019"
"1213038","APIXABAN 2.5MG TAB  ",18.00,"2/5/2019"
"1213039","APIXABAN 5MG TAB    ",18.00,"2/5/2019"
"1213041","LINACLOTID 145MCG CP",32.00,"2/5/2019"
"1213134","MORPHINE PF 10MG INJ",16.00,"2/5/2019"
"1213202","ZINC 50MG TAB       ",4.50,"2/5/2019"
"1213233","DIPHE2-ZNACE.1%CR30G",8.30,"2/5/2019"
"1213259","AMMON LAC12%LOT 400G",28.00,"2/5/2019"
"1213271","DIP/LID/AL/MG/SI237M",85.00,"2/5/2019"
"1213301","SKIN CREAM 140GM    ",31.00,"2/5/2019"
"1213324","DOXYCYC MON 100MG CP",7.80,"2/5/2019"
"1213338","CALAM-ZN OX LOT 177M",8.30,"2/5/2019"
"1213343","MITOMYCIN .2MG OPHTH",1003.00,"2/5/2019"
"1213381","CALC CARB 1250MG/5ML",4.50,"2/5/2019"
"1213394","DIAZEPAM 5MG INJ    ",37.00,"2/5/2019"
"1213396","PERMETHRI 1%CRM 60ML",35.00,"2/5/2019"
"1213407","TRACE 5 MINERALS 1ML",25.00,"2/5/2019"
"1213476","CANAGLIFLOZ 300MG TB",49.00,"2/5/2019"
"1213501","WHEAT DEXTRIN PKT   ",7.00,"2/5/2019"
"1213527","HYDROMORPH UP TO 4MG",17.00,"2/5/2019"
"1213544","FLU VAC QUAD 3YR-ADU",56.00,"2/5/2019"
"1213605","PHYTONADI 1MG/ML 1ML",24.00,"2/5/2019"
"1213611","LURASIDONE 20MG TAB ",122.00,"2/5/2019"
"1213711","ADENOSINE 1MG INJ   ",3.20,"2/5/2019"
"1213713","CHLORPROMAZIN 5MG PO",3.30,"2/5/2019"
"1213719","H-COD5-APAP216.7 10M",11.00,"2/5/2019"
"1213860","FENT 10MCG/ML NS30ML",75.00,"2/5/2019"
"1213949","VORTIOXETINE 5MG TAB",36.00,"2/5/2019"
"1213955","PHEN-MIN-PETR OIN60G",7.10,"2/5/2019"
"1214003","ADENOSINE 1MG INJ   ",3.20,"2/5/2019"
"1214006","TESTOSTER CYPION 1MG",0.30,"2/5/2019"
"1214009","PROPOFOL 10MG INJ   ",1.10,"2/5/2019"
"1214010","PROPOFOL 10MG INJ   ",1.10,"2/5/2019"
"1214056","VORTIOXETINE 10MG TB",36.00,"2/5/2019"
"1214061","MENT.44-ZN20.6% 3.5G",7.10,"2/5/2019"
"1214159","SACUT49-VALSA51MG TB",21.00,"2/5/2019"
"1214180","PURAPLY SQ CM       ",448.00,"2/5/2019"
"1214238","ADRENL/EPINEP 0.1MG ",4.20,"2/5/2019"
"1214284","PREDNISONE 1MG ORAL ",1.10,"2/5/2019"
"1214285","PREDNISONE 1MG ORAL ",0.50,"2/5/2019"
"1214286","PREDNISONE 1MG ORAL ",0.30,"2/5/2019"
"1214329","CARIPRAZINE 1.5MG CP",123.00,"2/5/2019"
"1214372","DABIGATRAN 110MG CAP",20.00,"2/5/2019"
"1214375","METHYLENE BLUE.5%10M",602.00,"2/5/2019"
"1214394","LIDOCAINE 4% PATCH  ",17.00,"2/5/2019"
"1214397","TETRACAINE.5%OS 4ML ",14.00,"2/5/2019"
"1214472","KBIC-CIT AC20MEQEFTB",7.80,"2/5/2019"
"1214502","LUBRICANT GEL 6.7GM ",9.50,"2/5/2019"
"1214534","ADRENL/EPINEP 0.1MG ",4.20,"2/5/2019"
"1214581","HYDROMORPH UP TO 4MG",20.00,"2/5/2019"
"1216945","ACETAMINOPH 500MG TB",1.00,"2/5/2019"
"1216946","ACETAMINOPHEN 120MGS",1.00,"2/5/2019"
"1216947","ACETAMINOPHEN 325MG ",1.00,"2/5/2019"
"1216948","ACETAMINOPHEN 650MGS",1.00,"2/5/2019"
"1216950","ACETAZOLAMIDE 250MG ",7.80,"2/5/2019"
"1216954","ACETYLCYS 20%INH 4ML",12.00,"2/5/2019"
"1216955","ACTIV CHARC LIQ 120M",56.00,"2/5/2019"
"1216958","ACYCLOVIR 200MG CAP ",7.80,"2/5/2019"
"1216966","ALLOPURINOL 100MG TB",4.50,"2/5/2019"
"1216967","ALLOPURINOL 300MG TB",4.50,"2/5/2019"
"1216969","ALPRAZOLAM 0.25MG TB",4.50,"2/5/2019"
"1216971","ALPRAZOLAM 0.5MG TAB",4.50,"2/5/2019"
"1216973","AMANTADINE 100MG CAP",7.80,"2/5/2019"
"1216980","AMITRIPTYLINE 25MGTB",4.50,"2/5/2019"
"1216981","AMITRIPTYLINE 10MG T",4.50,"2/5/2019"
"1216983","AMLODIPINE 5MG TAB  ",4.50,"2/5/2019"
"1216989","AMOX TR/K CLA 250 TA",7.80,"2/5/2019"
"1216990","AMOX500-KCLAV125MGTB",7.20,"2/5/2019"
"1216991","AMOX875-CLAV125MG TB",7.80,"2/5/2019"
"1216993","AMOXICILLIN 250MG CP",4.50,"2/5/2019"
"1216997","ANASTROZOLE 1MG TAB ",7.80,"2/5/2019"
"1217006","ASCORBIC AC 500MG TB",4.50,"2/5/2019"
"1217007","ASPIRIN 325MG DR TAB",1.00,"2/5/2019"
"1217010","ASPIRIN 81MG CHEW   ",1.00,"2/5/2019"
"1217011","ASPIRIN 81MG DR TAB ",1.00,"2/5/2019"
"1217012","ASPI25-DIPYR200 SRCP",16.00,"2/5/2019"
"1217013","ATENOLOL 25MG TAB   ",4.50,"2/5/2019"
"1217014","ATENOLOL 50MG TAB   ",4.50,"2/5/2019"
"1217016","ATORVASTATIN 10MG TB",4.50,"2/5/2019"
"1217026","AZITHROMYCIN 250MGTB",7.80,"2/5/2019"
"1217028","AZTREONAM 1GM SOLR  ",72.00,"2/5/2019"
"1217032","BACITRACIN 50000U IM",16.00,"2/5/2019"
"1217034","BACLOFEN 10MG TAB   ",4.50,"2/5/2019"
"1217046","BENZONATATE 100MG CP",4.50,"2/5/2019"
"1217048","BENZTROPINE ME 1MGTB",4.50,"2/5/2019"
"1217057","BETHANECHOL 25MG TAB",7.80,"2/5/2019"
"1217058","BICALUTAMIDE 50MG TB",7.80,"2/5/2019"
"1217059","BISACODYL 5MG DR TAB",4.50,"2/5/2019"
"1217060","BISACODYL 10MG SUPP ",7.10,"2/5/2019"
"1217071","BUMETANIDE 1MG/4ML  ",16.00,"2/5/2019"
"1217073","BUMETANIDE 1MG TAB  ",4.50,"2/5/2019"
"1217078","BUPIVACAIN .75% 30ML",16.00,"2/5/2019"
"1217079","BUPIV.75/DEX8.25% 2M",16.00,"2/5/2019"
"1217085","BUPROPION 100MG SRTB",4.50,"2/5/2019"
"1217087","BUPROPION 75MG TAB  ",7.80,"2/5/2019"
"1217088","BUSPIRONE 5MG TAB   ",4.50,"2/5/2019"
"1217093","CAFF/NA BENZ 500 INJ",208.00,"2/5/2019"
"1217095","CALCITRIOL .25MCG CP",7.80,"2/5/2019"
"1217096","CALCIUM ACE 667MG CP",7.80,"2/5/2019"
"1217099","TAMOXIFEN 10MG TAB  ",7.80,"2/5/2019"
