Price List: SE Health Price List,,
Service Name,Procedure Code,Price ($)
Arthrocentesis Aspir/Inj - Major Joint,20610,658.82
Aspir/Inj - Major Joint  Bedside,20610,658.82
Bone Marrow Aspiration Spine Surg Only,20939,224.54
Ablation Bone Tmr Perc w/ Img Guidance,20982,12398.98
Musculoskeletal Unlstd Proc,20999,4062.72
Inj Proced TMJ Arthrography - RT,21116,93.34
Inj Proced TMJ Arthrography - LT,21116,93.34
Inj Proced TMJ Arthrography - Bil,21116,140.54
Closed/Open Nasal Fracture,21310,356.39
Close Tx Nose Fx,21315,687.31
Tx Fx Bone Nasal w/Stabl Clsd,21320,1705.48
Tx Fx Orbit W/o Man Clsd,21400,1045.97
Tx Fx Mandib Clsd,21450,463.35
Temporomandib Disloc-uncompl,21480,801.13
Sternum Fx Closed,21820,1019.66
Bx Tissue Back Soft Superficl,21920,1647.05
Percutaneous Vertbrolplasty - Cervicothoracic,22510,8567.94
Percutaneous Vertbrolplasty w/ S&I - Lumbosacral,22511,8567.94
Ea Addl Cervicothoracic or Lumbosacral Vertebral Body,22512,876.23
Percut Kyphoplasty Thoracic,22513,20818.68
Percut Kyphoplasty Lumbar,22514,20818.68
Ea Addl T Or L Vert Body Kypho,22515,10409.33
I&D Abscess Shoulder Deep,23030,2572.94
Inj Proced Shoulder Arthrogram - RT,23350,1098.03
Inj Proced Shoulder Arthrogram - LT,23350,1098.03
Inj Proced Shoulder Arthrogram - Bil,23350,1647.05
Closed Clavicular Fx w/o Manip,23500,75.53
Closed Clavicular Fx w/ Manip,23505,430.93
Tx Dislocated Sternoclav Closed W/O Manipulation,23520,269.74
Tx Dislocated Sternoclav Closed W/ Manipulation,23525,214.37
Closed Trtmnt Acrom Disloc w/ Manipulatn,23545,230.19
Closed Scapular Fx w/o Manip,23570,34.68
Tx Fx Scapula w/Man Clsd,23575,572.09
Closed Humeral Fx w/o Man,23600,248.33
Closed Fx Prox Humer Fac w/Man,23605,726.52
Tx Fx Humer Tuber w/man Cls,23625,595.37
Treat Closed Shoulder Disloc,23650,54.60
Closed Tx Shoulder Dis W Anes,23655,2808.31
I&d Absc Arm/elbow,23930,915.68
I&D Bursa Arm/Elbow Deep,23931,1118.00
Removal/foreign Body-upper Arm,24200,345.95
Remove FB Arm/Elbow Deep,24201,2261.21
Inj Proced Elbow Arthrography - RT,24220,405.22
Inj Proced Elbow Arthrography - LT,24220,405.22
Inj Proced Elbow Arthrography - Bil,24220,609.41
Closed Jumeral Shaft Fx W/O M,24500,248.33
Treat Humerus Fx,24505,586.16
Tx Fx Humer Supra/Tran Clsd,24530,127.93
Tx Fx Humer Supra/Tran Man,24535,601.19
Tx Fx Humer Epicond Clsd,24560,554.01
Treat Humerus Fracture,24565,1079.09
Closed Tr Humeral Condylar Fx,24576,729.89
Clsd Tx Condylar Fx w Manip TC,24577,807.01
Closed Elbow Disloc W/o Anes,24600,93.71
Tx Fx Elbow/Monteggia w/Man,24620,658.48
Radial Head Subluxation W/man,24640,184.61
Closed Radial Head/Neck Fx w/o,24650,191.68
Treat Radius Fracture,24655,103.16
Tx Fx Ulna Prox Clsd,24670,54.55
Closed Tx Ulnar Fx w/Manip TC,24675,1284.61
Inj Proced Wrist Arthrography - RT,25246,331.91
Inj Proced Wrist Arthrography - LT,25246,331.91
Inj Proced Wrist Arthrography -Bil,25246,497.42
Repair Tendon/Muscle Flexor,25260,430.47
Repair Forearm Tendon/Muscle,25270,528.01
Closed Radial Shaft Fx w/o Man,25500,276.98
Tx Fx Radial Shft w/Man Clsd,25505,74.56
Closed Ulnar Shaft Fx w/o Man,25530,324.26
Tx Fx Ulna Shft w/man Clsd,25535,571.63
Closed Tx Rad/Ulna Fx w/o Man,25560,1082.61
Closed Tx Rad/ulna Fx W/manip,25565,1353.87
Closed Distal Radial Fx w/o M,25600,180.05
Treat Dist Rad Fx Epiphy Sep,25605,220.78
Closed Carpal Scaphoid Fx Tc,25622,346.97
Tx Fx Navicular W/man Clsd,25624,777.42
Cl Carpal Bone Fx w/o Man Tc,25630,154.64
Tx Fx Carpal w/Manip Closed,25635,459.40
Closed Ulnar Styloid Fx,25650,232.97
Tx Disl Carpal W/man Clsd,25660,562.01
Tx Disl Wrist w/Manip Clsd,25680,983.69
Drain Finger Abscess Simp,26010,271.62
Drain Finger Abscess Comp,26011,436.10
Exc hand les sc < 1.5 cm,26115,4044.09
Repair Tendon Digit Flew N-Zone 2,26350,1620.50
Repair Finger Hand Tendon EA TC,26356,3569.53
Rpr Extensor Tendon Hand,26410,1049.20
Extensor Tendon Repair Finger,26418,174.01
Closed Metacarp Fx - Single W/O Manipulation,26600,704.93
Closed Treatment Metacarpal Fx,26605,361.39
Carpometacarpal Disloc Thumb,26641,202.79
Cl Carpometacapral Fx Thumb Tc,26645,385.19
Cl Carpometacarpal Disloc,26670,201.89
Closed Metacarpophalengeal Dis,26700,205.85
Mid Prox Fx w/o Manip-Fingers,26720,131.48
Mid Prox Fx W/manip-fingers,26725,440.12
Cl Tx Dist Phal Fx w/o Manip TC,26750,387.15
Tx Closed Reduction Fx Finger,26755,629.62
Closed Interphalangeal Joint D,26770,193.19
Bx Tissue Pelvis Hip/Superfic,27040,1808.46
Bx Tissue Pelvis/Hip Superfic,27040,1808.46
CT Guided Bx Pelvic Hip Deep,27041,1647.05
US Guided Bx Pelvic Hip Deep,27041,1627.29
Removal FB Pelvis/Hip Subq,27086,1219.77
Removal FB Pelvis/Hip - Deep,27087,2987.16
Inj Proced Hip Arthrography - RT,27093,484.23
Inj Proced Hip Arthrography - LT,27093,484.23
Inj Proced Hip Arthrography - Bil,27093,726.90
Ct Inj Sacroiliac Jnt,27096,1236.38
CT Inj Sacroiliac Jnt Bilat,27096,1854.58
Inj Sacroiliac Jnt,27096,1236.33
Inj Sacroiliac Jnt Bilat,27096,1854.67
Inj Sacroiliac Joint - RT,27096,1236.38
Inj Sacroiliac Joint - LT,27096,1098.03
Inj Sacroiliac Joint - Bilateral,27096,1647.05
Tx Fx Pelvic Ring w/o Man C,27197,662.98
Closed Coccygeal Fracture,27200,248.33
Tx Fx Fem Prox w/Man Clsd,27232,2009.42
Closed Treatment Thigh Fracture,27238,848.72
Tx Fx Fem Trouchan w/Man Clsd,27240,1281.13
Traumatic Closed Hip Disl W/o,27250,514.50
Tx Dislocated Hip Spontaneous,27256,128.79
Cl Tx Sp Hip Ar Dis Wo Anes,27265,285.50
SP Cementoplasty of Acetabulum,27299,550.02
I&d Absc/bursa Thigh/knee,27301,1935.14
Inj Contrast Knee Arthrography - RT,27370,330.52
Inj Contrast Knee Arthrography - LT,27370,330.52
Inj Contrast Knee Arthrography - Bil,27370,496.31
Closed Treatment Femoral Shaft Fx,27500,684.28
Closed Knee Disloc W/o Anes,27550,215.32
Closed Patellar Disloc W/o Ane,27560,282.89
I&D Absc Leg/Ankle - Deep,27603,2046.17
I&D Bursa Leg/Ankle - Infection,27604,2987.16
Inj Proced Ankle Arthrography - RT,27648,93.34
Inj Proced Ankle Arthrography - LT,27648,93.34
Inj Proced Ankle Arthrography - Bil,27648,140.54
Tx Tibial Fx Closed w/ Manipulation,27752,3952.91
Closed TX Post Mall Fx w/ Manipulation,27768,560.00
Closed Trmt Distal Fibular,27788,687.46
Closed Tx Ankle Fx w/ Manipulation,27810,1352.65
Closed Treat Trim Ankle W/man,27818,1005.12
Ankle Dislocation W/o Anes,27840,248.33
Remove Fb Foot Subq,28190,413.81
Remove Fb Foot Deep,28192,2046.96
Remove FB Foot - Complicated,28193,922.78
Repair Tendon Flex Foot,28200,2925.28
Treatment Fx Talus w/ Manipulation - Closed,28435,2291.54
Closed Metatarsal FX w/o Manip,28470,73.41
TX FX Metacarpal w/Man Clsd,28475,107.54
Closed Fx Phalanx/phalanges,28515,25.44
Tx Disl Tarsal W/o Anes Clsd,28540,45.59
Tx Disl Talotar W/o Anes Cl,28570,438.55
Tx Distal Tarsometatarsal w/o Anesthesia,28600,378.99
Closed Metatarsophalangeal W/o,28630,245.35
Closed Interphalengeal W/o Ane,28660,267.37
Apply Cast Velpeau Plaster,29058,153.51
Applic Plaster Should/hand,29065,205.84
Applic Cast Elbow-finger,29075,431.81
Apply Cast Hand/Forearm,29085,138.38
Apply Long Arm Splint,29105,181.64
App Short Arm Splint Static,29125,138.17
Apply Shrt Arm Splint Dynam,29126,143.77
Apply Finger Splint Static,29130,107.67
Strapping Thorax,29200,112.61
Strapping  Shoulder,29240,113.59
Strapping Elbow/Wrist,29260,143.77
Strapping Hand/finger,29280,84.07
Application of Hip Long Leg Cast,29345,182.81
Apply Short Leg Cast,29405,401.97
Application Short Leg Walking Cast,29425,174.14
Application Cast Tendon Patellar,29435,267.29
Add Walker to Previously Applied Cast,29440,565.95
APPLY CAST LEG RIGID CONTACT,29445,682.12
Application Cast Clubfoot,29450,76.97
Apply Long Leg Splint,29505,180.04
Apply Short Leg Splint,29515,153.80
Strapping Hip,29520,180.47
Strapping Knee,29530,143.77
Strapping Ankle,29540,101.68
Strapping Toes,29550,143.77
Application Boot/Comp Wrap Bilateral,29580,517.74
Strapping Unna Boot,29580,180.57
Apply Bil Multl Comprs Bl Knee,29581,517.74
Apply Multlay Comprs Bl Knee,29581,215.92
App Multlay Comprs Sys Thigh/l,29582,215.92
Rem/Biv Cast Gauntlet/Boot/Body,29700,130.71
Removal Full Arm/Leg Cast,29705,66.62
Removal Cast Spica/Miner/Risser,29710,159.08
Windowing of Cast,29730,102.66
Unlisted Procedure Casting,29799,153.51
Remove Fb Intranasal,30300,235.08
Control Hemorrhage-simple Uni,30901,140.47
Control Hemorrhage-complex-uni,30903,136.18
Control Hemorrhage Post W/pack,30905,490.16
Control Nasal Hemorrhage Post,30906,319.43
Intubation Et Emerg Px,31500,562.34
Trach Tube Change - ER,31502,206.02
Laryngoscopy Indirect Diag,31505,78.86
Laryngoscopy Indirect w/ Removal FB,31511,494.11
Diag Laryngoscopy Direct,31525,4005.62
Laryngoscopy Flex Fiberscopic,31575,571.39
36827 - Laryngoscopy Flex Fiberscopic,31575,349.20
Dx Laryngoscopy  Bedside,31575,461.17
Tracheostomy - Emergency Proc,31603,1378.70
Tracheostomy Cricothyroid Memb,31605,1216.42
Cryo Biopsy Single Lobe,31628,6996.79
Pulmonary Balloon Dilation,31630,7130.69
Plcmt of Bronchial Stent w/Balloon Dilation,31631,12804.96
Cryo Removal of Foreign Body,31635,3724.48
Cryo Destruction of Tumor,31641,7130.69
Bronchial Valve Initial Insertion,31647,15373.28
Bronchial Valve Removal Initial,31648,8085.20
Bronchial Valve Removal Add'l,31649,4090.23
Bronchoscopy Thermoplasty 1 Lobe,31660,15030.29
Bronchoscopy Theroplasty 2/> Lobes,31661,15030.29
Nasotracheal Suction,31720,206.24
Neonatal Airway Maintenance,31720,202.60
CT Biopsy of Pleural Fluid,32400,2196.06
Biopsy Pleura,32400,1976.46
CT Lung or Mediastinum Biopsy,32405,2196.06
US Lung Biopsy,32405,1427.45
Biopsy Lung/Mediastinum,32405,1976.46
Chest Tube for Pneumothorax,32422,1513.09
Insrt Cath Pleurl Indwl W/cuff,32550,6588.19
Insertion Chest Tube,32551,1098.03
Thoracentesis Ins Chest Tube,32551,1512.56
ER - Insertion of Chest Tube,32551,1600.93
Tube Thoracostomy with Water Seal Bedside,32551,2948.91
Rmvl Ndwellg Tun Pleural Cath,32552,1074.98
ER - Thoracentesis w/o Imaging,32554,1098.03
Bedside - Thoracentesis w/o Imaging,32554,1098.03
Thoracentesis w/ Imaging,32555,1317.64
ER - Thoracentesis w/ Imaging,32555,1098.03
Thoracentesis w/ Imaging - Bilateral,32555,2060.00
ER - Pleural Drainage Perc w/o Imaging,32556,1317.64
Insertion of Chest Tube w/ Imaging,32557,1317.64
Thoracostomy Insrt Chest Tube,32557,1098.03
ER - Pleural Drainage Perc w/ Imaging,32557,1317.64
Instillatn Agent Fibrinolysis-Chest Tube,32561,1597.64
Ablation Lung Percutaneous,32998,13176.38
Thoracic Unlstd Proc,32999,1098.03
SE Tunneled Pleural Cath Check/Manipulation,32999,681.88
Pericardiocentesis - Initial,33010,1734.89
Pericardiocentesis : Initial,33010,1098.03
Pericaridocentesis - Subsequent,33011,1098.03
Tube pericardiostomy (incision of heart sac),33015,1098.03
Pericardial Window,33025,3575.23
65710 - Temp. Pacemaker Insertion,33210,721.96
Insertion Temp Pacemaker,33210,501.71
35200 - IABP Insertion,33967,2439.88
"IABP REMOVAL, PERCUTANEOUS",33968,669.50
SH2127 - Insertion VAD,33990,2439.88
94095 - Cardiac Unlisted Procedure,33999,1357.17
Bedside - Repair of Blood Vessel Lesion,35226,1483.20
Inj Tx Pseudoaneur Extrem Perc,36002,816.93
Intro Needle Vein/Inj Proceudr,36005,267.55
Intro Needle Vein/Inj Procedure,36005,267.55
Intro Cath Superior Inter Vena,36010,1207.84
65204 - Intro Cath To Ivc/svc,36010,1566.68
Sel Cath Placement,36011,1406.59
Sel Cath Placement Bilateral,36011,1857.87
Place Cath Venous 2nd Order,36012,1759.04
65516 - Intro Cath R Hrt/main Pulm Art,36013,1116.32
Intro Cath Artery Heart/Pulm,36013,1098.03
65518 - Sel Cath Placemnt L/r Pulm Art,36014,1354.20
Biltrl Slctv Pulmon Angiogram,36014,1486.13
Unltrl Slctv Pulmon Angiogram,36014,990.76
Uniltrl Slctv Pulmon Angiogram,36014,990.76
65519 - Sel Cath Placemnt Seg Pulm Art,36015,1574.75
Biltrl Slctv Sgmntl Pulm Angio,36015,1486.13
Uniltrl Slctv Sgmntl Pulm Angio,36015,990.76
Intro Ndl/Cath Artery - Retro Brachial Arty,36120,1256.25
Intro Ndl/Cath Artery - Retro Brachial Arty Bilateral,36120,1884.40
Intro Cath Ext Artery,36140,1144.77
Intro Cath Ext Artery Bilateral,36140,1717.17
Intro Needle/ Intracatheter Aortic Translumbar,36160,2415.67
Intro Cath Aorta,36200,1626.19
Place Cath Thor/brac 1st Order,36215,1918.26
Place Cath Thor/brac 2nd Order,36216,2301.47
Place Cath Thor/brac 3rd Order,36217,2476.07
Place Cath Thor/brac Add,36218,1306.66
NonSlctv Cath Thor Aorta Angio,36221,7312.30
Slctv Cath Crtd/Innom Art Extcr,36222,7312.30
Slc Cath Crtd/Innm Art Ext Bil,36222,10968.44
Slct Cath Crtd/Innom Art Intra,36223,7312.30
Slc Cath Crtd/Innm Art Int Bil,36223,10968.44
Slctv Cath Intrnl Carotid Art,36224,11958.88
Slctv Cath Intrnl Crtd Art Bil,36224,17938.33
Slctv Cath Subclavian Art Angi Uni,36225,7312.30
Slctv Cath Subclv Art Angi Bil,36225,10968.44
Slctv Cath Vertebral Art Angio,36226,11958.88
Slctv Cath Vrtbrl Art Angi Bil,36226,17938.33
Slctv Cath Xtrnl Carotid Angio,36227,7686.22
Slctv Cath Xtrnl Crtd Angi Bil,36227,11529.34
Slctv Cath Intrcrnl Brnch Angi,36228,6588.19
Slct Cath Intcnl Brnch Ang Bil,36228,9882.28
Aorta-abd Sel Cath 1st Ord,36245,2126.25
Place Cath Abd/Pel 1st Order,36245,2023.76
