Mnemonic,Name,  Std Price  , Self Pay Price 
3152201,LD-Tray Vag Pack, $51.00 , $38.25 
3152205,LD-Assessment 1 Hr, $165.00 , $123.75 
3152206,LD-Assessment Add'l 6 Hr, $247.00 , $185.25 
3153302,LD-Uristix, $33.00 , $24.75 
3170001,NSY-R/C Chg," $1,250.00 ", $937.50 
3170002,NSY-Intn Care 2," $1,298.00 ", $973.50 
3170003,NSY-Intn Care 3," $1,438.00 "," $1,078.50 "
3170004,NSY-Intn Care 4," $1,608.00 "," $1,206.00 "
3170013,NSY-Lvl II OBV Flat Chg, $485.00 , $363.75 
3170014,NSY-Lvl 2-OBV Hourly Rate, $46.00 , $34.50 
3171001,NSY-Infus Hydration Init 31-60, $483.00 , $362.25 
3171002,NSY-Infus Hydrat Ea Addl 31-60, $108.00 , $81.00 
3171004,NSY-Infus Therapeut Init 16-60, $488.00 , $366.00 
3171005,NSY-Infus Therap Ea Addl 16-6, $108.00 , $81.00 
3171013,NSY-Lumbar Puncture, $464.00 , $348.00 
3171014,NSY-SC/IM Inj, $150.00 , $112.50 
3171015,NSY-IV inj 1st Drug, $207.00 , $155.25 
3171018,NSY-IV Push Ea Add New ME, $207.00 , $155.25 
3171023,NSY-IV Push Ea Ad Seq Same Med, $207.00 , $155.25 
3171024,NSY-Immunization Admin, $192.00 , $144.00 
3171127,NSY-Hematocrit, $86.00 , $64.50 
3171130,NSY-Circumcision Supply, $160.00 , $120.00 
3171131,NSY-Bili Light, $160.00 , $120.00 
3171132,NSY-Urine Specific Gravit, $27.00 , $20.25 
3171133,NSY-UAC Tray, $153.00 , $114.75 
3171135,NSY-Chest Tube Insert Tray, $81.00 , $60.75 
3171137,NSY-Pediatric Spinal Needle, $20.00 , $15.00 
3171139,NSY-Newborn Hearing Scrn, $233.00 , $174.75 
3171140,NSY-PAD Brest Soothie, $57.00 , $42.75 
3171141,NSY-Newborn Circumcision, $450.00 , $337.50 
3171142,NSY-PKU Expanding Test Order,, $-   
3171143,NSY-Hydroxyprogesterone 17, $130.00 , $97.50 
3171144,NSY-Galactosemia, $71.00 , $53.25 
3171145,"NSY-Thyroxine, Neonatal", $50.00 , $37.50 
3171146,"NSY-TSH,Neonatal", $131.00 , $98.25 
3171147,NSY-HGB Fractionation Neo, $71.00 , $53.25 
3171148,NSY-Mass Spectrometry, $150.00 , $112.50 
3171149,NSY-Bilirubin Transcutaneous, $27.00 , $20.25 
3210001,CCU-R/C Chg," $2,676.00 "," $2,007.00 "
3210004,CCU-Obv Hrly Chg, $33.00 , $24.75 
3210007,CCU-Cardioversion, $807.00 , $605.25 
3210008,CCU-Infus Therapeutic Concurre, $81.00 , $60.75 
3210011,CCU-Non-CCU Room Rate," $1,770.00 "," $1,327.50 "
3210012,CCU-Recovery Room 1st Hour, $567.00 , $425.25 
3210013,CCU-Recovery Ea Add 1/2 Hour, $126.00 , $94.50 
3211000,CCU-Ext Recovery, $298.00 , $223.50 
3211001,CCU-Infus Hydration Unit 31-60, $449.00 , $336.75 
3211002,CCU-Infus Hydrat Ea Addl 31-60, $100.00 , $75.00 
3211004,CCU-Infus Therapeu Init 16-60, $569.00 , $426.75 
3211005,CCU-Infus Therapy Ea Add 16-60, $116.00 , $87.00 
3211006,CCU-IV Inf Therapy Addit Seq, $133.00 , $99.75 
3211009,CCU-Picc Line Insertion," $2,505.00 "," $1,878.75 "
3211011,CCU-Outpt Drsg Change, $158.00 , $118.50 
3211012,CCU-Blood Transfusion, $683.00 , $512.25 
3211013,CCU-Lumbar Puncture, $430.00 , $322.50 
3211014,CCU-SC/IM Injection, $150.00 , $112.50 
3211015,CCU-IV Injection 1st Drug<15MI, $304.00 , $228.00 
3211016,CCU-IM Antibiotic Injection, $150.00 , $112.50 
3211018,CCU-IV Push Subseq New Drug, $192.00 , $144.00 
3211023,CCU-IV Push Rep Drug <15 1st D, $192.00 , $144.00 
3211120,CCU-RENAL DIALYSIS IN HOUSE," $1,105.00 ", $828.75 
3211126,CCU - Bladder Scan, $145.00 , $108.75 
3230001,PCU-R/C Chg," $1,792.00 "," $1,344.00 "
3230004,PCU-OBV Hourly Chg, $30.00 , $22.50 
3230007,PCU-Cardioversion, $807.00 , $605.25 
3230008,PCU-Infus Therapeutic Concurre, $81.00 , $60.75 
3231000,PCU-Ext Recovery, $282.00 , $211.50 
3231001,PCU-Infus Hydration Init 31-60, $449.00 , $336.75 
3231002,PCU-Infus Hydrat Ea Add 31-60, $100.00 , $75.00 
3231004,PCU-Infusion Ther Init 16-60, $453.00 , $339.75 
3231005,PCU-Infus Therap Ea Add 16-60, $100.00 , $75.00 
3231006,PCU-IV Inf Therapy Addit Sequ, $133.00 , $99.75 
3231009,PCU-Picc Line Insertion," $2,505.00 "," $1,878.75 "
3231010,PCU-Non-PCU Room Rate, $972.00 , $729.00 
3231011,PCU-Outpt Drsg Change, $158.00 , $118.50 
3231012,PCU-Blood Tranfusion, $683.00 , $512.25 
3231013,PCU-Lumbar Puncture, $430.00 , $322.50 
3231014,PCU-SC/IM Injection, $150.00 , $112.50 
3231015,PCU-IV Injection 1st Drug, $192.00 , $144.00 
3231016,PCU-IM Antibiotic Injection, $150.00 , $112.50 
3231017,PCU-Telemetry Charge, $381.00 , $285.75 
3231018,PCU-IV Push Ea Add New Me, $192.00 , $144.00 
3231023,PCU-IV Push Ea Ad Seq Same Med, $192.00 , $144.00 
3231126,PCU-Bladder Scan, $145.00 , $108.75 
3290002,HW-Observation Direct Admit," $1,397.00 "," $1,047.75 "
3290003,HW-Observation Hrly Charge, $51.00 , $38.25 
3290004,Extended Recovery, $51.00 , $38.25 
3290007,HW-Cardioversion, $807.00 , $605.25 
3290008,HW-Infus Therapeutic Concurren, $81.00 , $60.75 
3291001,HW-INFUS HYDRATION INIT 31-60M, $498.00 , $373.50 
3291002,HW-INFUS HYDRATIO EA ADD 31-60, $107.00 , $80.25 
3291004,HW-INFUS THERAPEUTI INIT 16-60, $596.00 , $447.00 
3291005,HW-INFUS THERAPEU EA ADD 16-60, $112.00 , $84.00 
3291006,HW-IV INF THERAPY ADDIT SEQUEN, $304.00 , $228.00 
3291009,HW-PICC LINE INSERTION, $952.00 , $714.00 
3291011,HW-CLINIC VISIT, $158.00 , $118.50 
3291012,HW-BLOOD TRANSFUSION, $759.00 , $569.25 
3291013,HW-LUMBAR PUNCTURE, $478.00 , $358.50 
3291014,HW-SC/IM INJECTION, $150.00 , $112.50 
3291015,HW-IV INJECTION 1ST DRUG, $213.00 , $159.75 
3291018,HW-IV PUSH EA ADD NEW MED, $213.00 , $159.75 
3291019,HW-Paracentesis," $1,001.00 ", $750.75 
3291020,HW-Hemophilus B Vac Booster, $113.00 , $84.75 
3291021,HW-Immunization Admin 1 Vac, $116.00 , $87.00 
3291022,HW-Immunixation Adm Ea Addl 1, $116.00 , $87.00 
3291023,HW-IV Push Ea Add Seq Same Dru, $192.00 , $144.00 
3291024,HW-Chemo IV Infusion Initial, $492.00 , $369.00 
3291025,HW-Chemo Iv Infusion Ea Addl, $119.00 , $89.25 
3291026,HW-ADMIN HEP B VACCINE, $137.00 , $102.75 
3291028,HW-Procedure Charge, $622.00 , $466.50 
3291029,HW-Port Flush, $150.00 , $112.50 
3291030,HW-Bladder Cath Change, $197.00 , $147.75 
3291031,HW-Change Suprapubic Cath, $598.00 , $448.50 
3291032,HW-Draw Blood Off Venous Devic, $271.00 , $203.25 
3291033,HW-Collect Blood From PICC Lin, $271.00 , $203.25 
3291034,HW-Chg Nephrostomy Tube," $1,842.00 "," $1,381.50 "
3291035,HW-INJ ANESTH AGENT," $1,500.00 "," $1,125.00 "
3291036,HW-INJ ANESTH AGENT BILAT," $2,250.00 "," $1,687.50 "
3291126,HW-BLADDER SCAN, $161.00 , $120.75 
3311101,OR-1 INITIAL SURGERY," $2,682.00 "," $2,011.50 "
3311102,OR-1 ADDITIONAL 15 MIN, $79.00 , $59.25 
3312201,OR-2 INITIAL SURGERY," $2,136.00 "," $1,602.00 "
3312202,OR-2 ADDITIONAL 15 MINUTES, $51.00 , $38.25 
3318886,OR-EVICEL," $1,008.00 ", $756.00 
3318887,OR-ANALYSIS OF NEUROSTIM, $375.00 , $281.25 
3318888,OR-Stereotactic Comp. Asst Vol, $322.00 , $241.50 
3318889,OR-REMOVAL PORT A CATH, $838.00 , $628.50 
3319000,OR-LITHOTRIPSY," $9,369.00 "," $7,026.75 "
3331001,PAR-Infus Hydration Init 31-60, $444.00 , $333.00 
3331002,PAR-Infus Therap Ea Add 1 hour, $113.00 , $84.75 
3331004,PAR-Infus Therapeut Init 16-60, $447.00 , $335.25 
3331005,PAR-Infus Therap Ea Add 16-60, $99.00 , $74.25 
3331014,PAR-SC/IM Injection, $150.00 , $112.50 
3331015,PAR-IV Injection 1st Drug<15, $188.00 , $141.00 
3331016,PAR-IM Antibiotic Injection, $150.00 , $112.50 
3331018,PAR-IV Push Subseq New Drug, $188.00 , $141.00 
3331101,PAR-Recovery Room, $627.00 , $470.25 
3331103,PAR-Add 1/2 Hr, $141.00 , $105.75 
3331104,PAR-Recovery Room-No Anest, $137.00 , $102.75 
3331108,PAR-Procedure Room, $213.00 , $159.75 
3331126,PAR-Bladder Scan, $143.00 , $107.25 
3332000,PAR-Fem Nerve Block Single, $798.00 , $598.50 
3332103,PAR-Interscalene Block, $537.00 , $402.75 
3332109,PAR-Blood Patch, $798.00 , $598.50 
3332110,PAR-Epidural Narcotic Block, $798.00 , $598.50 
3332120,PAR-Intercostal Bllock, $537.00 , $402.75 
3332121,PAR-INTERCOSTAL NERVE BLK, $537.00 , $402.75 
3332129,PAR-Epidural Steroid Lumbar, $798.00 , $598.50 
3332200,PAR-Nurse Evaluation, $158.00 , $118.50 
3332203,PAR-Tee Monitoring Charge, $226.00 , $169.50 
3351001,SDS-Infus Hydration Init 31-60, $448.00 , $336.00 
3351002,SDS-Infus Hydrat Ea Add 31-60, $100.00 , $75.00 
3351004,SDS-Infusion Therap Init 16-60, $451.00 , $338.25 
3351005,SDS-Infus Therape Ea Add 16-60, $100.00 , $75.00 
3351014,SDS-SC/IM Injection, $150.00 , $112.50 
3351015,SDS-IV Injection 1st Drug, $191.00 , $143.25 
3351016,SDS-IM Antibiotic Injection, $150.00 , $112.50 
3351018,SDS-IV Push Ea Add New Me, $191.00 , $143.25 
3351103,SDS-Additional 1/2 Hr, $47.00 , $35.25 
3351107,SDS-Initial, $258.00 , $193.50 
3351108,SDS-Over 1 hour-6 hours, $324.00 , $243.00 
3351109,SDS-Over 6 hours, $698.00 , $523.50 
3351110,SDS-Procedure Room, $221.00 , $165.75 
3351126,SDS-Bladder Scan, $144.00 , $108.00 
3358000,SDS-Canceled Surgery, $158.00 , $118.50 
3391001,PC-Pain Clinic Visit, $165.00 , $123.75 
3391004,PC-Infus Therapeuti Unit 16-60, $492.00 , $369.00 
3391005,PC-Infus Therapeu Ea Add 16-60, $109.00 , $81.75 
3391014,PC-SC/IM Injection, $150.00 , $112.50 
3391015,PC-IV Injection Init<15, $208.00 , $156.00 
3391016,PC-IM Antibiotic Injection, $150.00 , $112.50 
3391018,PC-IV Push Subseq New Drug, $208.00 , $156.00 
3391126,PC-Bladder Scan, $158.00 , $118.50 
3392100,PC-Temperature Skin Sensor, $49.00 , $36.75 
3392101,PC-Steroid Epid Blocks," $1,771.00 "," $1,328.25 "
3392106,PC-Trigger Points, $599.00 , $449.25 
3392107,PC-Cervical Epid Steriod Inj," $1,771.00 "," $1,328.25 "
3392108,PC-Trochanteric Bursitis, $473.00 , $354.75 
3392109,PC-Pump Adjustment, $586.00 , $439.50 
3392110,PC-Intrathecal Pump Refiill, $593.00 , $444.75 
3392111,PC-Inj Peripheral Nerve, $241.00 , $180.75 
3392112,PC-Transforaminal L/S unit," $2,015.00 "," $1,511.25 "
3392113,PC-Supra Orbital Inj," $1,064.00 ", $798.00 
3392114,PC-Sacroiliac Joint Inj, $781.00 , $585.75 
3392115,PC-Caudal," $2,015.00 "," $1,511.25 "
3392116,PC-Celiac Plexus Block," $1,779.00 "," $1,334.25 "
3392117,PC-Discograp Cer/Thor Flour St," $11,940.00 "," $8,955.00 "
3392118,PC-Inj Disco Cerv/Thor Ea Leve," $1,771.00 "," $1,328.25 "
3392120,PC-Occipital Nerve Block," $1,030.00 ", $772.50 
3392121,PC-Lumbar/Thoracic Block," $2,127.00 "," $1,595.25 "
3392123,PC-Sympathetic Block," $1,771.00 "," $1,328.25 "
3392124,PC-Celiac Plexus Block," $1,771.00 "," $1,328.25 "
3392125,PC-Epidural Blood Patch," $1,030.00 ", $772.50 
3392126,PC-Trigeminal Ganglion Block, $586.00 , $439.50 
3392127,PC-Intercostal Nerve Block," $1,030.00 ", $772.50 
3392128,PC-Stellate Ganglion Block," $1,771.00 "," $1,328.25 "
3392129,PC-Sphenopaltine Block, $583.00 , $437.25 
3392130,PC-Trigger Point Inj >3 Muscle, $586.00 , $439.50 
3392131,PC-Tendon Sheath Ligament Inj, $586.00 , $439.50 
3392132,PC-Intercostal Nerve Multi," $1,611.00 "," $1,208.25 "
3392133,PC-INTERMEDIATE JOINT/BURSA, $440.00 , $330.00 
3392134,PC-Bone Marrow Biopsy," $2,312.00 "," $1,734.00 "
3392135,PC-Bone Marrow Aspiration," $2,061.00 "," $1,545.75 "
3392136,PC-Removal Port A Cath," $2,737.00 "," $2,052.75 "
3392137,PC-Refil/Maint Implanted Pump, $593.00 , $444.75 
3392138,PC-Analysis Pump W/O Reprog, $586.00 , $439.50 
3392139,PC-Analysis Pump W/Reprogram, $586.00 , $439.50 
3392140,PC-Facet Joint Cervic/Thor Sgl," $1,771.00 "," $1,328.25 "
3392141,PC-Facet Joint Cervic/Thor Add," $1,026.00 ", $769.50 
3392142,PC-Facet Joint Lumbar/Sacr Sgl," $1,771.00 "," $1,328.25 "
3392143,PC-Facet Joint Lumbar/Sacr Add, $586.00 , $439.50 
3392144,PC-Implant Stimulator Electrod," $2,951.00 "," $2,213.25 "
3392145,PC-Insert/Replace Stim Gen/Rec," $60,344.00 "," $45,258.00 "
3392146,PC-Neurolytic Lumbar/Sacra Sgl," $3,636.00 "," $2,727.00 "
3392147,PC-Neurolytic Lumbar/Sacra Add," $1,771.00 "," $1,328.25 "
3392148,PC-Neurolytic Cervic/Thora Sgl," $3,636.00 "," $2,727.00 "
3392149,PC-Neurolytic Cervic/Thora Add, $586.00 , $439.50 
3392150,PC-Neurolytic Other Level," $1,771.00 "," $1,328.25 "
3392151,PC-Transforaminal Cervical Sgl," $1,771.00 "," $1,328.25 "
3392152,PC-Tranforaminal Cervical Add," $1,029.00 ", $771.75 
3392153,PC-Transforaminal Lumbar Sgl," $1,771.00 "," $1,328.25 "
3392154,PC-Transforaminal Lumbar Add," $1,029.00 ", $771.75 
3392155,PC-TRIGGER POINT ONE/TWO MUSCL, $586.00 , $439.50 
3392156,PC-INJECT MAJOR JOINT/BURSA, $780.00 , $585.00 
3392158,PC-TRIGGER POINT 3 OR MORE MUS, $586.00 , $439.50 
3392159,PC-SPINAL CORD STIMULATOR ADJU, $172.00 , $129.00 
3392160,PC-EPIDURAL TRAY, $72.00 , $54.00 
3392161,PC-REVISE/REMOVE NEUROSTIM ELE, $172.00 , $129.00 
3392170,PC-MOD SEDATION >5 FIRST 15MIN, $182.00 , $136.50 
3392171,PC-MOD SEDATION >5 EA ADD 15 M, $94.00 , $70.50 
3392172,PC-ILIOINGUNINAL NERVE BLOCK," $1,281.00 ", $960.75 
3392173,PC-DISCOGRAPHY LUMBAR," $11,371.00 "," $8,528.25 "
3392174,PC-CHEMODENERVAYION MUSCLES, $732.00 , $549.00 
3392204,PC-INFUS THERAPEUTI INIT 31-60, $489.00 , $366.75 
3392207,PC-INFUS HYDRA EA ADD 31-60MIN, $109.00 , $81.75 
3410001,ER-EMERG ROOM LEVEL 1, $294.00 , $220.50 
3410002,ER-EMERG ROOM LEVEL 2, $483.00 , $362.25 
3410003,ER-EMERG ROOM LEVEL 3, $865.00 , $648.75 
3410004,ER-EMERG ROOM LEVEL 4," $1,276.00 ", $957.00 
3410005,ER-EMERG ROOM LEVEL 5," $2,007.00 "," $1,505.25 "
3410006,ER-EMERG LEVEL CC 30-74 MIN," $2,425.00 "," $1,818.75 "
3410007,ER-EMERG LEVEL CC EA ADD 30 MI," $1,218.00 ", $913.50 
3410008,ER-PROCEDURE MINOR, $502.00 , $376.50 
3410009,ER-PROCEDURE INTERMEDIATE, $873.00 , $654.75 
3410010,ER-PROCEDURE MAJOR," $1,242.00 ", $931.50 
3410011,ER-HOLD ROOM," $1,098.00 ", $823.50 
3411002,ER-INFUS HYDRATI EA ADDL 31-60, $132.00 , $99.00 
3411004,ER-INFUSION THERAP INIT 16-60, $596.00 , $447.00 
3411005,ER-INFUS THERAP EA ADD 16-60MI, $132.00 , $99.00 
3411006,ER-IV INF THERAPY ADDIT SEQUEN, $174.00 , $130.50 
3411007,ER-INFUS THERAPEUTIC CONCURREN, $106.00 , $79.50 
3411009,ER-PICC LINE INSERTION," $1,062.00 ", $796.50 
3411012,ER-BLOOD TRANSFUSION, $885.00 , $663.75 
3411013,ER-LUMBAR PUNCTURE, $558.00 , $418.50 
3411017,ER-IMMUN ADMIN-EA ADDTL VACCIN, $158.00 , $118.50 
3411018,ER-IV PUSH EA ADD NEW MED, $248.00 , $186.00 
3411023,ER-IV PUSH EA ADD SEQ SAME MED, $248.00 , $186.00 
3411024,ER-TPA INTRAVENOUS INP, $837.00 , $627.75 
3411102,ER-INFUSION HYDRA EA ADD 31-60, $132.00 , $99.00 
3411116,ER-SUTURE/STAPEL REMOVAL, $226.00 , $169.50 
3411117,ER-WOUND CHECK, $148.00 , $111.00 
3411122,ER-MOD SED <5 1ST 15 MIN, $280.00 , $210.00 
3411123,ER-MOD SED >5 1ST 15 MIN, $280.00 , $210.00 
3411124,ER-MOD SED EA ADD 15 MIN, $147.00 , $110.25 
3411126,ER-BLADDER SCAN, $186.00 , $139.50 
3411212,ER-MED SUPPLIES SUTURES, $76.00 , $57.00 
3412001,ER-ADM TETANUS IMMUNIZATI, $233.00 , $174.75 
3412002,ER-SUBQ/IM THERA/PROP INJ, $150.00 , $112.50 
3412003,ER-IV THERA/PROPH INJ 1ST DRUG, $318.00 , $238.50 
3412004,ER-IM ANTIBOTIC INJECTION, $150.00 , $112.50 
3412005,ER-INFUSI HYDRATION INIT 31-60, $580.00 , $435.00 
3412007,ER-CARDIOVERSION," $1,045.00 ", $783.75 
3412008,ER-EAR IRRIGATION, $291.00 , $218.25 
3412009,ER-RABIES IM, $233.00 , $174.75 
3412010,ER-DECLOTTING PORT, $482.00 , $361.50 
3412011,ER-PORT FLUSH, $150.00 , $112.50 
3413001,ER-FAST TRACK CARE LEVEL 1, $294.00 , $220.50 
3413002,ER-FAST TRACK CARE LEVEL 2, $483.00 , $362.25 
