CHG DESCRIPTION,CHG AMT
BURN DSG &/DEBRID W/O ANE,600.00 
BURN DSG &/DEBRID W/O ANE,615.00 
WOUND CAUTERY - CHEMICAL,326.00 
UNL PRC SKIN  SUBQ,238.00 
PV UNL PROC SKIN SUBQ,238.00 
US UNL PROC SKIN SUBQ,238.00 
MAMM BREAST CYST ASPIR,"1,020.00 "
MAMM BREAST CYST ASPIR,"1,020.00 "
MAMM BREAST CYST ASP,980.00 
MAMM BREAST CYST ASP,980.00 
MAMM BREAST EA ADDL CYST,400.00 
MASTOTOMY W I&D ABSCESS,"3,206.00 "
MASTOTOMY W EXPL DEEP,"3,206.00 "
MAMM DUCTOGRAM,306.00 
MAMM GALACTOGRAM,306.00 
BX BREAST 1ST LESION STRT,"2,800.00 "
BX BREAST 1ST LESION STRT,"2,900.00 "
BX BREAST 1ST LESION STRT,"2,700.00 "
BX BREAST 1ST LESION STRT,"2,700.00 "
BX BREAST 1ST LESION STRT,"2,800.00 "
BX BREAST 1ST LESION STRT,"2,800.00 "
BX BREAST 1ST LESION STRT,"2,800.00 "
BX BREAST 1ST LESION STRT,"2,800.00 "
BX BREAST ADD LESION STRT,800.00 
PERC DEV BREAST 1ST LESIO,"2,800.00 "
PERC DEV BREAST 1ST LESIO,"2,800.00 "
PERC DEV BREAST 1ST LESIO,"2,900.00 "
PERC DEV BREAST 1ST LESIO,"2,700.00 "
PERC DEV BREAST 1ST LESIO,"2,700.00 "
PERC DEV BREAST 1ST LESIO,"2,800.00 "
PERC DEV BREAST 1ST LESIO,"2,800.00 "
PERC DEV BREAST 1ST LESIO,"2,800.00 "
PERC DEV BREAST ADD LESIO,"1,670.00 "
BX BREAST 1ST LESION MR I,"2,900.00 "
BX BREAST 1ST LESION MR I,"2,700.00 "
BX BREAST 1ST LESION MR I,"2,700.00 "
BX BREAST 1ST LESION MR I,"2,800.00 "
BX BREAST 1ST LESION MR I,"2,800.00 "
BX BREAST 1ST LESION MR I,"2,800.00 "
BX BREAST 1ST LESION MR I,"2,800.00 "
BX BREAST 1ST LESION MR I,"2,800.00 "
MRI BX BREAST 1ST LESION,"2,800.00 "
MRI BX BREAST 1ST LESION,"2,800.00 "
MRI BX BREAST 1ST LESION,"2,800.00 "
MRI BX BREAST 1ST LESION,"2,800.00 "
MRI BX BREAST 1ST LESION,"2,800.00 "
MRI BX BREAST 1ST LESION,"2,900.00 "
MRI BX BREAST 1ST LESION,"2,700.00 "
MRI BX BREAST 1ST LESION,"2,700.00 "
BX BREAST ADD LESION MR I,740.00 
MRI BX BREAST ADD LESION,740.00 
MAMM TEST BILAT,"1,500.00 "
MAMM TEST BILAT,"1,400.00 "
MAMM BRST EXC CYST TUMOR,"4,000.00 "
BX BREAST 1ST LESION MAMM,"2,800.00 "
BX BREAST 1ST LESION MAMM,"2,900.00 "
BX BREAST 1ST LESION MAMM,"2,700.00 "
BX BREAST 1ST LESION MAMM,"2,700.00 "
BX BREAST 1ST LESION MAMM,"2,800.00 "
BX BREAST 1ST LESION MAMM,"2,800.00 "
BX BREAST 1ST LESION MAMM,"2,800.00 "
BX BREAST 1ST LESION MAMM,"2,800.00 "
BX BREAST ADD LESION MAMM,800.00 
BC BREAST ADD LESION MAMM,800.00 
BX BREAST ADD LESION MAMM,800.00 
PERQ DEV BREAST 1ST US IM,"2,800.00 "
PERQ DEV BREAST 1ST US IM,"2,900.00 "
PERQ DEV BREAST 1ST US IM,"2,700.00 "
PERQ DEV BREAST 1ST US IM,"2,700.00 "
PERQ DEV BREAST 1ST US IM,"2,800.00 "
PERQ DEV BREAST 1ST US IM,"2,800.00 "
PERQ DEV BREAST 1ST US IM,"2,800.00 "
PERQ DEV BREAST 1ST US IM,"2,800.00 "
PERQ DEV BREAST ADD US IM,800.00 
3S EXPL P WND ABD/FLANK,"2,000.00 "
EXPLORATION WOUND; EXTREM,"2,234.00 "
CT BIOPSY MUSCLE,"1,800.00 "
US BIOPSY MUSCLE,"1,800.00 "
CT BIOPSY BONE SUPERF,"1,975.00 "
CT BIOPSY BONE SUPERF,"1,600.00 "
US BIOPSY BONE SUPER,"1,600.00 "
PV BIOPSY BONE DEEP,"3,059.00 "
PV BIOPSY BONE DEEP,"3,059.00 "
CT BIOPSY BONE DEEP,"3,059.00 "
US BIOPSY BONE DEEP,"3,059.00 "
PV SINUS TRACT INJ THERAP,"1,279.00 "
"US SINUS TRACT INJ, THERA","1,279.00 "
FISTULA SINUS TRACT,613.00 
PV FISTULA SINUS TRACT,613.00 
CT SINUS TRACT INJ; DX,613.00 
REM FB MUSCL TENDN SIMPL,"2,036.00 "
REM FB MUSCL TENDN SIMPL,"2,036.00 "
REM FB MUSCLE DEEP,"3,656.00 "
RHEUM CLN-TENDON INJECTIO,409.00 
TENDON INJ,409.00 
PV INJ SGL TENDON SHTH OR,409.00 
TRIGGER POINT INJ 1-2 MUS,715.00 
PV TRIGGER POINT INJ 1-2,715.00 
IR TRIGGER POINT INJ 1-2,815.00 
PV INJ TRIGGER POINT 1/2,715.00 
PV INJ TRIGGER POINT 1/2,715.00 
3S TRIGGER POINT INJ=OR>3,740.00 
PV INJ TRIGGER POINT =/>3,740.00 
PV INJECT TRIGGER PNTS 3>,740.00 
RHEUM CLN-BURSA/JOINT-SML,542.00 
DRAIN/INJECT SM JNT/BURSA,542.00 
PV DRAIN/INJ SM JNT/BURSA,542.00 
US DRAIN/INJ SM JNT/BURSA,542.00 
3E DRAIN/INJ INTERM JNT/B,601.00 
RHEUM CLN-BURSA/JNT INTER,601.00 
JOINT ASPIRATION,601.00 
JOINT ASPIRATION,601.00 
DRAIN/INJ INTR JNT W/O US,601.00 
PV JOINT ASPIRATION,601.00 
CT DRAIN/INJ INTERM JNT/B,601.00 
US DRAIN/INK INTRM JNT/BU,601.00 
DRAIN/INJ INTER JNT/BURSA,601.00 
3E DRAIN INJ MJR JOINT,640.00 
4S DRAIN/INJ MAJ JOINT/BU,640.00 
4S DRAIN INJ MJR JOINT,640.00 
4S DRAIN INJ MJR JOINT,640.00 
3S DRAIN/INJ MJR JOINT,640.00 
6S DRAIN/INJ MJR JNT/BRSA,640.00 
2N DRAIN INJ MAJ JNT,640.00 
7S DRAIN INJ MJR JOINT,640.00 
RHEUM CLN-BURSA/JOINT MAJ,640.00 
ARTHROCENTESIS MJR JNT,640.00 
ARTHROCENTESIS;MJR JNT,610.00 
DRAIN INJ MAJ JNT BURS,640.00 
DRAIN INJ MAJ JNT BURS,640.00 
KNEE ASPIRATION,640.00 
DRAIN/INJ MAJOR JOINT/BUR,670.00 
PV ARTHROC HIPKNEE,640.00 
PV DRAIN/INJ MJR JNT/BURS,640.00 
PV DRAIN/INJ MAJOR JNT/BU,670.00 
PV DRAIN/INJ MAJOR JNT/BU,640.00 
CT ARTHROCENT HIP KNEE,640.00 
US ARTHROC HIP KNEE,640.00 
DRAIN/INJ MJR JOINT/BURSA,640.00 
DRAIN/INJ MAJOR JNT/BURSA,292.00 
DRAIN/INJ MAJOR JNT/BURSA,292.00 
IR ABLATE BONE TUMOR(S) P,"8,950.00 "
CT ABLATE BONE TUMOR PERQ,"8,950.00 "
ABLATE BONE TUMOR(S) PERQ,"8,950.00 "
PV COBLATION OF BONE TUMR,"2,543.00 "
TMJ ARTHRO,191.00 
NASAL FX,294.00 
CL TX OF NASAL BONE FX WO,"1,641.00 "
RED MAND FX WO MAN,682.00 
RED MAND FX W/MANIP,"2,415.00 "
RED MAND FX DISL,476.00 
CL TX TMJ DISLOCATION INI,486.00 
RED MAND FX DISL,476.00 
REDU MANDIBLE DISLOCATION,466.00 
US SFT TISS BX NECK/THORA,"2,050.00 "
PV PERQ CERVICOTHOR INJ,"7,000.00 "
PV PERQ CERVICOTHORAC INJ,"7,000.00 "
PV PERQ LUMBOSACRAL INJ,"7,000.00 "
PV PERQ LUMBOSACRAL INJ,"7,000.00 "
PV PERQ LUMBOSACRAL INJ,"7,000.00 "
PV VERTEBROPLSTY ADDL INJ,"4,740.00 "
PV VERTEBROPLAST ADDL INJ,"4,740.00 "
PV PERQ VERTBRL AUG THORA,"9,576.00 "
PERQ VERTBRL AUGMEN LUMBR,"9,526.00 "
PV PERQ VERTBRL AUG LUMBR,"9,526.00 "
PV PERQ VERTBRL AUG EA AD,"6,024.00 "
PV SACROPLASTY,"1,728.00 "
CT SACROPLASTY,"1,728.00 "
ST BX SHOULDER SUPERFICIA,"2,115.00 "
SHOULDER ARTHRO,613.00 
SHOULDER ARTHR,613.00 
SHOULDER ARTHR,613.00 
SHOULDER ARTHR,613.00 
CLAVICLE FX,339.00 
CLAVICLE FX,339.00 
CL TX ACLAV DISLOC W MAN,339.00 
TREAT SHOULDER FX,"2,160.00 "
CLSD TX PROX HUMERAL FX,"2,160.00 "
RED SHLDR DISLW OA,635.00 
RED SHLDR DISL WO A,635.00 
RED SHLDR DISL W/O ANESTH,605.00 
RED SHLDR DISL W/O ANESTH,605.00 
RED SHOULD DISL W A,"1,480.00 "
RED SHOULD DISL W A,"1,480.00 "
RED SHOULD DISL W A,"1,480.00 "
RED SHOULD DISL,"1,450.00 "
RED SHOULD DISL,"1,450.00 "
CLSD TX SHLDR DISLOCATION,"1,480.00 "
CLSD TX SHLDR,"1,450.00 "
CLSD TX SHLDR,"1,450.00 "
REM FB UP ARM OR ELBOW SQ,"1,350.00 "
ELBOW ARTHR,290.00 
INJ ELBOW ARTHROGR,290.00 
TREAT HUMERUS FRACT,"1,480.00 "
TREAT HUMERUS FRACT,"1,480.00 "
CL TX EC HUMERUS FX W/MAN,"1,480.00 "
CLSD TX HUMERUS FX,"1,480.00 "
CLSD TX HUMERUS FX,"1,450.00 "
ELBOW REDUCTION,593.00 
ELBOW REDUCTION,593.00 
CLSD TX ELBOW DISLOCATION,"1,480.00 "
CLSD TX FX ELBOW,"1,480.00 "
RED NURSEMAID ELB,419.00 
RED NURSEMAID ELB,419.00 
RED NURSEMAID ELBOW W MAN,389.00 
RAD HEAD FX,290.00 
RAD HEAD FX,290.00 
RAD HEAD FX RED W M,"1,480.00 "
RAD HEAD FX RED W M,"1,480.00 "
CLSD TREATMNT ULNAR FRACT,"1,480.00 "
CLSD TREATMNT ULNAR FRACT,"1,480.00 "
US ST BX FA WRIST SUPERFI,"1,480.00 "
US ST BX FA/WRIST SUPERFI,"1,480.00 "
WRIST ARTHRO,445.00 
WRIST ARTHRO,445.00 
WRIST ARTHRO,415.00 
WRIST ARTHRO,415.00 
REPR FOREARM TENDN MUSCL,"2,708.00 "
CLSD TX ULNAR FX W MANIPU,485.00 
CLSD TX ULNAR FX W MANIPL,485.00 
CLSD TX RAD & ULNA FX,"1,480.00 "
CLSD RED DISTAL RAD FX,368.00 
CLSD TX DISTL RAD FX W/MA,"1,480.00 "
CLSD TX DISTAL RAD FX W M,"1,480.00 "
CLTX DSTL RDL FS/EPIPHYSL,"1,480.00 "
CLOSD TX ULNAR STYLOID FX,485.00 
CL TX CARPAL DISLOC W MAN,485.00 
CLSD RED OF RADIUS & ULNA,485.00 
DRAIN OF FNGR ABSCS,413.00 
REPAIR RINGER HAND TENDON,"3,521.00 "
REPAIR HAND TENDON,"1,480.00 "
REPAIR FINGER TENDON,"1,480.00 "
RED METAC WO MAN,485.00 
RED METAC WO MAN,485.00 
RED METACARPAL W M,487.00 
RED METACARPAL W M,487.00 
RED METACARPAL W M,467.00 
RED METACARPAL W M,467.00 
CL TX CMC DISLOC THUMB MA,187.00 
CL TX CMC FX DISLOC THUMB,"1,480.00 "
CL TX CMC FX DISLOC THUMB,"1,480.00 "
CLSD TX HAND DISLOCATION,485.00 
CLSD TX KNUCKLE DISLOCAT,485.00 
PHALANX,485.00 
PHALANG FX RED W MAN,485.00 
OPEN TX PHALANG SHAFT FRA,"3,521.00 "
CLSD TX OF ARTICULAR FX,"1,480.00 "
CLSD TX FINGR FX W MANIP,485.00 
CLSD TX FINGR FX W MANIP,485.00 
OPEN TX DISTAL PHALANG FX,"3,521.00 "
INTRPHALANGL DISL WO ANE,485.00 
INTRPHALANGEAL DISL W ANE,"1,131.00 "
OPEN TX FINGR DISLOCATN L,"3,521.00 "
OPEN TX FINGR DISLOCATN,"3,521.00 "
AMPUTATE FINGER SINGLE,"3,521.00 "
AMPUTATE FING/TH SGL W/LO,"3,521.00 "
HIP ARTHROGRAM,545.00 
PV INJ SACROILIAC JNT,"1,105.00 "
PV SIJ ANESTH STERIOD INJ,"1,105.00 "
PV SIJ ANESTH STERIOD INJ,975.00 
CT SIJ ANEST STERIOD INJ,"1,105.00 "
CL TX HIP DISLOC W/O ANES,561.00 
CL TX TRAUMA HIP DICLOC W,591.00 
CLSD TX HIP DISLOCATION,"1,480.00 "
CLSD TX HIP DIS WO ANES,561.00 
CL TX POST HIP DISLOC WO,591.00 
CL TX POST HIP DISLOC WO,591.00 
CLSD TX POST HIP ARTHRO,"1,480.00 "
HIP JOINT MANIPULATION,591.00 
EV DEEP I/D THIGH/KNEE,"3,000.00 "
NJX CNTRST KNE ARTHG/CT/M,0.00 
NJX CNTRST KNE ARTHG/CT/M,0.00 
KNEE ARTHRO,476.00 
KNEE ARTHRO,476.00 
CLSD TX FEMORAL FX,"1,480.00 "
RED PATELLA,591.00 
RED PATELLA,591.00 
CL TX PROX TIBIAL FX,"2,708.00 "
CL TX KNEE DISL; WO ANEST,591.00 
CLSD TX KNEE DISLOCAT W/A,"1,480.00 "
CLSD TX KNEE DISLOCATE W/,"1,480.00 "
PATELLA DISL WO ANES,591.00 
PATELLA DISL WO ANES,591.00 
PATELLA DISLOC W A,591.00 
PATELLA DISLOC W A,591.00 
EV DF LEG ANT/LAT & P COM,"2,708.00 "
ANKLE ARTHRO,289.00 
CLSD TX TIBIAL SHAFT FX,"1,480.00 "
CLTX MED ANKLE FX W/MNPJ,"1,480.00 "
TREATMENT OF FIBULA FRACT,"1,480.00 "
TREATMENT OF FIBULA FRACT,"1,480.00 "
FIBULA FX,591.00 
FIBULA FX,591.00 
FIBULA FX RED W MA,591.00 
FIBULA FX RED W MA,591.00 
CLSD TX ANKLE FX W MANIPU,"1,480.00 "
CLSD TX ANKLE FX W MANIPU,"1,480.00 "
CLSD TX ANKLE FX W MANIPU,"1,480.00 "
CLSD TX ANKLE FX W MANIPU,"1,480.00 "
CLSD TX ANKLE FX W MANIPU,"1,480.00 "
CLSD TX ANKL FX W MANIPU,"1,450.00 "
CLSD TX ANKL FX W MANIPU,"1,450.00 "
TRIMALLEOLAR ANK FX,591.00 
TRIMALLEOLAR ANK FX,591.00 
CLSD TX ANKLE FX W MANIPU,"1,480.00 "
CLSD RED ANKLE,"1,480.00 "
CL TX TRIMALL ANKLE FX W,"1,848.00 "
CL TX WB DSTL TIB FX W MA,"2,821.00 "
CL TX WB DSTL TIB FX W MA,"2,821.00 "
CLSD TX ANKLE DISLOCATION,591.00 
CLSD TX ANKL DISLOC W ANE,"1,480.00 "
CLSD TX ANKL DISLOC W ANE,"1,480.00 "
EV INTERPHALANG TOE JNT E,"2,708.00 "
REM FB FOOT,743.00 
REM FB FOOT,743.00 
"REM FB FOOT, SQ",713.00 
REM FB FOOT DEEP,"3,402.00 "
REM FB FOOT DEEP,"3,402.00 "
REP EXT TEND FT,"2,708.00 "
REP EXT TEND FT,"2,708.00 "
TREATMENT OF ANKLE FX,"1,480.00 "
TREATMENT OF ANKLE RX,"1,480.00 "
RED TARSAL,480.00 
RED TARSAL,480.00 
METATARS FX RED W M,480.00 
METATARS FX RED W M,480.00 
CL TX FX GT PHALANX(S) W,480.00 
TREAT BIG TOE FRACTURE,"2,708.00 "
CLSD TX TOE FX WO MAN,480.00 
CLSD TX TOE FX WO MAN,480.00 
CLSD TX TOE FX W MAN,480.00 
CLSD TX TOE FX W MAN,480.00 
TARSAL DISLOC W AN,"2,708.00 "
TARSAL DISLOC W AN,"2,708.00 "
RED TARSOME DISLO,480.00 
RED TARSOME DISLO,480.00 
TARSAL MET DISL W A,480.00 
TARSAL MET DISL W A,480.00 
CLOSED TX TOE DISLOCATION,480.00 
CLSD TX TOE DISLOC,480.00 
CLSD TX TOE DISLOC,480.00 
REPAIR OF TOE DISLOCATION,"2,708.00 "
EV AMPUTATE FOOT TRANSMET,"2,708.00 "
EV AMPUTAT METATARSL W TO,"2,708.00 "
EV AMPUTATE METATARSAL W/,"2,708.00 "
APPLY SHORT ARM CAST,480.00 
SPLINT LONG ARM,396.00 
OT APPLY LONG ARM SPLING,396.00 
SPLINT SHORT ARM,392.00 
APPLY SHORT ARM SPLINT,392.00 
OT APP S ARM SPL STA,392.00 
KX OT APP S ARM SPL STA,392.00 
OT APP S ARM SPL DYN,392.00 
KX OT APP S ARM SPL DYN,392.00 
SPLINTING OF FINGER,272.00 
OT APP FNGR SPL STAT,272.00 
KX OT APP FNGR SPL STAT,272.00 
OT APP FNGR SPL DYN,272.00 
KX OT APP FNGR SPL DYN,272.00 
SHOULDER IMMOBIL,392.00 
SHOULDER IMMOBIL,392.00 
SPLINT LONG LEG,396.00 
SPLINT SHORT LEG,419.00 
SPLINT KNEE IMMOB,392.00 
SPLINT KNEE IMMOB,392.00 
ANKLE STRAP,396.00 
TOE STRAP,272.00 
OT APPLY MULTLAY COMPRS L,426.00 
OT APPLY MULTLAY COMPRS L,426.00 
APPLY MULTLAY COMPRS LWR,396.00 
OT APPLY MULTLAY COMPRS L,426.00 
OT APPL MULTLAY COMPRS AR,396.00 
KX OT APPL MULTLAY COMPRS,396.00 
OT APPL MULTLAY COMPRS AR,396.00 
APPL MULTLAY COMPRS ARM H,396.00 
DR ABSC/HEMATOMA NASAL IN,410.00 
FB NOSE,254.00 
6S CONTROL NASAL HEMORRH,327.00 
7S CONTROL NASAL HEMORRH,327.00 
CONTRL NASAL HEMORRH SMPL,327.00 
NOSEBLEED ANT COMPLE,254.00 
POSTERIOR PACK,254.00 
NOSEBLEED POST SUBSEQ,410.00 
UNLIST PROC NOSE,410.00 
NASAL SINUS ENDOSCOPY,"1,755.00 "
NASAL SINUS ENDOSCOPY,"1,755.00 "
7S NASAL ENDO W BLD CNTRL,"1,755.00 "
NASAL SCOP CONTRL NASAL H,"1,755.00 "
7S INTUBATION ET EMERGENT,903.00 
ET INTUBATION,903.00 
ET INTUBATION,883.00 
INTUBATION ET EMERGENT,903.00 
TRACHEOTOMY TUBE REP,424.00 
IND LARYNGO,179.00 
LARNGOSCOPY FOR ASPIRATIO,585.00 
FB THROAT,"1,755.00 "
3E LARYNGOSCOPY FLEX DIAG,332.00 
4S LARYNGOSCOPY FLEX DIAG,332.00 
3S LARYNGOSCOPY FLEX DIAG,332.00 
6S LARYNGOSCOPY FLEX DIAB,332.00 
6S LARYNGOSCOPY FLEX DIAG,332.00 
ICU LARYNGOSCOPY FLEX DIA,332.00 
DIAG LARYNOSCOPY,332.00 
CRICOTHYOTOMY,985.00 
"TRACHEOSTOMY EMERG, CRICO",985.00 
DX BRONCH W/WO CELL WASH,"1,755.00 "
7S DX BRONCHOSCOPE/BRUSH,"1,755.00 "
IPO OPEN CHEST HEART MASS,"2,500.00 "
CT BIOPSY PLEURA,"2,162.00 "
PV BIOPSY LUNG,"2,354.00 "
PV BIOPSY LUNG,"2,354.00 "
CT BIOPSY LUNG,"2,354.00 "
CT BIOPSY LUNG,"2,324.00 "
PV INSERT PLEURAL CATH,"4,677.00 "
7S INSERTION OF CHEST TUB,"1,782.00 "
INSERTION OF CHEST TUBE,"1,782.00 "
ICU INSERTN CHEST TUBE LT,"1,782.00 "
ICU INSERTN CHEST TUBE RT,"1,782.00 "
EV INSERTION CHEST TUBE,"1,782.00 "
INSERTION OF CHEST TUBE,"1,782.00 "
INSERTN OF CHEST TUBE ADD,"1,782.00 "
INSERTION OF CHEST TUBE,"1,782.00 "
INSERTION OF CHEST TUBE,"1,782.00 "
PV INSERTION OF CHEST TUB,"1,782.00 "
CT INSERTION OF CHEST TUB,"1,782.00 "
CT INSERTION OF CHEST TUB,"1,782.00 "
US INSERTION OF CHEST TUB,"1,782.00 "
US INSERTION OF CHEST TUB,"1,782.00 "
PV REMOVE LUNG CATHETER,"1,304.00 "
3S THORASENTESIS W/O IMAG,"1,248.00 "
2N THORACENTESIS W/O IMAG,"1,248.00 "
7S ASPIRATE PLEURA W/O IM,"1,248.00 "
ICU THORACENTESIS W/O IMA,"1,248.00 "
THORACENTESIS W/O IMAGING,"1,248.00 "
THORACENTESIS W/ IMAGING,"1,633.00 "
IR THORACENTESIS W/IMAGIN,"1,633.00 "
CT ASPIRATE PLEURA W/IMAG,"1,633.00 "
US ASPIRATE PLEURA W/IMAG,"1,633.00 "
US ASPIRATE PLEURA W/IMAG,"1,633.00 "
US ASPIRATE PLEURA W/IMAG,"1,533.00 "
US ASPIRATE PLEURA W/IMAG,"1,663.00 "
CV INS CATH PLEURA W/O IM,"1,633.00 "
PV INSERT CATH PLEURA W/I,"1,633.00 "
CT INSERT CATH PLEURA W/I,"1,633.00 "
US INSERT CATH PLEURA W/I,"1,633.00 "
US INSERT CATH PLEURA W/I,"1,663.00 "
PV LYSE CHEST FIBRIN INIT,899.00 
ABLATE PULM TUMOR PERQ CR,"4,856.00 "
ABLATE PULM TUMOR PERQ CR,"4,856.00 "
CT ABLATION PULM TUMOR S,"7,949.00 "
CT ABLATION PULM TUMOR S,"7,949.00 "
CT ABLATION PULM TUMOR S,"7,979.00 "
REPLACE CHEST TUBE,"1,633.00 "
PV REMOVAL PLEURAL CATH,"1,633.00 "
CT MICROWAVE ABALTION LUN,"1,633.00 "
PERICARDIOCENTESIS,"2,000.00 "
CV PERICARDIOCENTES,"2,000.00 "
CV PERICARDIOCENTES ATMPT,"2,000.00 "
PERICARDIOCENTESIS SUBSE,"1,633.00 "
EV IPO TUBE PERICARDIOSTO,635.00 
CV IPO TUBE PERICARDIOSTO,635.00 
CV PERM PACEMAKER ATRIAL,"10,029.00 "
CV INSERT HEART PM ATRIAL,"10,029.00 "
EV VVI PACER INSERTION,"16,562.00 "
EV INSERT HEART PM VENTRI,"16,562.00 "
CV PERM PACEMAKER VENT 33,"16,562.00 "
CV INSERT HEART PM VENTRI,"16,562.00 "
EV INS/REPL PERM PACEMAKE,"17,031.00 "
EV INSRT HEART PM ATR&VEN,"17,031.00 "
CV PERM PACEMKR ATRIAL+VE,"17,031.00 "
CV INSRT HEART PM ATR&VEN,"17,031.00 "
CV PERM PACEMKR ATRIAL+VE,"17,031.00 "
EV INS/REPL TEMP TRANSV S,"8,383.00 "
CV TEMP PACER,"8,383.00 "
CL INS ELECTRD PM CATH SI,"8,383.00 "
CV TEMP PACER,"8,383.00 "
EV INSRT/REPL PACMKR 1 C,"8,383.00 "
