Charge Identifier,CDM Description, 2019 Price ,,,
10429,IMPLANT HIP CUP RINGLOC BI-POLAR 28MM X 45MM 11-165214," $2,178.00 ",,,
10927,"GLIDEWIRE ANG 0.035"" X 3CM X 150CM GR3506", $87.00 ,,,
10928,"GUIDEWIRE AMPLATZ SS .035"" 6MM X 260CM ST-TIP 46-526/M001465261", $135.00 ,,,
10930,"GUIDEWIRE MAGIC TORQUE .035"" 5MM X 180CM 46-591/M001465911", $211.00 ,,,
11506,"DRAIN JACKSON PRATT ROUND 10FR 1/8"" W/O TROCAR SU130-1321", $22.00 ,,,
13292,IMPLANT RESTRICTOR BUCK CEMENT 18.5MM 129418, $326.00 ,,,
13296,IMPLANT KNEE FEM N/P CRUC RET SZ 5 LFT 96-0005," $4,050.00 ",,,
13337,IMPLANT HIP FEM HEAD VERSYS 0.0MM X 28MM 8018-028-02," $1,050.00 ",,,
13853,IMPLANT PIN APEX 1/2 S/D S/T 5MM X 150MM 50MM THRD 5018-6-150, $420.00 ,,,
13854,K-WIRE EXTERNAL 450MM X 2.0MM 5101-2-450, $224.00 ,,,
15176,"GLIDEWIRE STIFF ANG 0.035"" X 3CM X 150CM GS3506", $135.00 ,,,
15964,IMPLANT K-WIRE GUIDEWIRE 1.1MM X 150MM THRD 292.622, $95.00 ,,,
15967,INPLANT K-WIRE GUIDEWIRE THRD 2.8MM TROCAR POINT 300MM 292.68, $146.00 ,,,
16001,INTRODUCER SHEATH BRITE TIP 7FR 90CM (ORDER IN 2'S) 401-790M, $75.00 ,,,
16008,GUIDEWIRE IRONMAN .014 X 300CM 1001311, $225.00 ,,,
16016,"GLIDEWIRE STIFF ST 0.035"" X 3CM X 260CM GS3504", $150.00 ,,,
16038,"GLIDEWIRE ANG .035"" 3CM X 180CM CVD GR3508", $119.00 ,,,
16048,"GUIDEWIRE BENTSON CEREBRAL ST .035"" X 145CM TSFB-35-145", $53.00 ,,,
16073,IMPLANT K-WIRE GUIDEWIRE THRD 1.6MM X 150MM 292.72, $108.00 ,,,
16098,"GUIDEWIRE FLOPPY ROTAWIRE .014"" 325CM 22824-002", $480.00 ,,,
16117,GUIDEWIRE .014X182 ST LUGE 12130-01, $210.00 ,,,
16130,"GUIDEWIRE PLATINUM PLUS .018"" X 180CM 46-604", $249.00 ,,,
16135,"GUIDEWIRE V-18 CONTROL .018"" 200CM W/8CM TAPER 46-852/M001468520", $261.00 ,,,
16149,"GUIDEWIRE STIFF ST .035"" X 3CM X 180CM GS3503", $140.00 ,,,
16153,"GLIDEWIRE STIFF ANG 0.035"" X 3CM X 80CM GS3505", $135.00 ,,,
16154,"GUIDEWIRE AMPLATZ SS .035"" 6MM X 180CM ST-TIP 46-525/M001465251", $146.00 ,,,
16155,"GLIDEWIRE STIFF ANG 0.035"" X 3CM X 260CM GS3509", $150.00 ,,,
16162,"GUIDEWIRE V-18 CONTROL .018"" 300CM W/12CM TAPER 46-860/M001468600", $349.00 ,,,
16164,"GUIDEWIRE CURVE .035"" X 145CM X 3MM J TSCF-35-145-3 G00511", $40.00 ,,,
16167,"GUIDEWIRE AMPLATZ EXTRA STIFF 0.035"" X 260CM THSF-35-260-AES G03562", $74.00 ,,,
16169,"GLIDEWIRE ANG 0.035"" X 3CM X 260CM GR3509", $133.00 ,,,
16199,"GUIDEWIRE ROSEN .035"" X 260CM X 1.5MM THSCF-35-260-1.5 ROSEN G01253", $80.00 ,,,
16201,"GUIDEWIRE MICRO TRANSEND EX STD0.014"" X 39CM X 182CM 46-805"," $1,323.00 ",,,
16203,GUIDEWIRE .025 X 145CM X 1.5MM CURVE TSCF-25-145-15-BH (SPECIAL 4-6 WKS DELIVERY) G00465, $121.00 ,,,
16208,"GUIDEWIRE V-18 CONTROL .018"" 300CM W/8CM TAPER 46-854/M001468540", $261.00 ,,,
16418,IMPLANT HIP HEAD C TAPER STD 26MM 06-2600," $1,485.00 ",,,
16428,IMPLANT HIP FEM STEM COCR MOD HD NO SKRT 28MM X -3MM NK 163661," $1,383.00 ",,,
16429,IMPLANT HIP FEM STEM COCR MOD HD NO SKRT STD NK 28MM 163662," $1,383.00 ",,,
16454,IMPLANT HIP FEMORAL HEAD UNITRAX 49MM 6942-5-049," $1,815.00 ",,,
17275,IMPLANT SPHINCTER/PRESSURE REG BALLOON 72400024," $8,394.00 ",,,
17331,IMPLANT HIP FEM STEM SZ 14 7834-014-00," $3,278.00 ",,,
17533,IMPLANT HIP FEM STEM COCR MOD HD NO SKRT 28MM X +3MM NK 163663," $1,383.00 ",,,
17534,IMPLANT HIP FEM STEM COCR MOD HD NO SKRT 28MM X -6MM NK 163660," $1,383.00 ",,,
17592,IMPLANT PLATE NEXGEN PRECOAT STEMMED TIBIAL SZ 3  5980-037-01," $2,100.00 ",,,
17619,IMPLANT KNEE PATELLA OVAL DOME 3-PEG 38MM 96-0102," $1,050.00 ",,,
17620,IMPLANT KNEE 41MM PATELLAR OVAL DOME 96-0103," $1,050.00 ",,,
17652,IMPLANT KNEE FEM N/P CRUC RET SZ 5 RT 96-0015," $4,050.00 ",,,
17655,IMPLANT KNEE FEM N/P CRUC RET SZ 2 RT 96-0012," $4,050.00 ",,,
17668,IMPLANT KNEE FEM N/P CRUC RET SZ 3 LFT 96-0003," $4,050.00 ",,,
17669,IMPLANT KNEE FEM N/P CRUC RET SZ 3 RT 96-0013," $4,050.00 ",,,
17673,IMPLANT KNEE FEM N/P CRUC RET SZ 2 LFT 96-0002," $4,050.00 ",,,
17675,IMPLANT KNEE FEM N/P CRUC RET SZ 4 RT 96-0014," $4,050.00 ",,,
17755,IMPLANT KNEE LFT DISTAL SZ 4 4MM AUGMENT 96-0880," $3,249.00 ",,,
17768,IMPLANT KNEE NEXGEN 29MM POLY PATELLA 5972-065-29, $900.00 ,,,
17798,IMPLANT KNEE PFC TIB TRAY SZ 2 86-4180," $1,650.00 ",,,
17800,IMPLANT KNEE PFC TIB TRAY SZ 3 86-4181," $1,650.00 ",,,
17818,IMPLANT KNEE 35MM PATELLAR OVAL DOME 96-0101," $1,050.00 ",,,
17823,IMPLANT KNEE PFC KEEL CEM TIB TRAY SZ 4 86-4182," $1,650.00 ",,,
17825,IMPLANT KNEE POSTERIOR AUG SZ 4 8MM 96-0888," $3,249.00 ",,,
17838,IMPLANT KNEE FEM N/P CRUC RET SZ 4 LFT 96-0004," $4,050.00 ",,,
17842,IMPLANT KNEE FEM PFC SIGMA TC3 LFT SZ 3 96-0082," $19,132.00 ",,,
17843,IMPLANT KNEE FEM PFC SIGMA TC3 LFT SZ 4 96-0083," $19,132.00 ",,,
17889,IMPLANT KNEE TIB I-BEAM COCR PLATE 67MM 141222," $2,412.00 ",,,
17929,IMPLANT KNEE TIB TRAY #5 86-4183," $1,650.00 ",,,
17972,IMPLANT GLENOID BIO-MOD SML SZ 4 113849," $3,846.00 ",,,
18580,INTRODUCER SHEATH 6FR X 45CM CL-07645, $303.00 ,,,
18581,INTRODUCER SHEATH 7FR X 45CM CL-07745, $281.00 ,,,
18583,INTRODUCER SHEATH 8FR X 65CM CL-07865, $331.00 ,,,
18596,INTRODUCER SHEATH 8FR X 11CM CP-07811, $103.00 ,,,
18601,INTRODUCER SHEATH 9FR X 24CM CL-07924, $200.00 ,,,
18641,INTRODUCER SHEATH 10FR (MUST BE ORDERED IN 5S)LONG CL-07924-000406180, $171.00 ,,,
18658,INTRODUCER SHEATH 8FR SR1 406845, $453.00 ,,,
18678,INTRODUCER SHEATH PEEL AWAY 10FR X .038 C-PLI-10.0-38, $198.00 ,,,
18686,INTRODUCER SHEATH PINNACLE 5FR X 10CM W/.035 GW RSS501, $26.00 ,,,
18688,"INTRODUCER SHEATH PINNACLE 6FR X 10CM W/.035"" GW RSS601", $26.00 ,,,
18695,"INTRODUCER SHEATH PINNACLE 7FR X 10CM W/.035"" GW RSS701", $26.00 ,,,
18700,"INTRODUCER SHEATH PINNACLE 8FR X 10CM W/.035"" GW RSS801", $26.00 ,,,
18970,IMPLANT K-WIRE DIAMOND 2 ENDS 1.6MM X 229MM 0186-003-79, $21.00 ,,,
18983,IMPLANT K-WIRE DIAMOND 2 ENDS 1.1MM X 229MM 0186-002-79, $21.00 ,,,
18990,IMPLANT K-WIRE TROCAR POINT 1.25MM X 150MM 292.12, $28.00 ,,,
19442,CATHETER DRAINAGE NEPHROMAX 10-12/7/55 210-118, $783.00 ,,,
21731,IMPLANT KNEE TIB TRAY INTLK PRI 67MM 141212," $1,806.00 ",,,
21959,IMPLANT MESH MARLEX PLUG LGE 0112770, $408.00 ,,,
21960,IMPLANT MESH MARLEX MED PLUG 0112960, $408.00 ,,,
21969,"IMPLANT MESH PROLENE 6"" X 6"" PMH", $144.00 ,,,
21972,"IMPLANT MESH PROLENE HERNIA LGE 4"" PHSL", $820.00 ,,,
21985,"IMPLANT MESH VICRYL KNITTED 12"" X 12"" VKML"," $2,327.00 ",,,
22063,SNARE GOOSENECK MICRO AMPLATZ 7MM X 175CM SK700," $1,920.00 ",,,
23665,"IMPLANT COIL EMBOLI MICRO HILAL .018"" X 0.5CM ST MWCE-18-0.5-0-HILAL G04524", $300.00 ,,,
24984,IMPLANT KNEE ARCOM PATELLA W/WIRE 1-PEG 31MM 11-150826," $1,032.00 ",,,
25230,IMPLANT CATHETER PERITONEAL DIALYSIS CURLED 62CM 8811313010, $226.00 ,,,
25374,IMPLANT PIN HOFFMAN S/D 5MM X 150MM 5018-5-150, $420.00 ,,,
25951,IMPLANT PLATE DHS 4-HOLES/78MM 135 DEG NSTRL SHORT BARREL 281.540," $1,620.00 ",,,
25965,IMPLANT PLATE DHS 6-HOLES/110MM 135  DEG NSTRL STD BARREL 281.160," $1,620.00 ",,,
26506,"IMPLANT MESH MARLEX PLUG PERFIX XLG 1.6"" X 2.0"" 0112780", $495.00 ,,,
28492,RELOAD UNIT LINEAR STAPLER 60MM XR60B, $128.00 ,,,
28829,IMPLANT RESTRICTOR BUCK CEMENT 25.0MM 129419, $326.00 ,,,
28830,IMPLANT RESTRICTOR BUCK CEMENT 30.0MM 7127-9420, $851.00 ,,,
28986,IMPLANT FALLOPE RING BAND 30 PROCEDURE FRB-30, $251.00 ,,,
29648,IMPLANT SCREW CORTEX S/T 3.5MM X 12MM 204.812, $71.00 ,,,
29651,IMPLANT SCREW CORTEX S/T 3.5MM X 18MM 204.818, $71.00 ,,,
29655,IMPLANT SCREW CNCLS FULL THRD 4.0MM X 18MM 206.018, $59.00 ,,,
29657,IMPLANT SCREW CANN LONG THRD 4.0MM X 36MM 207.736, $611.00 ,,,
29658,IMPLANT SCREW CANN LONG THRD 4.0MM X 40MM 207.740, $611.00 ,,,
29693,IMPLANT SCREW CORTEX S/T 4.5MM X 32MM 214.832, $71.00 ,,,
29694,IMPLANT SCREW CORTEX S/T 4.5MM X 34MM 214.834, $71.00 ,,,
29695,IMPLANT SCREW CORTEX S/T 4.5MM X 36MM 214.836, $71.00 ,,,
29696,IMPLANT SCREW CORTEX S/T 4.5MM X 38MM 214.838, $71.00 ,,,
29697,IMPLANT SCREW CORTEX S/T 4.5MM X 40MM 214.840, $71.00 ,,,
29698,IMPLANT SCREW CORTEX S/T 4.5MM X 42MM 214.842, $71.00 ,,,
29704,IMPLANT SCREW CORTEX S/T 4.5MM X 54MM 214.854, $71.00 ,,,
29709,IMPLANT SCREW CORTEX S/T 4.5MM X 64MM 214.864, $71.00 ,,,
29788,IMPLANT SCREW HIP TI LOW PROFILE 6.5MM X 30MM 103533, $300.00 ,,,
29799,IMPLANT SCREW TRILOGY S/T 6.5MM X 30MM 6250-065-30, $150.00 ,,,
29832,IMPLANT SCREW CNCLS PARTIAL THRD 4.0MM X 35MM 207.035, $55.00 ,,,
29842,IMPLANT SCREW CNCLS 6.5MM X 25MM 2030-6525-1, $391.00 ,,,
29843,IMPLANT SCREW CNCLS 6.5MM X 30MM 2030-6530-1, $391.00 ,,,
29860,IMPLANT SCREW CNCLS FULL THRD 4.0MM X 14MM 206.014, $59.00 ,,,
29862,IMPLANT SCREW CNCLS FULL THRD 4.0MM X 16MM 206.016, $59.00 ,,,
29864,IMPLANT SCREW CNCLS FULL THRD 4.0MM X 20MM 206.020, $59.00 ,,,
29883,IMPLANT SCREW CNCLS FULL THRD 4.0MM X 50MM 206.050, $59.00 ,,,
30010,IMPLANT SCREW CANN 7.3MM X 70MM 16MM THRD 208.870, $802.00 ,,,
30011,IMPLANT SCREW CANN 7.3MM X 75MM 16MM THRD 208.875, $802.00 ,,,
30012,IMPLANT SCREW CANN 7.3MM X 80MM 16MM THRD 208.880, $802.00 ,,,
30013,IMPLANT SCREW CANN 7.3MM X 85MM 16MM THRD 208.885, $802.00 ,,,
30014,IMPLANT SCREW CANN 7.3MM X 90MM 16MM THRD 208.890, $802.00 ,,,
30015,IMPLANT SCREW CANN 7.3MM X 100MM 16MM THRD  208.900, $802.00 ,,,
30027,IMPLANT SCREW CANN 7.3MM X 70MM 32MM THRD 209.870, $802.00 ,,,
30028,IMPLANT SCREW CANN 7.3MM X 75MM 32MM THRD 209.875, $802.00 ,,,
30029,IMPLANT SCREW CANN 7.3MM X 80MM 32MM THRD 209.880, $802.00 ,,,
30031,IMPLANT SCREW CANN 7.3MM X 90MM 32MM THRD 209.890, $802.00 ,,,
30040,IMPLANT SCREW CANN 7.3MM X 95MM 16MM THRD 208.895, $802.00 ,,,
30357,IMPLANT SCREW DHS/DCS COMPRESSION 36MM 280.990, $141.00 ,,,
30369,IMPLANT SCREW DHS LAG 85MM 280.285," $1,085.00 ",,,
30371,IMPLANT SCREW ONE STEP DHS LAG 90MM 12.7MM 280.290," $1,031.00 ",,,
30671,IMPLANT SCREW SCHANZ 294.52 > 294.54FIX, $296.00 ,,,
30672,IMPLANT SCREW SCHANZ 294.55 > 294.57FIX, $342.00 ,,,
30686,IMPLANT SCREW CORTEX S/T 3.5MM X 38MM 204.838, $71.00 ,,,
30757,IMPLANT SCREW SYN TIT 3.5MM 404.020, $52.00 ,,,
30908,IMPLANT SCREW HIP TI LOW PROFILE 6.5MM X 25MM 103532, $300.00 ,,,
30975,IMPLANT SCREW HIP TI LOW PROFILE 6.5MM X 20MM 103531, $300.00 ,,,
31016,IMPLANT SCREW CNCLS FULL THRD 4.0MM X 35MM 206.035, $59.00 ,,,
31065,IMPLANT SCREW CANN SHORT THRD 4.0MM X 36MM 207.636, $611.00 ,,,
31072,IMPLANT SCREW CANN SHORT THRD 4.0MM X 50MM 207.650, $611.00 ,,,
31109,IMPLANT SCREW CORTEX S/T 3.5MM X 30MM 204.830, $71.00 ,,,
31110,IMPLANT SCREW CORTEX S/T 3.5MM X 34MM 204.834, $71.00 ,,,
31112,IMPLANT SCREW CORTEX S/T 2.7MM X 12MM 202.812, $123.00 ,,,
31116,IMPLANT SCREW CORTEX S/T 3.5MM X 36MM 204.836, $71.00 ,,,
31117,IMPLANT SCREW CORTEX S/T 3.5MM X 45MM 204.845, $71.00 ,,,
31118,IMPLANT SCREW CORTEX S/T 3.5MM X 32MM 204.832, $71.00 ,,,
31119,IMPLANT SCREW CORTEX S/T 3.5MM X 14MM 204.814, $71.00 ,,,
31120,IMPLANT SCREW CORTEX S/T 3.5MM X 16MM 204.816, $71.00 ,,,
31121,IMPLANT SCREW CORTEX S/T 3.5MM X 20MM 204.820, $71.00 ,,,
31122,IMPLANT SCREW CORTEX S/T 3.5MM X 22MM 204.822, $71.00 ,,,
31123,IMPLANT SCREW CORTEX S/T 3.5MM X 24MM 204.824, $71.00 ,,,
31124,IMPLANT SCREW CORTEX S/T 3.5MM X 26MM 204.826, $71.00 ,,,
31128,IMPLANT SCREW CORTEX S/T 3.5MM X 60MM 204.860, $71.00 ,,,
31221,IMPLANT SCREW CORTEX S/T 3.5MM X 28MM 204.828, $71.00 ,,,
31222,IMPLANT SCREW CORTEX S/T 2.7MM X 14MM 202.814, $123.00 ,,,
31223,IMPLANT SCREW CORTEX S/T 3.5MM X 50MM 204.850, $71.00 ,,,
31224,IMPLANT SCREW CORTEX S/T 3.5MM X 40MM 204.840, $71.00 ,,,
31260,IMPLANT SCREW CORTEX S/T 3.5MM X 55MM 204.855, $71.00 ,,,
31314,IMPLANT SCREW CORTEX S/T 4.5MM X 68MM 214.868, $71.00 ,,,
31648,"GASTROINTESTINAL SUTURE ANCHOR SET COPE 17GA X 12CM INTRODUCER .035"" X 75CM GUIDEWIRE GIAS-100  G04474", $220.00 ,,,
31745,SHEATH AVANTI 5FR 11CM W/GW (ORDER IN 5'S) 504-605X, $20.00 ,,,
31746,SHEATH AVANTI 6FR 11CM W/GW (ORDER IN 5'S) 504-606X, $20.00 ,,,
31748,SHEATH AVANTI 9FR 11CM W/GW (ORDER IN 5'S) 504-609X, $20.00 ,,,
31759,INTRODUCER SHEATH AVANTI 8FR 11CM W/WIRE (ORDER IN 5'S) 402608X, $22.00 ,,,
33780,IMPLANT HIP STEM FEM MOD BIO-MOORE II SOLID 10MM  139202," $1,944.00 ",,,
34045,IMPLANT STENT URETERAL AMPLATZ 10.2FR X 24CM UTSSW-10.2-24-AMP-RH G09713, $412.00 ,,,
34093,IMPLANT STENT URINARY DIVERSION 7FR X 90CM 089007, $324.00 ,,,
34219,IMPLANT STENT URETERAL AMPLATZ 8.5FR X 24CM UTSSW-8.5-24-AMP-RH G09709, $412.00 ,,,
34945,"SUTURE SURGITIE POLYSORB 2-0 LG LP 21"" VIL EL20L", $151.00 ,,,
37627,"CATHETER KIT CENTRAL VENOUS SNGL LUMEN 0.032"" 20CM 16FR  SAFETY W/ARROWGARD BLUE FLEX TIP CATH CDC-24301-1A", $193.00 ,,,
37831,"CATHETER SUPRAPUBIC BONNANO TRAY LTX 14GA X 11"" W/18GA NDL STRL 408289", $158.00 ,,,
38212,TUBE JEJUNOSTOMY FEEDING 14 FR 9ML BALLOON 0301-14, $546.00 ,,,
39615,IMPLANT WASHER 7MM 219.98, $79.00 ,,,
39644,IMPLANT WASHER 13.0MM 219.99, $88.00 ,,,
39943,CATHETER URETERAL OPEN ENDED 5FR 70CM 020015  G14274, $30.00 ,,,
41535,CLIP RELOAD 030805L ENDO MULTIFIRE GIA SULU 30-2.5V, $824.00 ,,,
43265,INTRODUCER SHEATH BRITE TIP 6FR 23CM (ORDER IN 5'S) 401-623M, $75.00 ,,,
43266,INTRODUCER SHEATH BRITE TIP 8FR 23CM (ORDER IN 5'S) 401-823M, $75.00 ,,,
43283,SHEATH AVANTI 7FR 11CM W/GW (ORDER IN 5'S) 504-607X, $20.00 ,,,
43363,IMPLANT KNEE FEM N/P CRUC RET SZ 6 LFT 96-0006," $4,050.00 ",,,
43420,IMPLANT HIP BALL ARTICUL/EZE 28MM HEAD AND NECK 13.7MM TAPER 1365-11-000," $1,350.00 ",,,
43444,IMPLANT HIP HEAD FEM ARTICUL/EZE M SPEC 36MM + 8.5MM COBALT CHROME 1365-53-000," $1,350.00 ",,,
43619,IMPLANT HIP SHELL RANAWAT/BURSTEIN RINGLOC 50MM SZ 23 11-106050," $2,550.00 ",,,
43625,IMPLANT KNEE TIB I-BEAM COCR PLATE 71MM 141223," $2,412.00 ",,,
43626,IMPLANT KNEE TIB I-BEAM COCR PLATE 63MM 141221," $2,412.00 ",,,
43630,IMPLANT KNEE TIB I-BEAM COCR PLATE 83MM 141226," $2,412.00 ",,,
43632,IMPLANT KNEE TIB I-BEAM COCR PLATE 79MM 141225," $2,412.00 ",,,
43634,IMPLANT KNEE TIB I-BEAM COCR PLATE 75MM 141224," $2,412.00 ",,,
43810,SNARE GOOSENECK AMPLATZ 10MM LOOP 120CM GN1000, $915.00 ,,,
43846,CATHETER INFUSION UNIFUSE 5FR X 90CM X 5CM (BX/1) 12401805, $435.00 ,,,
43847,CATHETER INFUSION UNIFUSE 5FR X 90CM X 10CM (BX/1) 12401806, $448.00 ,,,
43850,CATHETER INFUSION UNIFUSE 5FR X 90CM X 20CM (BX/1) 12401807, $448.00 ,,,
43851,CATHETER INFUSION UNIFUSE 5FR X 90CM X 30CM (BX/1) 12401808, $435.00 ,,,
43852,CATHETER INFUSION UNIFUSE 5FR X 90CM X 50CM (BX/1) 12401810, $435.00 ,,,
43854,CATHETER INFUSION UNIFUSE 5FR X 135CM X 50CM (BX/1) 12401816, $435.00 ,,,
43895,"IMPLANT COIL EMBOLI TORNADO .018"" X 4/2MM MWCE-18S-4/2-TORNADO G08357", $330.00 ,,,
43896,"IMPLANT COIL EMBOLI TORNADO .018"" X 5/2MM MWCE-18S-5/2-TORNADO G08356", $330.00 ,,,
43905,"GUIDEWIRE AMPLATZ EXTRA STIFF 0.038"" X 145CM THSF-38-145-AES G03031", $72.00 ,,,
43924,"CATHETER DRAINAGE BILIARY 12FR .038"" 40CM ULT12.0-38-40-P-32-S-CLB-RH G09499", $277.00 ,,,
43983,"GUIDEWIRE CURVE .035"" X 145CM X 15MM J G00509", $37.00 ,,,
44098,INTRODUCER SHEATH BRITE TIP 6FR 45CM (ORDER IN 2'S) 401-645M, $75.00 ,,,
44099,INTRODUCER SHEATH BRITE TIP 7FR 23CM (ORDER IN 5'S) 401-723M, $75.00 ,,,
44100,INTRODUCER SHEATH BRITE TIP 7FR 45CM (ORDER IN 2'S) 401-745M, $75.00 ,,,
44101,INTRODUCER SHEATH BRITE TIP 8FR 45CM (ORDER IN 2'S) 401-845M, $75.00 ,,,
44102,INTRODUCER SHEATH BRITE TIP 8FR 55CM (ORDER IN 2'S) 401-855M, $75.00 ,,,
44103,INTRODUCER SHEATH BRITE TIP 9FR 23CM (ORDER IN 5'S) 401-923M, $75.00 ,,,
44168,IMPLANT SCREW CORT 3.5MM X 10MM CO-3100, $243.00 ,,,
44170,IMPLANT SCREW CORT 3.5MM X 12MM CO-3120, $243.00 ,,,
44172,IMPLANT SCREW CORT 3.5MM X 14MM CO-3140, $243.00 ,,,
44211,IMPLANT K-WIRE TROCAR POINT 1.6MM X 150MM 292.16, $28.00 ,,,
46072,"CATHETER MICRO RENEGADE .014"" 1-TIP 150CM X 20CM 18-253/M001182530"," $1,111.00 ",,,
46262,GUIDEWIRE SUPRA CORE 190 (ORDER IN 5'S) 1002703-01, $195.00 ,,,
46360,"CATHETER DRAINAGE BILIARY COPE LOOP 14FR .038"" 40CM 32S (CUSTOM ALLOW 4-6 WEEKS FOR DELIVERY) ULT12.0-38-40-P-32-5B G09500", $277.00 ,,,
46361,"IMPLANT COIL EMBOLI TORNADO .018"" X 3/2MM MWCE-18S-3/2-TORNADO G08261", $330.00 ,,,
46868,CLIP RELOAD 030807L ENDO MULTIFIRE GIA SULU 30-3.5, $824.00 ,,,
47003,GUIDEWIRE .025 450LN JAGUAR  5656, $346.00 ,,,
47479,IMPLANT SCREW CORTEX S/T 2.7MM X 16MM 202.816, $123.00 ,,,
47661,IMPLANT SCREW CORTEX S/T 4.5MM X 90MM 214.890, $116.00 ,,,
47745,CATHETER BALLOON DILATION UROMAX ULTRA HP LF 18FR 6MM X 4CM W/HYDROPLUS COATING 225-122/M0062251220 (10ML LEVEEN INFLATOR DOES CONTAIN LTX), $804.00 ,,,
49693,RELOAD UNIT VASCULAR 45MM WH TR45W, $372.00 ,,,
50304,IMPLANT STENT NEPHROURETERAL 10MM X 24MM 22-141/M001221410, $310.00 ,,,
50518,GUIDEWIRE SPARTACORE 10CM X 190CM 1005205, $225.00 ,,,
51358,IMPLANT HIP CUP RINGLOC BI-POLAR 28MM X 47MM 11-165218," $2,178.00 ",,,
51695,IMPLANT HIP CUP RINGLOC BI-POLAR 28MM X 48MM 11-165220," $2,178.00 ",,,
54870,CATHETER DRAINAGE TOTAL ABSCESSION 8.0FR X 30CM 14000803, $255.00 ,,,
54874,CATHETER DRAINAGE TOTAL ABSCESSION 10.0FR X 30CM 14000804, $255.00 ,,,
