Price List: SE Health Stoddard County Price List,,
Service Name,Procedure Code,Price ($)
PB SACRUM/COCCYX 2+ VW,72220,371.00
PB COCCYX 2 VIEW,72220,371.00
PB SACRUM 2 VIEW,72220,371.00
MYELOGRAM LUMBAR SPINE,72265,889.00
PERC VERTEBROPLASTY,72291,515.00
CLAVICLE COMP,73000,160.00
CLAVICLE LT COMP,73000,232.00
PB CLAVICLE LT COMP,73000,232.00
CLAVICLE RT COMP,73000,232.00
PB CLAVICLE RT COMP,73000,232.00
SCAPULA LT COMP,73010,324.00
PB SCAPULA LT COMP,73010,324.00
SCAPULA RT COMP,73010,324.00
PB SCAPULA RT COMP,73010,324.00
SHOULDER 1 V,73020,240.00
SHOULDER LT 1 VIEW,73020,191.00
PB SHOULDER LT 1 VIEW,73020,191.00
SHOULDER RT 1 VIEW,73020,191.00
PB SHOULDER RT 1 VIEW,73020,191.00
SHOULDER 2+VIEWS,73030,193.00
SHOULDER LT 2+ VIEW,73030,258.00
PB SHOULDER LT 2+ VIEW,73030,258.00
SHOULDER RT 2+ VIEW,73030,258.00
PB SHOULDER RT 2+ VIEW,73030,258.00
AC JOINT,73050,355.00
PB AC JOINT,73050,355.00
HUMERUS,73060,162.00
HUMERUS LT 2+ VIEW,73060,232.00
PB HUMERUS LT 2+ VIEW,73060,232.00
HUMERUS RT 2+ VIEW,73060,232.00
PB HUMERUS RT 2+ VIEW,73060,232.00
ELBOW 2 VIEWS,73070,158.00
ELBOW LT 2 VIEWS,73070,201.00
PB ELBOW LT 2 VIEWS,73070,201.00
ELBOW RT 2 VIEWS,73070,201.00
PB ELBOW RT 2 VIEWS,73070,201.00
ELBOW 3 VIEW,73080,192.00
ELBOW LT 3+ VIEWS,73080,283.00
PB ELBOW LT 3+ VIEWS,73080,283.00
ELBOW RT 3+ VIEWS,73080,283.00
PB ELBOW RT 3+ VIEWS,73080,283.00
FOREARM,73090,156.00
FOREARM LT 2 VIEWS,73090,232.00
PB FOREARM LT 2 VIEWS,73090,232.00
FOREARM RT 2 VIEWS,73090,232.00
PB FOREARM RT 2 VIEWS,73090,232.00
WRIST 2 VIEW,73100,243.00
WRIST LT 2 VIEWS,73100,166.00
PB WRIST LT 2 VIEWS,73100,166.00
WRIST RT 2 VIEWS,73100,166.00
PB WRIST RT 2 VIEWS,73100,166.00
WRIST RT 3+VIEWS,73110,174.00
WRIST LT 3+ VIEWS,73110,232.00
PB WRIST LT 3+ VIEWS,73110,232.00
WRIST RT 3+ VIEWS,73110,232.00
PB WRIST RT 3+ VIEWS,73110,232.00
HAND LT 2 VIEWS,73120,183.00
PB HAND LT 2 VIEWS,73120,183.00
HAND RT 2 VIEWS,73120,183.00
PB HAND RT 2 VIEWS,73120,183.00
HAND 3+VIEWS,73130,174.00
HAND LT 3+ VIEWS,73130,232.00
PB HAND LT 3+ VIEWS,73130,232.00
HAND RT 3+ VIEWS,73130,232.00
PB HAND RT 3+ VIEWS,73130,232.00
FINGERS,73140,178.00
FINGER LT 2+ VIEW,73140,242.00
PB FINGER LT 2+ VIEW,73140,242.00
FINGER RT 2+ VIEW,73140,242.00
PB FINGER RT 2+ VIEW,73140,242.00
UPPER EXT WO,73200,1388.00
CT UPPER EXT LT W/O,73200,1360.00
PB CT UPPER EXT LT W/O,73200,1360.00
CT UP EXT RT W O CONT,73200,1360.00
PB CT UP EXT RT W O CONT,73200,1360.00
CT UPPER EXT LT W,73201,1763.00
PB CT UPPER EXT LT W,73201,1763.00
CT UPPER EX RT W CONT,73201,1763.00
PB CT UPPER EX RT W CONT,73201,1763.00
CT UPPER EXT LT W AND WO C,73202,1876.00
PB CT UPPER EXT LT W AND WO C,73202,1876.00
CT UPPER EXT RT W/WO,73202,1876.00
PB CT UPPER EXT RT W/WO,73202,1876.00
UP EXT W/O CONTRAST,73218,1631.00
MRI UP EXT LT W O CONT,73218,1775.00
PB MRI UP EXT LT W O CONT,73218,1775.00
MRI UP EXT RT W O CONT,73218,1775.00
PB MRI UP EXT RT W O CONT,73218,1775.00
MRI UP EXT LT W O & W,73220,2072.00
PB MRI UP EXT LT W O & W,73220,2072.00
MRI UP EXT RT W O & W,73220,2072.00
PB MRI UP EXT RT W O & W,73220,2072.00
UP JOINT W/O,73221,1594.00
MRI UP JOINT LT W O,73221,1775.00
PB MRI UP JOINT LT W O,73221,1775.00
MRI UP JOINT RT W O,73221,1775.00
PB MRI UP JOINT RT W O,73221,1775.00
MRI UP JOINT LT W,73222,1923.00
PB MRI UP JOINT LT W,73222,1923.00
MRI UP JOINT RT W,73222,1923.00
PB MRI UP JOINT RT W,73222,1923.00
UP JOINT W/O & W,73223,2363.00
MRI UP JOINT LT W O & W,73223,1973.00
PB MRI UP JOINT LT W O & W,73223,1973.00
MRI UP JOINT RT W O & W,73223,1973.00
PB MRI UP JOINT RT W O & W,73223,1973.00
MRA UP EXT LT W O & W,73225,2072.00
PB MRA UP EXT LT W O & W,73225,2072.00
MRA UP EXT RT W O & W,73225,2072.00
PB MRA UP EXT RT W O & W,73225,2072.00
HIP PELVIS UNI 2+,73502,309.00
HIP UNI 2+VIEWS,73502,231.00
PB HIP PELVIS UNI 2+,73502,309.00
HIP PELVIS LT 2+,73502,309.00
PB HIP PELVIS LT 2+,73502,309.00
HIP PELVIS RT 2+,73502,309.00
PB HIP PELVIS RT 2+,73502,309.00
HIP BIL W/PELVIS,73521,407.00
PB HIP BIL W/PELVIS,73521,407.00
HIP BILAT W/PELVIS 2,73522,224.00
PELVIS 1/2 VIEWS,73552,147.00
FEMUR 2V,73552,158.00
FEMUR LT 2 VIEWS,73552,242.00
PB FEMUR LT 2 VIEWS,73552,242.00
FEMUR RT 2 VIEWS,73552,242.00
PB FEMUR RT 2 VIEWS,73552,242.00
KNEE 1 OR 2 VIEWS,73560,131.00
KNEE LT 1 OR 2 VIEWS,73560,201.00
PB KNEE LT 1 OR 2 VIEWS,73560,201.00
KNEE RT 1 OR 2 VIEWS,73560,201.00
PB KNEE RT 1 OR 2 VIEWS,73560,201.00
KNEE 3V,73562,205.00
KNEE LT 3 VIEWS,73562,232.00
PB KNEE LT 3 VIEWS,73562,232.00
KNEE RT 3 VIEWS,73562,232.00
PB KNEE RT 3 VIEWS,73562,232.00
KNEE 4 VIEWS,73564,403.00
KNEE LT 4+ VIEWS,73564,319.00
PATELLA LT,73564,319.00
PB KNEE LT 4+ VIEWS,73564,319.00
PB PATELLA LT,73564,319.00
KNEE RT 4+ VIEWS,73564,319.00
PATELLA RT,73564,319.00
PB KNEE RT 4+ VIEWS,73564,319.00
PB PATELLA RT,73564,319.00
KNEE AP STAND BIL,73565,155.00
KNEE STANDING,73565,143.00
PB KNEE AP STAND BIL,73565,155.00
TIBIA/FIBULA,73590,153.00
TIBIA FIBULA LT 2 VW,73590,232.00
PB TIBIA FIBULA LT 2 VW,73590,232.00
TIBIA FIBULA RT 2 VW,73590,232.00
PB TIBIA FIBULA RT 2 VW,73590,232.00
ANKLE LT 2 VIEWS,73600,180.00
PB ANKLE LT 2 VIEWS,73600,180.00
ANKLE RT 2 VIEWS,73600,180.00
PB ANKLE RT 2 VIEWS,73600,180.00
ANKLE 3 VIEWS,73610,174.00
ANKLE LT 3 VIEWS,73610,232.00
PB ANKLE LT 3 VIEWS,73610,232.00
ANKLE RT 3 VIEWS,73610,232.00
PB ANKLE RT 3 VIEWS,73610,232.00
FOOT 2 VIEWS,73620,243.00
FOOT LT 2 VIEWS,73620,196.00
PB FOOT LT 2 VIEWS,73620,196.00
FOOT RT 2 VIEWS,73620,196.00
PB FOOT RT 2 VIEWS,73620,196.00
FOOT 3+VIEWS,73630,174.00
FOOT LT 3+ VIEWS,73630,232.00
PB FOOT LT 3+ VIEWS,73630,232.00
FOOT RT 3+ VIEWS,73630,232.00
PB FOOT RT 3+ VIEWS,73630,232.00
CALANEUS,73650,156.00
CALCANEUS LT 2+ VW,73650,201.00
PB CALCANEUS LT 2+ VW,73650,201.00
CALCANEUS RT 2+ VW,73650,201.00
PB CALCANEUS RT 2+ VW,73650,201.00
TOE LT,73660,227.00
PB TOE LT,73660,227.00
TOE RT,73660,227.00
PB TOE RT,73660,227.00
LOW EXT W/O CONTRAST,73700,1069.00
CT LOW EXT LT W/O,73700,1360.00
PB CT LOW EXT LT W/O,73700,1360.00
CT LOW EXT RT W/O,73700,1360.00
PB CT LOW EXT RT W/O,73700,1360.00
