Charge Identifier,CDM Description, 2019 Price 
6846,GUIDE CATHETER VISTA BRITE 8FR XB 3 588-829, $119.00 
6847,GUIDE CATHETER VISTA BRITE 8FR XB 3.5 588-882, $119.00 
6848,GUIDE CATHETER VISTA BRITE 8FR XB 4 588-894, $119.00 
6850,GUIDE CATHETER VISTA BRITE 8FR JL 4 IM 100CM 588-801, $119.00 
6954,CATHETER MICRO PROWLER 14 ST 2-TIP 2.3/1.9FR X 50CM X 155CM 606-151X," $2,183.00 "
7026,CATHETER FOLEY TRAY SUPRAPUBIC LTX 12FR 143112, $233.00 
7033,CATHETER THERMODILUTION MULTI-FLEX 7FR 110CM S-CURVE NON-HEPARIN CTD LTX4122704-01, $135.00 
7748,"CATHETER DRAINAGE MULTIPURPOSE 12.0FR .038"" 25CM 6S ULT12.0-38-25-P-6S-CLM-RH", $264.00 
7749,"CATHETER DRAINAGE BILIARY 10.2FR .038"" 40CM ULT10.2-38-40-P-32S-CLB-RH G09498", $277.00 
7776,"CATHETER GLIDE ANG TAPER 5FR .038"" X 65CM CG507", $146.00 
8075,CATHETER DRAINAGE NEPHROSTOMY MALECOT LTX 14FR 4-WING 086014, $37.00 
8078,CATHETER DRAINAGE NEPHROSTOMY MALECOT LTX 20FR 4-WING 086020, $37.00 
8080,CATHETER DRAINAGE NEPHROSTOMY MALECOT LTX 26FR 4-WING 086026, $37.00 
8093,"CATHETER DRAINAGE MULTIPURPOSE 10.2FR .038"" 25CM 6S ULT10.2-38-25-P-6S-CLM-RH", $264.00 
8095,"CATHETER DRAINAGE MULTIPURPOSE 8.5FR .038"" 25CM 6S ULT8.5-38-25-P-6S-CLM-RH", $264.00 
8124,INTRODUCER SHEATH PINNACLE 7FR X 25CM RSS705, $63.00 
8186,IMPLANT CATHETER PERITONEAL DIALYSIS SWAN NECK COIL LFT 8888413401, $586.00 
8187,IMPLANT CATHETER PERITONEAL DIALYSIS SWAN NECK COIL RT 8888413419, $543.00 
8910,IMPLANT NEURO CLIP ANEURYSM AVM MICROCLIP 3MM 07-932-03, $927.00 
8925,IMPLANT NEURO CLIP ANEURYSM SUGITA MINI 5.0 SIDE CVD 7MM 07-940-86," $1,050.00 "
8934,IMPLANT NEURO CLIP ANEURYSM SUGITA TEMP 8.0 ST 7MM 07-940-51," $1,012.00 "
9060,PUSHER COIL 401216, $504.00 
9094,"IMPLANT COIL EMBOLI TORNADO .018"" X 10/4MM MWCE-18S-10/4-TORNADO G09217", $330.00 
9095,"IMPLANT COIL EMBOLI TORNADO .018"" X 7/3MM MWCE-18S-7/3-TORNADO G09218", $330.00 
9096,"IMPLANT COIL EMBOLI TORNADO .018"" X 8/4MM MWCE-18S-8/4-TORNADO G09215", $330.00 
9435,IMPLANT ACCUFLO CONNECTOR 17MM STR PLASTIC  821504, $254.00 
9582,IMPLANT EMBOLIC CONTOUR 150-250 MICRONS VIAL 760025, $430.00 
9583,IMPLANT EMBOLIC CONTOUR 250-355 MICRONS VIAL 760035, $430.00 
10429,IMPLANT HIP CUP RINGLOC BI-POLAR 28MM X 45MM 11-165214," $2,178.00 "
10917,"GLIDEWIRE STD ANG 0.018"" 3CM X 180CM GR1806", $161.00 
10927,"GLIDEWIRE ANG 0.035"" X 3CM X 150CM GR3506", $87.00 
10928,"GUIDEWIRE AMPLATZ SS .035"" 6MM X 260CM ST-TIP 46-526/M001465261", $135.00 
10930,"GUIDEWIRE MAGIC TORQUE .035"" 5MM X 180CM 46-591/M001465911", $211.00 
10931,"GUIDEWIRE MAGIC TORQUE .035"" 5MM X 260CM 46-592/M001465921", $211.00 
11372,IMPLANT DISTAL CENTRALIZER VERSYS 11MM 7859-011-00, $150.00 
11373,IMPLANT DISTAL CENTRALIZER VERSYS 12MM 7859-012-00, $150.00 
11374,IMPLANT DISTAL CENTRALIZER VERSYS 10MM 7859-010-00, $150.00 
11376,IMPLANT DISTAL CENTRALIZER VERSYS 14MM 7859-014-00, $150.00 
11377,IMPLANT DISTAL CENTRALIZER VERSYS 15MM 7859-015-00, $150.00 
11378,IMPLANT DISTAL CENTRALIZER VERSYS 16MM 7859-016-00, $150.00 
11542,DRAIN TLS ROUND STRL 10FR 6650, $95.00 
12108,IMPLANT PATCH DURAGUARD 6CM X 8CM DG-0608SN," $1,470.00 "
12195,IMPLANT EAR T-TUBE VENT DONALDSON SILICONE 1.14MM, $35.00 
12850,"GUIDEWIRE ERCP JAGWIRE ST .035"" 5658/M00556581", $346.00 
12884,STENT INTRODUCER BILIARY 10FR W/PUSH  GUIDE CATH 3392/M00533920, $220.00 
13223,IMPLANT KNEE FEM STEM NEXGEN LEGACY SZ C LFT 5996-013-51," $4,200.00 "
13224,IMPLANT KNEE FEM STEM NEXGEN LEGACY SZ C RT 5996-013-52," $4,200.00 "
13225,IMPLANT FEM STEM NEXGEN LEGACY SZ D LFT 5996-014-51," $4,200.00 "
13226,IMPLANT KNEE NEXGEN LPS LEGACY SZ D RT 5996-014-52," $4,200.00 "
13228,IMPLANT KNEE FEM STEM NEXGEN LEGACY SZ G LFT 5996-017-51," $4,200.00 "
13229,IMPLANT KNEE FEM STEM NEXGEN LEGACY SZ G RT 5996-017-52," $4,200.00 "
13292,IMPLANT RESTRICTOR BUCK CEMENT 18.5MM 129418, $326.00 
13310,IMPLANT HIP FEM HEAD ENDO 43MM 7818-043-00, $998.00 
13311,IMPLANT HIP FEM HEAD ENDO 44MM 7818-044-00, $998.00 
13312,IMPLANT HIP FEM HEAD ENDO 45MM 7818-045-00, $998.00 
13314,IMPLANT HIP FEM HEAD ENDO 47MM 7818-047-00, $998.00 
13315,IMPLANT HIP FEM HEAD ENDO 48MM 7818-048-00, $998.00 
13316,IMPLANT HIP FEM HEAD ENDO 49MM 7818-049-00, $998.00 
13318,IMPLANT HIP FEM HEAD ENDO 51MM 7818-051-00, $998.00 
13319,IMPLANT HIP FEM HEAD ENDO 52MM 7818-052-00, $998.00 
13322,IMPLANT HIP FEM HEAD ENDO 55MM 7818-055-00, $998.00 
13337,IMPLANT HIP FEM HEAD VERSYS 0.0MM X 28MM 8018-028-02," $1,050.00 "
13668,FILTER VENA CAVA BIRDS NEST BNF-75-PB G06452," $4,185.00 "
13853,IMPLANT PIN APEX 1/2 S/D S/T 5MM X 150MM 50MM THRD 5018-6-150, $420.00 
15176,"GLIDEWIRE STIFF ANG 0.035"" X 3CM X 150CM GS3506", $135.00 
15179,"GUIDEWIRE MICRO HEADLINER 0.016"" 45 DEG ANG FLOPPY 0.016"" X 8CM X 200CM GM1621", $870.00 
15181,"GLIDEWIRE ANG LONG TAPER 0.035"" X 3CM X 150CM GR3507", $98.00 
15540,IMPLANT GRAFT GORTEX 6MM X 50CM STRETCHED S0605," $1,929.00 "
15630,IMPLANT GRAFT GORTEX 20MM X 20CM STRETCHED SA2002," $1,266.00 "
15635,IMPLANT GRAFT GORE 6X10 STD V06010L, $414.00 
15664,IMPLANT GRAFT HEMASHIELD 12MM X 6MM X 40CM BIFURCATED MICROVEL KNITTED DBL VELOUR 085126," $2,320.00 "
15665,IMPLANT GRAFT HEMASHIELD 16MM X 8MM X 40CM BIFURCATED MICROVEL KNITTED DBL VELOUR 085168," $2,320.00 "
15667,IMPLANT GRAFT HEMASHIELD 18MM X 30CM ST TUBE DBL VELOUR KNITTED VASCULAR 095218," $1,516.00 "
15668,IMPLANT GRAFT HEMASHIELD 18MM X 9MM X 40CM BIFURCATED MICROVEL KNITTED DBL VELOUR 085189," $2,320.00 "
15669,IMPLANT GRAFT HEMASHIELD BOVINE/COLLAGEN DBL VELOUR PATCH 2.5CM X 7.6CM 019514/M020000195140, $347.00 
15670,IMPLANT GRAFT HEMASHIELD 20MM X 10MM X 40CM BIFURCATED MICROVEL KNITTED DBL VELOUR 085201," $2,320.00 "
15671,IMPLANT GRAFT HEMASHIELD 20MM X 30CM ST TUBE DBL VELOUR KNITTED VASCULAR20 095220," $1,516.00 "
15673,IMPLANT GRAFT HEMASHIELD 24MM X 12MM X 40CM BIFURCATED MICROVEL KNITTED DBL VELOUR 085241," $2,320.00 "
15674,IMPLANT GRAFT HEMASHIELD 24MM X 30CM ST TUBE DBL VELOUR KNITTED VASCULAR 095224," $1,516.00 "
15677,IMPLANT GRAFT HEMASHIELD 14MM X 7MM X 40CM BIFURCATED MICROVEL KNITTED DBL VELOUR 085147," $2,320.00 "
15756,IMPLANT GRAFT HEMASHIELD 22MM X 11MM X 40CM BIFURCATED MICROVEL KNITTED DBL VELOUR 085221," $2,320.00 "
15758,IMPLANT GRAFT HEMASHIELD 14MM X 30CM ST TUBE DBL VELOUR KNITTED VASCULAR 095214," $1,516.00 "
15759,IMPLANT GRAFT HEMASHIELD 6MM X 40CM ST TUBE DBL VELOUR KNITTED VASCULAR 095306," $1,516.00 "
15761,IMPLANT GRAFT HEMASHIELD 8MM X 40CM ST TUBE DBL VELOUR KNITTED VASCULAR 095308," $1,516.00 "
15764,IMPLANT GRAFT HEMASHIELD 10MM X 30CM ST TUBE KNITTED DBL VELOUR VASCULAR 095410," $1,516.00 "
15765,IMPLANT GRAFT HEMASHIELD 12MM X 30CM ST TUBE KNITTED DBL VELOUR VASCULARM 095412," $1,516.00 "
15766,IMPLANT GRAFT HEMASHIELD 24MM X 30CM PLATINUM WOVEN 175424P," $1,833.00 "
15767,IMPLANT GRAFT HEMASHIELD 26MM X 30CM PLATINUM WOVEN 175426P," $1,905.00 "
15769,IMPLANT GRAFT HEMASHIELD 30MM X 30CM PLATINUM WOVEN 175430P," $1,852.00 "
15770,IMPLANT GRAFT HEMASHIELD 34MM X 30CM PLATINUM WOVEN 175434P," $1,852.00 "
15771,IMPLANT GRAFT HEMASHIELD 24MM X 60CM PLATINUM WOVEN 175624P," $2,493.00 "
15772,IMPLANT GRAFT HEMASHIELD 26MM X 60CM PLATINUM WOVEN 175626P," $2,492.00 "
15773,IMPLANT GRAFT HEMASHIELD 30MM X 60CM PLATINUM WOVEN 175630P," $2,492.00 "
15774,IMPLANT GRAFT HEMASHIELD 34MM X 60CM PLATINUM WOVEN 175634P," $2,493.00 "
15775,IMPLANT GRAFT HEMASHIELD 16MM X 30CM ST TUBE DBL VELOUR KNITTED VASCULAR 095216," $1,516.00 "
15776,IMPLANT GRAFT HEMASHIELD 22MM X 30CM ST TUBE DBL VELOUR KNITTED VASCULAR 095222," $1,516.00 "
15778,IMPLANT GRAFT HEMASHIELD 12MM X 7MM X 40CM BIFURCATED MICROVEL KNITTED DBL VELOUR 085127," $2,320.00 "
15779,IMPLANT GRAFT HEMASHIELD 2 X 3/5 X 7.5 HWDV WOVEN DBL VELOUR 019624, $490.00 
15967,INPLANT K-WIRE GUIDEWIRE THRD 2.8MM TROCAR POINT 300MM 292.68, $146.00 
15987,GUIDEWIRE SAVARY-GILLARD 200CM STD LENGTH SGW-200-SD G22139, $414.00 
15998,"GUIDEWIRE NEWTON HEAVY DUTY EXCHG .035"" X 260CM (MIN ORDER 5) THSFNB-35-260 G01155", $162.00 
16001,INTRODUCER SHEATH BRITE TIP 7FR 90CM (ORDER IN 2'S) 401-790M, $75.00 
16003,INTRODUCER SHEATH BRITE TIP 6FR 90CM (ORDER IN 2'S) 401-690M, $75.00 
16008,GUIDEWIRE IRONMAN .014 X 300CM 1001311, $225.00 
16009,GUIDEWIRE BALANCE MIDDLEWEIGHT .014 X 190 BALANCE (ORDER IN 5'S) 1001780-HC, $240.00 
16010,GUIDEWIRE BALANCE MIDDLEWEIGHT .014 X 300CM 1001782, $225.00 
16013,"GUIDEWIRE BENTSON .035"" X 150CM 05500801", $35.00 
16015,"GUIDEWIRE SPRING POSITIVE PLACEMENT 0.018"" X 14CM RW-04018", $19.00 
16016,"GLIDEWIRE STIFF ST 0.035"" X 3CM X 260CM GS3504", $150.00 
16036,"GUIDEWIRE ZIP ANG SV .018"" X 150CM 46-231B/M00146231B1", $181.00 
16038,"GLIDEWIRE ANG .035"" 3CM X 180CM CVD GR3508", $119.00 
16055,IMPLANT K-WIRE GUIDEWIRE N-THR 1.1MM 292.623, $90.00 
16060,"GUIDEWIRE ROADRUNNER ST .018"" 480CM X 3CM RR-18-480 G22419", $477.00 
16073,IMPLANT K-WIRE GUIDEWIRE THRD 1.6MM X 150MM 292.72, $108.00 
16098,"GUIDEWIRE FLOPPY ROTAWIRE .014"" 325CM 22824-002", $480.00 
16102,GUIDEWIRE .014 ROTAWIRE EXTRA SUPPORT 23239-001, $480.00 
16117,GUIDEWIRE .014X182 ST LUGE 12130-01, $210.00 
16121,GUIDEWIRE IRONMAN .014 X 190CM 1001309, $225.00 
16123,GUIDEWIRE LUGE ST .014 X 300 12100-01, $210.00 
16130,"GUIDEWIRE PLATINUM PLUS .018"" X 180CM 46-604", $249.00 
16131,"GUIDEWIRE PLATINUM PLUS .018"" X 260CM 46-602/M001466020", $332.00 
16135,"GUIDEWIRE V-18 CONTROL .018"" 200CM W/8CM TAPER 46-852/M001468520", $261.00 
16140,"GUIDEWIRE .032"" 145CM ST LS14LS18T 007645", $31.00 
16149,"GUIDEWIRE STIFF ST .035"" X 3CM X 180CM GS3503", $140.00 
16152,"GLIDEWIRE ST 0.035"" X 3CM X 260CM GR3504", $133.00 
16153,"GLIDEWIRE STIFF ANG 0.035"" X 3CM X 80CM GS3505", $135.00 
16154,"GUIDEWIRE AMPLATZ SS .035"" 6MM X 180CM ST-TIP 46-525/M001465251", $146.00 
16155,"GLIDEWIRE STIFF ANG 0.035"" X 3CM X 260CM GS3509", $150.00 
16159,"GLIDEWIRE STIFF ANG 0.038"" X 3CM X 80CM GS3804", $135.00 
16163,"GUIDEWIRE V-18 CONTROL .018"" 200CM W/12CM TAPER 46-858/M001468580", $261.00 
16164,"GUIDEWIRE CURVE .035"" X 145CM X 3MM J TSCF-35-145-3 G00511", $40.00 
16167,"GUIDEWIRE AMPLATZ EXTRA STIFF 0.035"" X 260CM THSF-35-260-AES G03562", $74.00 
16168,"GUIDEWIRE AMPLATZ EXTRA STIFF 0.035"" X 145CM THSF-35-145-AES G03095", $72.00 
16169,"GLIDEWIRE ANG 0.035"" X 3CM X 260CM GR3509", $133.00 
16175,"GUIDEWIRE DEFLECTING TIP .038"" X 100CM DTDW-38-100-10 G26958", $215.00 
16176,"GUIDEWIRE ST EXCHG .025"" X 260CM TSF-O25-260 G00620", $41.00 
16183,"GUIDEWIRE LUNDERQUIST RING .035"" X 145CM THSF-35-145-THG G27033", $107.00 
16190,GUIDEWIRE ROADRUNNER .035 X 180CM RFSPC-35-180 G09608, $98.00 
16191,"GUIDEWIRE ROSEN HEAVY DUTY .035"" X 145CM X 1.5MM THSCF-35-145-1.5-ROSEN G01261", $39.00 
16193,"GLIDEWIRE FLEX 0.035"" X 3CM X 150CM GE3501", $96.00 
16199,"GUIDEWIRE ROSEN .035"" X 260CM X 1.5MM THSCF-35-260-1.5 ROSEN G01253", $80.00 
16201,"GUIDEWIRE MICRO TRANSEND EX STD0.014"" X 39CM X 182CM 46-805"," $1,323.00 "
16203,GUIDEWIRE .025 X 145CM X 1.5MM CURVE TSCF-25-145-15-BH (SPECIAL 4-6 WKS DELIVERY) G00465, $121.00 
16208,"GUIDEWIRE V-18 CONTROL .018"" 300CM W/8CM TAPER 46-854/M001468540", $261.00 
16426,IMPLANT HIP FEM HEAD 32MM MED 9026-033-00," $1,050.00 "
16428,IMPLANT HIP FEM STEM COCR MOD HD NO SKRT 28MM X -3MM NK 163661," $1,383.00 "
16429,IMPLANT HIP FEM STEM COCR MOD HD NO SKRT STD NK 28MM 163662," $1,383.00 "
16430,IMPLANT HIP FEM STEM COCR MOD HD NO SKRT 28MM X +6MM NK 163638," $1,383.00 "
17195,IMPLANT FINGER JOINT SWANSON SZ5 G470-0005," $3,654.00 "
17267,IMPLANT EYE ORBITAL ENUCLEATION SPHERE 16MM 6326," $1,482.00 "
17275,IMPLANT SPHINCTER/PRESSURE REG BALLOON 72400024," $8,394.00 "
17284,IMPLANT COLLAGEN MEMBRANE 15X20 BIOMEND 0103, $255.00 
17289,IMPLANT EYE BUCKLE SLEEVE 1.0 X 2.1 S3018, $26.00 
17351,IMPLANT HIP FEM HEAD/NECK SHORT 9026-028-35," $1,050.00 "
17375,IMPLANT KNEE FEM AUG BLOCK D DISTAL 5990-034-10," $3,062.00 "
17376,IMPLANT KNEE FEM AUG BLOCK D POSTERIOR 5990-034-01," $3,062.00 "
17385,IMPLANT KNEE STEM EXT ST 15MM X 75MM 5988-012-15," $3,471.00 "
17429,IMPLANT TESTICULAR PROSTHESIS SALINE MED 450-1327 (NON-RETURNABLE)," $5,955.00 "
17459,IMPLANT BREAST CONTOUR PROFILE SPECTRUM SALINE 550ML 354-2514," $3,300.00 "
17475,IMPLANT EYE ORBITAL ENUCLEATION SPHERE 20MM 6317," $1,482.00 "
17533,IMPLANT HIP FEM STEM COCR MOD HD NO SKRT 28MM X +3MM NK 163663," $1,383.00 "
17534,IMPLANT HIP FEM STEM COCR MOD HD NO SKRT 28MM X -6MM NK 163660," $1,383.00 "
17574,IMPLANT HIP SHELL R/B RINGLOC POROUS ACET SZ 22 48MM 106048," $2,550.00 "
17576,IMPLANT HIP SHELL LINER SZ 22 UNIV POROUS ACET 46MM 11-103546," $2,550.00 "
17577,IMPLANT HIP SHELL LINER SZ 24 UNIV POROUS ACET 64MM 11-103564," $2,550.00 "
17579,IMPLANT HIP SHELL LINER SZ 22 UNIV POROUS ACET 48MM 11-103548," $2,550.00 "
17580,IMPLANT HIP SHELL LINER SZ 24 UNIV POROUS ACET 54MM 11-103554," $2,550.00 "
17592,IMPLANT PLATE NEXGEN PRECOAT STEMMED TIBIAL SZ 3  5980-037-01," $2,100.00 "
17614,IMPLANT KNEE 3 POST ROUND 32MM 96-0110," $1,050.00 "
17619,IMPLANT KNEE PATELLA OVAL DOME 3-PEG 38MM 96-0102," $1,050.00 "
17634,IMPLANT KNEE ARCOM PATELLA W/WIRE 3-PEG 37MM 11-150844," $1,032.00 "
17647,IMPLANT KNEE RT DISTAL SZ 4 4MM AUGMENT 96-0881," $3,249.00 "
17768,IMPLANT KNEE NEXGEN 29MM POLY PATELLA 5972-065-29, $900.00 
17781,IMPLANT KNEE NEXGEN PATELLAR 32MM X 8.5MM 5972-065-32/00597206532, $900.00 
17782,IMPLANT KNEE NEXGEN PATELLAR 38MM POLY 5972-065-38, $900.00 
17783,IMPLANT KNEE NEXGEN POLY PATELLA 35MM 5972-065-35/005970206535, $900.00 
17804,IMPLANT KNEE PATELLA SZ SML 96-0111," $1,050.00 "
17807,IMPLANT KNEE ARCOM PATELLA W/WIRE 3-PEG 34MM 11-150842," $1,032.00 "
17824,IMPLANT KNEE POSTERIOR AUG SZ 4 4MM 96-0886," $3,249.00 "
17837,IMPLANT PLATE NEXGEN PRECOAT STEMMED TIBIAL SZ 5 5980-047-01," $2,100.00 "
17839,IMPLANT PLATE NEXGEN PRECOAT STEMMED TIBIAL SZ 4 5980-037-02," $2,100.00 "
17843,IMPLANT KNEE FEM PFC SIGMA TC3 LFT SZ 4 96-0083," $19,132.00 "
17889,IMPLANT KNEE TIB I-BEAM COCR PLATE 67MM 141222," $2,412.00 "
17932,IMPLANT PLATE NEXGEN PRECOAT STEMMED TIBIAL SZ 6 5980-047-02," $2,100.00 "
18580,INTRODUCER SHEATH 6FR X 45CM CL-07645, $303.00 
18581,INTRODUCER SHEATH 7FR X 45CM CL-07745, $281.00 
18582,INTRODUCER SHEATH 8FR X 45CM CL-07845, $281.00 
18583,INTRODUCER SHEATH 8FR X 65CM CL-07865, $331.00 
18588,INTRODUCER SHEATH 6FR X 11CM CP-07611, $99.00 
18589,INTRODUCER SHEATH 6FR X 24CM CL-07624, $222.00 
18590,INTRODUCER SHEATH 7FR X 24CM CL-07724, $195.00 
18593,INTRODUCER SHEATH 7FR X 11CM CP-07711, $102.00 
18596,INTRODUCER SHEATH 8FR X 11CM CP-07811, $103.00 
18597,INTRODUCER SHEATH 8FR X 24CM CL-07824, $198.00 
18600,INTRODUCER SHEATH 9FR X 11CM CP-07911, $111.00 
18601,INTRODUCER SHEATH 9FR X 24CM CL-07924, $200.00 
18629,INTRODUCER STENT OASIS 10FR 205CM OA-10, $249.00 
18632,INTRODUCER PEEL AWAY 11FR CPLI-11.0-38-M G04496, $198.00 
18641,INTRODUCER SHEATH 10FR (MUST BE ORDERED IN 5S)LONG CL-07924-000406180, $171.00 
18650,SHEATH AVANTI 8FR 11CM W/GUIDEWIRE (ORDER IN 5'S) 504-608X, $20.00 
18658,INTRODUCER SHEATH 8FR SR1 406845, $453.00 
