"SVCCD","Description","PRICE1","As of Date"
"40510094","SDS RECOVERY 1ST HR           ",1082.83,"2/5/2019"
"40510095","SDS RECOVERY ADD 15 MIN       ",123.44,"2/5/2019"
"40532000","PHASE II RECOVERY PER HOUR    ",449.20,"2/5/2019"
"40800039","CAR SEAT/BED TEST 60 MIN      ",231.12,"2/5/2019"
"40800102","CIRCUMCISION NB               ",678.00,"2/5/2019"
"40800151","FETAL NON-STRESS TEST         ",859.62,"2/5/2019"
"40809999","OBSERVATION EA ADD HOUR       ",158.82,"2/5/2019"
"40810000","OBSERVATION FIRST HOUR        ",235.53,"2/5/2019"
"40815396","MINOR PROCEDURE               ",2042.49,"2/5/2019"
"40820002","DIRECT ADMIT TO OBSERVATION   ",1543.66,"2/5/2019"
"40840846","IV INFUSION HYDRATION 31M-1HR ",501.76,"2/5/2019"
"40840847","IV INFUSION HYDRATION ADDL HR ",129.98,"2/5/2019"
"40840848","IV INFUSION THX/PX/DX FIRST HR",692.55,"2/5/2019"
"40840849","IV INFUSION THX/PX/DX ADDL HR ",150.81,"2/5/2019"
"40840852","IV PUSH ONE/FIRST DRUG        ",532.94,"2/5/2019"
"40840853","IV PUSH EA ADDL NEW DRUG      ",531.05,"2/5/2019"
"40850823","IV PUSH SAME DRUG/SUB 31M     ",535.02,"2/5/2019"
"40879000","INJ THER/DX SQ/IM             ",336.23,"2/5/2019"
"40882801","LABOR LEVEL 1 PER HR          ",998.50,"2/5/2019"
"40882802","LABOR LEVEL 2 PER HR          ",959.90,"2/5/2019"
"40882803","LABOR LEVEL 3 PER HR          ",1103.88,"2/5/2019"
"40882811","DELIVERY LEVEL 1              ",3569.63,"2/5/2019"
"40882812","DELIVERY LEVEL 2              ",4141.62,"2/5/2019"
"40882813","DELIVERY LEVEL 3              ",4692.39,"2/5/2019"
"40882821","L&D RECOVERY LEVEL 1          ",901.70,"2/5/2019"
"40882822","L&D RECOVERY LEVEL 2          ",2950.35,"2/5/2019"
"41200010","ACEBUTOLOL 200MG CAP          ",3.00,"2/5/2019"
"41200014","DOCUSATE SOD 283MG ENEMA      ",67.25,"2/5/2019"
"41200017","HYDROMORPHONE .2MG/ML 30ML    ",46.62,"2/5/2019"
"41200022","FLUOXETINE 10MG CAP           ",47.68,"2/5/2019"
"41200023","PRAVASTATIN 80MG TAB          ",25.07,"2/5/2019"
"41200040","ACETAMINOPHEN 120MG SUPP      ",1.00,"2/5/2019"
"41200060","ACETAMINOPHEN 160MG/5ML 5ML   ",14.11,"2/5/2019"
"41200140","ACETAMINOPHEN 325MG SUPP      ",1.00,"2/5/2019"
"41200150","ACETAMINOPHEN 325MG TAB       ",1.00,"2/5/2019"
"41200168","NALTREXONE 50MG TAB           ",71.12,"2/5/2019"
"41200170","ACETAMINOPHEN 500MG TAB       ",1.00,"2/5/2019"
"41200180","ACETAMINOPHEN 650MG SUPP      ",1.00,"2/5/2019"
"41200270","ACETAZOLAMIDE 250MG TAB       ",19.23,"2/5/2019"
"41200310","ACETIC ACID 2% OTIC SOL 15ML  ",234.09,"2/5/2019"
"41200430","ACETYLCYSTEINE 10% 10ML       ",226.59,"2/5/2019"
"41200450","ACETYLCYSTEINE 20% 4ML        ",133.96,"2/5/2019"
"41200460","ACETYLCYSTEINE 20% 10ML       ",93.31,"2/5/2019"
"41200470","ACETYLCYSTEINE 20% 30ML       ",251.82,"2/5/2019"
"41200480","LACTINEX PACKET               ",19.23,"2/5/2019"
"41200520","ACTIVATED CHARCOAL LIQ 120ML  ",180.78,"2/5/2019"
"41200590","ACYCLOVIR 200MG CAP           ",36.03,"2/5/2019"
"41200620","ACYCLOVIR 500MG INJ           ",135.37,"2/5/2019"
"41200830","ALLOPURINOL 100MG TAB         ",19.23,"2/5/2019"
"41200840","ALLOPURINOL 300MG TAB         ",28.17,"2/5/2019"
"41200850","ALPRAZOLAM 0.25MG TAB         ",28.17,"2/5/2019"
"41200860","ALPRAZOLAM 0.5MG TAB          ",32.87,"2/5/2019"
"41201000","AMANTADINE 100MG CAP          ",18.31,"2/5/2019"
"41201010","AMANTADINE 50MG/5ML SYR       ",12.86,"2/5/2019"
"41201090","AMILORIDE 5MG TAB             ",18.31,"2/5/2019"
"41201120","AMINOCAPROIC ACID 5GM/20ML LIQ",165.92,"2/5/2019"
"41201132","FAMOTIDINE 20MG/50ML INJ      ",27.63,"2/5/2019"
"41201218","CALCITONIN NASAL SPRAY 3.7ML  ",1044.06,"2/5/2019"
"41201270","AMINOPHYLLINE 500MG/20ML 20ML ",120.72,"2/5/2019"
"41201280","AMIODARONE 200MG TAB          ",86.86,"2/5/2019"
"41201290","AMITRIPTYLINE 100MG TAB       ",37.20,"2/5/2019"
"41201300","AMITRIPTYLINE 10MG TAB        ",12.80,"2/5/2019"
"41201350","AMITRIPTYLINE HCL 25MG TAB    ",12.80,"2/5/2019"
"41201360","AMITRIPTYLINE HCL 50MG TAB    ",19.23,"2/5/2019"
"41201460","AMMONIA INHALER               ",21.15,"2/5/2019"
"41201590","AMOXICILLIN 250MG CAP         ",14.11,"2/5/2019"
"41201615","AMOXICILLIN 250MG/5ML 5ML     ",5.98,"2/5/2019"
"41201620","AMOXICILLIN 250MG/5ML 80ML    ",80.61,"2/5/2019"
"41201730","AUGMENTIN 500MG TAB           ",61.88,"2/5/2019"
"41201770","AMPICILLIN 1GM 50ML PB        ",74.24,"2/5/2019"
"41201780","AMPICILLIN 1GM INJ            ",237.10,"2/5/2019"
"41201810","AMPICILLIN 2GM INJ            ",289.56,"2/5/2019"
"41201830","AMPICILLIN 500MG INJ          ",208.97,"2/5/2019"
"41201840","AMPICILLIN SULBACTAM 1.5GM PB ",169.83,"2/5/2019"
"41201860","AMPICILLIN SULBACTAM 3GM INJ  ",299.70,"2/5/2019"
"41202160","ASCORBIC ACID 500MG TAB       ",14.11,"2/5/2019"
"41202220","ASPIRIN 300MG SUPPOSITORY     ",8.79,"2/5/2019"
"41202250","ASPIRIN 325MG TAB             ",1.00,"2/5/2019"
"41202260","ASPIRIN 325MG EC TAB          ",1.00,"2/5/2019"
"41202300","ASPIRIN 81MG CHEW TAB         ",1.00,"2/5/2019"
"41202540","ATROPINE SUL 0.1MG 10ML       ",133.03,"2/5/2019"
"41202590","ATROPINE SUL 0.4MG/ML 1ML     ",133.03,"2/5/2019"
"41202660","ATROPINE SUL 1% 5ML OPTH GTTS ",292.72,"2/5/2019"
"41202760","AZTREONAM 1GM INJ             ",473.61,"2/5/2019"
"41202820","BACITRACIN 50;000U INJ        ",237.10,"2/5/2019"
"41202840","BACITRACIN OP OINT 3.5GM      ",89.68,"2/5/2019"
"41202850","BACITRACIN OINT 15GM          ",32.09,"2/5/2019"
"41202920","BACLOFEN 10MG TAB             ",19.23,"2/5/2019"
"41203200","BENZOCAINE AEROSOL 20% 60ML   ",270.32,"2/5/2019"
"41203323","VENLAFAXINE 75MG TAB          ",16.92,"2/5/2019"
"41203331","VENLAFAXINE 100MG TAB         ",20.97,"2/5/2019"
"41203334","PROPOFOL 10MG/ML 100ML        ",1216.87,"2/5/2019"
"41203340","BENZOIN COMP TINCTURE 60ML    ",71.70,"2/5/2019"
"41203370","BENZONATATE 100MG PEARLE      ",21.15,"2/5/2019"
"41203373","THEOPHYLLINE ANHYD 400MG TAB  ",18.31,"2/5/2019"
"41203410","BENZTROPINE 1MG TAB           ",19.23,"2/5/2019"
"41203420","BENZTROPINE 1MG/ML 2ML        ",111.13,"2/5/2019"
"41203440","ANUSOL 30GM OINT              ",44.13,"2/5/2019"
"41203510","BETAMETHASONE 0.05% ONT 15GM  ",141.43,"2/5/2019"
"41203639","DAKINS SOL 1/4 480ML          ",46.07,"2/5/2019"
"41203640","CELESTONE SOLUSPAN 1ML INJ    ",154.95,"2/5/2019"
"41203760","BETHANECHOL CHLORIDE 25MG TAB ",21.37,"2/5/2019"
"41203799","FAMCICLOVIR 500MG TAB         ",2.86,"2/5/2019"
"41203802","BUPIVACAINE 0.25% 50ML INJ    ",4.25,"2/5/2019"
"41203820","BISACODYL 10MG SUPP           ",9.36,"2/5/2019"
"41203830","BISACODYL 5MG EC TAB          ",9.36,"2/5/2019"
"41203861","DIGOXIN .25MG/5ML ELIXIR      ",32.69,"2/5/2019"
"41203880","BISMUTH SUBSALICYLATE CHEW TAB",8.93,"2/5/2019"
"41203900","BISMUTH SUBSALICYLATE SUSP 80Z",52.59,"2/5/2019"
"41203942","OXYCODONE 5MG TAB             ",22.78,"2/5/2019"
"41204015","TRAMADOL 50MG TAB             ",21.15,"2/5/2019"
"41204040","BROMOCRIPTINE 2.5MG TAB       ",31.87,"2/5/2019"
"41204063","METFORMIN 500MG TAB           ",21.15,"2/5/2019"
"41204120","BUMETANIDE 1MG/4ML 4ML        ",62.64,"2/5/2019"
"41204140","BUMETANIDE 1MG TAB            ",21.15,"2/5/2019"
"41204150","BUPIVACAINE 0.25% 10ML INJ    ",10.60,"2/5/2019"
"41204170","BUPIVACAINE 0.25% 30ML VIAL   ",145.59,"2/5/2019"
"41204210","BUPIVACAINE 0.5% 30ML INJ     ",237.90,"2/5/2019"
"41204220","BUPIVACAINE 0.5% 50ML INJ     ",205.67,"2/5/2019"
"41204240","BUPIVACAINE 0.75% 30ML INJ    ",141.64,"2/5/2019"
"41204260","BUPIVACAINE/EPI 0.25% 30ML    ",199.53,"2/5/2019"
"41204310","BUPIVACAINE/EPI 0.5 30ML VIAL ",212.07,"2/5/2019"
"41204316","ESTROGEN CONJ 0.625MG TAB     ",19.56,"2/5/2019"
"41204370","BUPROPION 75MG TAB            ",4.19,"2/5/2019"
"41204380","BUSPIRONE 10MG TAB            ",29.17,"2/5/2019"
"41204395","DESITIN OINTMENT 128GM        ",41.14,"2/5/2019"
"41204412","LAMOTRIGINE 100MG TAB         ",39.14,"2/5/2019"
"41204415","DIGOXIN 0.5MG/2ML AMP         ",133.03,"2/5/2019"
"41204460","BUTORPHANOL TARTRATE 1MG/ML   ",23.85,"2/5/2019"
"41204470","BUTORPHANOL 2MG/ML INJ        ",168.23,"2/5/2019"
"41204520","CALAMINE 120ML LOTION         ",71.74,"2/5/2019"
"41204546","METOPROLOL 25MG TAB           ",5.42,"2/5/2019"
"41204576","PAPAVERINE 30MG/ML 10ML       ",316.91,"2/5/2019"
"41204588","PROMETHAZINE/CODEINE 5ML      ",18.02,"2/5/2019"
"41204590","CALCITRIOL 0.25MCG CAP        ",24.61,"2/5/2019"
"41204603","RANITIDINE 15MG/ML 10ML SYRUP ",72.01,"2/5/2019"
"41204607","SINEMET CR 25-100 TAB SA      ",23.09,"2/5/2019"
"41204610","CALCIUM ACETATE 667MG TAB     ",18.31,"2/5/2019"
"41204653","GUAIFENESIN 600MG TAB         ",21.15,"2/5/2019"
"41204660","CALCIUM CARB 500MG CH TAB 2EA ",1.59,"2/5/2019"
"41204661","FIORICET TAB                  ",25.60,"2/5/2019"
"41204662","FLEET OIL RETENTION ENEMA     ",26.26,"2/5/2019"
"41204710","CALCIUM CARB 650MG TAB        ",1.37,"2/5/2019"
"41204800","CALCIUM CL 10% 10ML INJ       ",133.03,"2/5/2019"
"41204850","CALCIUM GLUCONATE 10% 10ML    ",133.03,"2/5/2019"
"41204880","CALCIUM GLUCONATE 500MG TAB   ",17.45,"2/5/2019"
"41204990","CAPTOPRIL 25MG TAB            ",14.92,"2/5/2019"
"41205100","CARBAMAZEPINE 100MG CHEW TAB  ",19.23,"2/5/2019"
"41205107","METOPROLOL 50MG TAB XL        ",17.24,"2/5/2019"
"41205110","CARBAMAZEPINE SUSPENSION 1ML  ",14.21,"2/5/2019"
"41205120","CARBAMAZEPINE 200MG TAB       ",24.25,"2/5/2019"
"41205160","CARBAMIDE PEROXIDE 6.5% DROPS ",42.02,"2/5/2019"
"41205230","SINEMET 10/100 TAB            ",18.31,"2/5/2019"
"41205240","SINEMET 25/100 TAB            ",21.15,"2/5/2019"
"41205250","SINEMET 25/250 TAB            ",20.35,"2/5/2019"
"41205279","MORPHINE SOLN 10MG/5ML 5ML    ",40.58,"2/5/2019"
"41205280","CARBOPROST 250MCG/ML          ",583.34,"2/5/2019"
"41205610","CEFAZOLIN 1GM INJ             ",274.68,"2/5/2019"
"41205650","CEFAZOLIN 500MG INJ           ",125.24,"2/5/2019"
