Code,Description,Price,,,
100948,Unlstproc Lungs And Pleura,"$2,539.00",,,
100949,Pericardiocentesis Initial,$405.00,,,
100950,Pericardiocentesis Subseq,$350.00,,,
100951,Pericardiotomy For Rem Of Clot,"$2,739.00",,,
100952,Creation Of Pericardial Window,"$2,608.00",,,
100953,Exc Of Intracardiac Tumor,"$5,239.00",,,
100954,Insert Epicard Eltrd Open,"$2,338.00",,,
100955,Ins Pacemaker Wtran Electvent,"$1,613.00",,,
100956,Ins Of Pacemaker Wtrans Atrial,"$1,722.00",,,
100957,Ins Or Replacement Of Tempora,$581.00,,,
100958,Ins Replac Of Pacemaker Dual,"$1,168.00",,,
100959,Reposition Transvenous Pacema,$865.00,,,
100960,Ins Transvenous Electrode Sing,"$1,111.00",,,
100961,Repair Lead Pace-Defib  One,"$1,093.00",,,
100962,Revise Pocket Pacemaker,$993.00,,,
100963,Revise Pocket Pacing-Defib,"$1,126.00",,,
100964,Insert Pacing Lead & Connect,"$1,341.00",,,
100965,L Ventric Pacing Lead Add-On,"$1,266.00",,,
100966,Reposition L Ventric Lead,"$1,259.00",,,
100967,Remove&Replace Pm Gen Singl,"$1,075.00",,,
100968,Remv&Replc Pm Gen Dual Lead,"$1,118.00",,,
100969,Removal Of Pacemaker System,$719.00,,,
100970,Removal Of Pacemaker System,"$1,367.00",,,
100971,Removal Pacemaker Electrode,"$1,655.00",,,
100972,Insert Pulse Generator,"$1,358.00",,,
100973,Subq Remov Singldual Defibrill,$679.00,,,
100974,Remove Eltrd/Thoracotomy,"$4,221.00",,,
100975,Remove Eltrd Transven,"$2,514.00",,,
100976,Eltrd/Insert Pace-Defib,"$2,835.00",,,
100977,Remv&Replc Cvd Gen Sing Lead,"$1,159.00",,,
100978,Remv&Replc Cvd Gen Dual Lead,"$1,201.00",,,
100207,Mastectomy Subq,"$1,575.00",,,
100208,Mastectomy Mod Rad,"$2,899.00",,,
100209,Bilat Rem Of Breast Implant,"$2,690.00",,,
100210,Removal Of Breast Implant,"$1,345.00",,,
100211,Inc Abscess Soft Tissue Deep,$762.00,,,
100212,Explor Penetrating wound Neck,"$1,787.00",,,
100213,Explore wound Chest,$947.00,,,
100214,Explore  Penetrating wound Abd,$998.00,,,
100215,wound Exploration Extremity,"$1,301.00",,,
100216,Deep Muscle Bx,$652.00,,,
100217,Bx Muscle Perc Needle,$391.00,,,
100218,Bone Bx Superf,$484.00,,,
100219,Bx Bone Needle Deep,$823.00,,,
100220,Bx Bone Open Superficial,$693.00,,,
100221,Bx Bone Open Deep,"$1,830.00",,,
100222,Removal FB Muscle Simpl,$447.00,,,
100223,Removal Of FB In Muscle O,"$1,109.00",,,
100224,Bilat Therapeutic Inj For Cts,$391.00,,,
100225,Therapeutic Inj For Cts,$196.00,,,
100226,Inj Dupuytren Cord W/Enzyme,$195.00,,,
100227,Bilat Inj Sgl Tendon Shth/Lig,$309.00,,,
100228,Inj Sgl Tendon Shth / Ligament,$155.00,,,
100229,Inj Single Tendon OriGIninse,$155.00,,,
100230,Trig Pt Inj 1Or2 Muscle Group,$145.00,,,
100231,Trig Pt Inj 3 Or  Muscle Group,$186.00,,,
100232,Drain/Inj Small Joint W/O Us,$143.00,,,
100233,Bilat Drain/Inj Joint W/Us,$348.00,,,
100234,Drain/Inj Joint/Bursa W/Us,$174.00,,,
100235,Inj Aspiration Intermediate J,$155.00,,,
100236,Inj Aspiration Major Joint,$196.00,,,
100237,Bilat Inj Aspiration Major Jnt,$391.00,,,
100238,Drain/Inj Joint/Bursa W/Us,$391.00,,,
100239,Aspiration Of Ganglion Cyst,$155.00,,,
100240,Insertion Wirepin Wappl,$477.00,,,
100241,Removal Of Implant Superf,$847.00,,,
100242,Removal Of Implant Deep,"$1,359.00",,,
100243,Application Pinswires Unilat,"$1,318.00",,,
100244,Applic Multiplane Fixation Uni,"$2,376.00",,,
100245,Adj Revision Ext Fix Dev W Ane,"$1,449.00",,,
100246,Removal Of Ext Fixation System,"$1,125.00",,,
100247,Removal Of Bone For Graft,"$1,138.00",,,
100248,Graft Bone Any Donor Site Lrg,"$1,565.00",,,
100249,Tendon Graft,"$1,388.00",,,
100250,Fluid Pressure Muscle,$504.00,,,
100251,Electrical Bone Stimulation,$707.00,,,
100252,Unlisted Tendon Graft Kn,"$1,786.00",,,
100253,Exc Face Les Sc < 2 cm,$843.00,,,
100254,Exc Face Les Sc >= 2 cm,$896.00,,,
100255,Exc Face Tum Deep >= 2 cm,"$1,373.00",,,
100256,Ear Cartilage Graft,"$1,936.00",,,
100257,Tx Of Nose Fx,$576.00,,,
100258,Tx Of Nose Fx,$782.00,,,
100259,Treat Nasal Septal Fx,"$1,629.00",,,
100260,Drain Neck/Chest Les,"$1,041.00",,,
100261,Bx Soft Tissue Of Neck Or Thor,$496.00,,,
100262,Exc Tumor Soft Tiss Neck 3cm>,"$1,477.00",,,
100263,Exc Neck Tum Deep 5cm >,"$2,377.00",,,
100264,Exc Neck Tum <3cm,"$1,031.00",,,
100265,Exc Neck Tum Deep <5cm,"$1,304.00",,,
100266,Partial Removal Of Sternum,"$1,917.00",,,
100267,Sternal Debride,"$2,010.00",,,
100268,Closure Of Median Sternotomy,"$2,539.00",,,
100269,Fx Tx Sternum Closed,$525.00,,,
100270,St Bx Back/Flank; Superf,$490.00,,,
100271,St Bx Back/Flank; Deep,"$1,212.00",,,
100272,Exc Tumor Tissue Of Back,"$1,165.00",,,
100273,Exc Back Les Sc 3 cm/>,"$1,531.00",,,
100274,Exc Back Tum Deep < 5 cm,"$2,136.00",,,
100275,Exc Back Tum Deep = 5 cm,"$2,361.00",,,
100276,Fx Tx Vertebral Process Clos,$622.00,,,
100277,Fx Vertebral Body Cl wo M,"$1,010.00",,,
100776,Apply Short Arm Cast,$220.00,,,
100777,Apply Long Arm Splint,$213.00,,,
100778,Apply Short Arm Splint,$159.00,,,
100779,Apply Forearm Splint,$167.00,,,
100780,Application Of Finger Splint,$102.00,,,
100781,Strapping Of Hand Or Finger,$98.00,,,
100782,Cast Leg Long Application,$358.00,,,
100783,Application Of Short Leg Cast,$250.00,,,
100784,Apply RiGId Leg Cast,$387.00,,,
100785,Bilat Apply RiGId Leg Cast,$775.00,,,
100786,Splint Long Leg Application,$205.00,,,
100787,Splint Short Leg,$171.00,,,
100788,Strapping Of Ankle And/Or Ft,$88.00,,,
100789,Bilat Strapping Unna Boot,$220.00,,,
100790,Strapping Unna Boot,$110.00,,,
100791,Arthroscopy Shldr Diagnostic,"$1,327.00",,,
100792,Shldr Arthroscopy/Surgery,"$2,924.00",,,
100793,Rep Shldr Slap Les,"$2,984.00",,,
100794,Arthroscopy Shldr Rem,"$1,909.00",,,
100795,Synovectomy Partial Shldr,"$2,119.00",,,
100796,Arthroscopy Shldr Debr,"$1,874.00",,,
100797,Arthr Shldr Debrid Exte,"$2,149.00",,,
100798,Shldr Mumford Proced,"$1,932.00",,,
100799,Arthroscopy Shldr,"$1,856.00",,,
100800,Arthroscopy Decom Subacro,"$2,404.00",,,
100801,Rotator Cuff Rep Arthroscopy,"$3,013.00",,,
100802,Biceps Tenodesis,"$2,324.00",,,
100803,Arthrelbow Rem Loose Bod,"$1,717.00",,,
100804,Arthroscopy Synovectomy P,"$1,709.00",,,
100805,Arthroscopy Debride,"$1,674.00",,,
100806,Elbow Arthroscopy/Surgery,"$2,093.00",,,
100807,Arthroscopy Wrist Synovec,"$1,529.00",,,
100808,Wrist Endoscopy/Surgery,"$1,649.00",,,
100809,Knee Arthroscopy/Surgery,"$3,025.00",,,
100810,Arthroscopically Tx Tib,"$2,213.00",,,
100811,Hip Arthroscopy/Surgery,"$2,754.00",,,
100812,Autgrft Implnt Knee W/Scope,"$2,763.00",,,
100813,Arthroscopy Diagnostic,"$1,227.00",,,
100814,Arthroscopy Knee Infection,"$1,680.00",,,
100815,Arthroscopy Knee Wlat Releas,"$1,826.00",,,
100816,Arthroscopy Knee Remov Of FB,"$1,881.00",,,
100817,Arthroscopy,"$1,983.00",,,
100818,Arthroscopy W Synovectomy,"$2,344.00",,,
100819,Arthroscopy Debride Shave,"$2,152.00",,,
100820,Abrasion Arthroplasty Mul,"$2,336.00",,,
100821,Arthroscopy Knee Wmenics,"$2,846.00",,,
100822,Arthroscopy W Meniscectom,"$2,417.00",,,
100823,Arthroscopy Knee Meniscus Rep,"$2,640.00",,,
100824,Arthros Wmeni Prepr Medl,"$2,573.00",,,
100825,Knee Arthroscopy/Surgery,"$1,987.00",,,
100826,Arthroscopy Drilling Graf,"$2,572.00",,,
100827,Arthroscopy Drilling Inta,"$2,259.00",,,
100828,Anterior Cruciate Lig Rep,"$3,826.00",,,
100829,Posterior Cruc Lig Repair,"$2,981.00",,,
100830,Arthroscopy Ankle,"$2,007.00",,,
100831,Arth Ankle Rem Loose Body,"$1,793.00",,,
100832,Synovectomy,"$1,723.00",,,
100833,Arthroscop Ankle Debride Limit,"$1,701.00",,,
100834,Arthroscopy Ext Debride,"$2,078.00",,,
100835,Subtalar Arthro W/Fusion,"$3,065.00",,,
100836,Hip Arthro W/Femoroplasty,"$3,292.00",,,
100837,Hip Arthro Acetabuloplasty,"$3,352.00",,,
100838,Hip Arthro W/Labral Repair,"$3,352.00",,,
100839,Unlisted Proc, Arthroscopy,"$1,437.00",,
100001,FNA wo ImaGIng,$304.00,,,
100002,FNA With ImaGIng,$332.00,,,
100003,Image Guided Drainage By Cath,"$1,780.00",,,
100004,Acne Surgery Cysts Pustulesetc,$208.00,,,
100005,I&D Abscess, Simpl,$222.00,,
100006,Id Of Abscess Cyst Complicated,$407.00,,,
100007,Id Pilonidal Cyst Simpl,$334.00,,,
100008,Id Pilonidal Cyst Complicated,$599.00,,,
100009,Removal FB, Subq; Simpl,$258.00,,
100010,Removal Of FB Subq Compl,$511.00,,,
100011,Id Hematoma Seroma Fluid Coll,$295.00,,,
100012,Punct Asp Abscess/Cyst,$239.00,,,
100013,Inc Drain Compl Post Op,$568.00,,,
100014,Debride Of Infected Skin,$133.00,,,
100015,Debride Skin Subq/Muscle,"$1,338.00",,,
100016,Debride Of Skin Muscle Sub,"$1,855.00",,,
100017,Debride Genit/Per/Abdom Wall,"$1,641.00",,,
100018,Remove Mesh From Abd Wall,$742.00,,,
100019,Debride wopen Fxdis Skin  S,$968.00,,,
100020,Debride Skin Musc At Fx Site,"$1,094.00",,,
100021,Deb Skin Bone At Fx Site,"$1,822.00",,,
100022,Debride Skin  Subq,$167.00,,,
100023,Debride Skin Subq Tis Muscle,$523.00,,,
100024,Debride Skin Subq/Muscle/Bone,$770.00,,,
100025,Deb Subq Tissue Add-On =<20cm2,$57.00,,,
100026,Deb Musc/Fascia Add-On=<20cm2,$100.00,,,
100027,Deb Bone Add-On=<20 Sq cm,$165.00,,,
100028,Paringcutting Single Les,$79.00,,,
100029,Paringcutting 2 To 4 <,$94.00,,,
100030,Bx Of Skin Soft Tissue,$198.00,,,
100031,Additional Bx Of Skin,$90.00,,,
100032,Rem Skin Tags; <=15 Lesions,$208.00,,,
100033,Removal Skin Tags Add On,$69.00,,,
100034,Shave Les T/A/L; 0.5cm/<,$165.00,,,
100035,Shave Les T/A/L; 0.6-1.0cm,$209.00,,,
100036,Shave Les T/A/L 1.1-2.0cm,$241.00,,,
100037,Shave Les T/A/L >2.0,$311.00,,,
100038,Shave Les S/N/H/F/G; 0.5cm/<,$155.00,,,
100039,Shave Les S/N/H/F/G 0.6-1.0cm,$203.00,,,
100040,Shave Les S/N/H/F/G 1.1-2.0cm,$230.00,,,
100041,Shave Les S/N/H/F/G >2.0cm,$288.00,,,
100042,Shave Les F/E/N/L; 0.5cm/<,$196.00,,,
100043,Shave Les F/E/N/L 0.6-1.0cm,$245.00,,,
100044,Shave Les F/E/N/L 1.1-2.0 cm,$271.00,,,
100045,Shave Les F/E/N/L >2.0cm,$359.00,,,
100046,Exc B9 Les 0.5 cm/<, T/A/L,$269.00,,
100047,Exc B9 Les 0.6-1.0cm T/A/L,$319.00,,,
100048,Exc B9 Les 1.1-2.0 cm T/A/L,$381.00,,,
100049,Exc B9 Les 2.1-3.0 cm T/A/L,$454.00,,,
100050,Exc B9 Les 3.1-4.0 cm T/A/L,$536.00,,,
100051,Exc B9 Les >4 cm T/A/L,$775.00,,,
100052,Exc B9 Les <0.5 cm S/N/H/F,$275.00,,,
100053,Exc B9 Les 0.6-1.0cm S/N/H/F,$352.00,,,
100054,Exc B9 Les 1.1-2.0cm S/N/H/F,$412.00,,,
100055,Exc B9 Les 2.1-3.0cm S/N/H/F,$504.00,,,
100056,Exc B9 Les 3.1-4.0cm S/N/H/F,$605.00,,,
100057,Exc B9 Les Over 4.0cm S/N/H/F,$885.00,,,
100058,Exc B9 Les <0.5cm F/E/N/L,$319.00,,,
100059,Exc B9 Les 0.6-1.0cm F/E/N/L,$391.00,,,
100060,Exc B9 Les 1.1-2.0cm F/E/N/L,$461.00,,,
100061,Exc B9 Les 2.1-3.0cm F/E/N/L,$563.00,,,
100062,Exc B9 Les 3.1-4.0cm F/E/N/L,$734.00,,,
100063,Exc B9 Les >4.0 cm F/E/N/L,$989.00,,,
100064,Bilat Exc Of Skin Sq Tissue,"$2,083.00",,,
100065,Exc Of Skin Sq Tissue,"$1,041.00",,,
100066,Removal, Sweat Gland Les,"$1,019.00",,
100067,Exc Malign Les <0.5cm T/A/L,$470.00,,,
100068,Exc Malig Les 0.6-1.0cm T/A/L,$569.00,,,
100069,Exc Malig Les 1.1-2.0cm T/A/L,$621.00,,,
100070,Exc Malig Les 2.1-3.0cm T/A/L,$703.00,,,
100848,Removal Of FB Nose,$483.00,,,
100849,Remove Nasal FB,$607.00,,,
100850,Septoplasty,"$2,229.00",,,
100851,Lysis Intranasal Synechia,$533.00,,,
100852,Cauterization, Inner Nose,$493.00,,
100853,Cauterization, Inner Nose,$639.00,,
100854,Bilat Cauteriz, Inner Nose,"$1,277.00",,
100855,Simpl Cautery Of Nasal Hemorr,$264.00,,,
100856,Control Nosebleed, Ant,Int,$410.00,
100857,Contol Nosebleed, Post,Int,$588.00,
100858,Ligation, Nasal Sinus Artery,"$1,799.00",,
100859,Therapy Fx Of Nose,$378.00,,,
100860,Bilat Therapy Fx Of Nose,$756.00,,,
100861,Nasal Surgery Procedure,$607.00,,,
100862,Nasal Endoscopy, Diagnostic,$348.00,,
100863,Bilat Nasal/Sinus Endos w Bx,"$1,250.00",,,
100864,Nasal/Sinus Endo W/ Bx, Polyp,$625.00,,
100865,Nasal Endo W Bld Cntrl,$681.00,,,
100866,Nasal/Sinus Endoscopy, Surg,$641.00,,
100867,Bilat Rev Of Ethmoid Sinus,"$2,091.00",,,
100868,Revision Of Ethmoid Sinus,"$1,045.00",,,
100869,Bilat Rem Of Ethmoid Sinus,"$3,539.00",,,
100870,Removal Of Ethmoid Sinus,"$1,770.00",,,
100871,Exploration Maxillary Sinus,$861.00,,,
100872,Bilat Endo, Maxillary Sinus,"$2,762.00",,
100873,Endoscopy, Maxillary Sinus,"$1,381.00",,
100874,Sinus Endoscopy, SurGIcal,"$1,587.00",,
100875,Nasal/Sinus Endoscopy, Surg,"$1,071.00",,
100876,Bilat Nasal/Sinus Endo Surg,"$2,412.00",,,
100877,Nasal/Sinus Endoscopy Surg,"$1,206.00",,,
100878,Sinus Endo W/Balloon Dil,"$3,708.00",,,
100879,Sinus Endo W/Balloon Dil,"$6,338.00",,,
100880,Sinus Endo W/Balloon Dil,"$6,262.00",,,
100881,Sinus Surgery Procedure,$607.00,,,
100882,Intubation,$414.00,,,
100883,Trach Tube Change Prior To,$167.00,,,
100884,Diagnostic Laryngoscopy,$197.00,,,
100885,Laryngoscopy For Asp,$617.00,,,
100886,Diagnostic Laryngoscopy,$646.00,,,
100887,Operative Laryngoscopy,$854.00,,,
100888,Operative Laryngoscopy,$851.00,,,
100889,Operative Laryngoscopy,"$1,071.00",,,
100890,Operative Laryngoscopy,"$1,060.00",,,
100891,Operative Laryngoscopy,"$1,319.00",,,
100892,Diagnostic Laryngoscopy,$349.00,,,
100893,Laryngoscopy With Bx,$539.00,,,
100894,Tracheostomy Planned,"$1,279.00",,,
100895,Trach Emerg Proc Transtrach,$916.00,,,
100896,Repair Windpipe Opening,"$1,136.00",,,
100897,Trachbronchos Thru Est Trach,$599.00,,,
100898,Bronchoscopy Diagnostic,$767.00,,,
100899,Bronchoscopy W Brushing,$726.00,,,
100900,Bilat Bronch W Bronchial Alveo,"$1,506.00",,,
100901,Bronch W Bronchial Alveo,$753.00,,,
100902,Bronchoscopy W Bronchial Bx,$802.00,,,
100903,Bronch W Transbronchial Bx,$939.00,,,
100904,Bronch W Transbronchial Need,"$1,143.00",,,
100905,BronchoscopriGId Or Flex Each,$218.00,,,
100906,Bronch W/FB Removal,$907.00,,,
100907,Bronch W Therapeutic Aspirat,$709.00,,,
100908,Bronch W Therapeutic Aspirat,$709.00,,,
100909,Airways SurGIcal Procedure,"$2,783.00",,,
100071,Exc Malig Les 3.1-4.0cm T/A/L,$729.00,,,
100072,Exc Malig Les >4.0cm T/A/L,"$1,026.00",,,
100073,Exc Malig Les <0.5 cm S/N/H/F,$478.00,,,
100074,Exc Malig Les0.6-1.0cmS/N/H/F,$575.00,,,
100075,Exc Malig Les1.1-2.0cmS/N/H/F,$641.00,,,
100076,Exc Malig Les2.1-3.0cmS/N/H/F,$708.00,,,
100077,Exc Malig Les >4.0cm S/N/H/F,"$1,205.00",,,
100078,Exc Malig Les <0.5cm F/E/N/L,$475.00,,,
100079,Exc Malig Les0.6-1.0cmF/E/N/L,$590.00,,,
100080,Exc Malig Les1.1-2.0cm F/E/N/L,$683.00,,,
100081,Exc Malig Les2.1-3.0cm F/E/N/L,$872.00,,,
100082,Exc Malig Les3.1-4.0cm F/E/N/L,"$1,119.00",,,
100083,Exc Malig Les >4.0cm F/E/N/L,"$1,483.00",,,
100084,Nail Trimming,$29.00,,,
100085,Debride Nails 1 - 5,$41.00,,,
100086,Debride Nails 6 Or More,$59.00,,,
100087,Avulsion Nail/Plate, Simpl,$103.00,,
100088,Removal Of Nail Plate Addon,$65.00,,,
100089,Drain Blood Nail; Subungual,$100.00,,,
100090,Remove Nailmatrix Part Or Comp,$330.00,,,
100091,Remove Nail Bed/Tip,$518.00,,,
100092,Repair Of Nail Bed,$435.00,,,
100093,Exc Wedge Nail Fold Ingrown,$228.00,,,
100094,Exc Of Pilonidal Cyst;Simpl,$587.00,,,
100095,Exc Of Pilonidal Cyst;  Extens,"$1,055.00",,,
100096,Inj Into Skin < =<7,$113.00,,,
100097,Removal Of Contraceptive Caps,$347.00,,,
100098,Removal Of Contraceptive Caps,$347.00,,,
100099,Subq Hormone Pellet Impl,$280.00,,,
100100,Insert Drug Implant Device,$352.00,,,
100101,Remove Drug Implant Device,$381.00,,,
100102,Remove/Insert Drug Implant,$610.00,,,
100103,Repair Simpl T/L/A < 2.5cm,$316.00,,,
100104,Repair Simpl T/L/A 2.6 - 7.5cm,$365.00,,,
100105,Repair Simpl T/L/A 7.6-12.5cm,$438.00,,,
100106,Repair Simpl T/L/A 12.6-20 cm,$518.00,,,
100107,Repair Simpl F/E/N/L <2.5 cm,$365.00,,,
100108,Repair Simpl F/E/N/L 2.6-5.0cm,$409.00,,,
100109,Repair Simpl F/E/N/L12.60-20cm,$707.00,,,
100110,Repair wound Dehiscence Simpl,$452.00,,,
100111,Repair Intmd T/L/A < 2.Ocm,$509.00,,,
100112,Repair Intmd T/L/A 2.6-7.5cm,$641.00,,,
100113,Repair Intmd T/L/A 7.6-2.5cm,$652.00,,,
100114,Repair Intmd T/L/A 12.6-20cm,$917.00,,,
100115,Repair Intmd T/L/A 20.1-30.0cm,"$1,115.00",,,
100116,Repair Intmd T/L/A > 30.0cm,"$1,215.00",,,
100117,Repair Intmd N/H/F < 2.5cm,$489.00,,,
100118,Repair Intmd N/H/F 2.6-7.5cm,$661.00,,,
100119,Repair Intmd N/H/F 7.6-12.5cm,$773.00,,,
100120,Repair Intmd N/H/F 12.6-20.0cm,$891.00,,,
100121,Repair Intmd F/E/N/L <2.5 cm,$561.00,,,
100122,Repair Intmd F/E/N/L 2.6-5.0cm,$642.00,,,
100123,Repair Int F/E/N/L 12.60-20 cm,$727.00,,,
100124,Repair Comp T/L/A 1.1-2.5cm,$688.00,,,
100125,Repair Comp T/L/A 2.6-7.5cm,$857.00,,,
100126,Repair Comp Each Add 5cm,$277.00,,,
100127,Repair Comp S/Ext 1.1-2.5cm,$670.00,,,
100128,Repair Comp S/Ext 2.6-7.5cm,$976.00,,,
100129,Repair Comp Each Add 5cm,$320.00,,,
100130,Repair Comp Face 1.1-2.5cm,$774.00,,,
100131,Repair Comp Face 2.6-7.5cm,"$1,290.00",,,
100132,Repair Comp Each Add 5cm,$412.00,,,
100133,Repair Comp E/N/L 1.1-2.5cm,$891.00,,,
100134,Repair Comp E/N/L 2.6-7.5cm,"$1,220.00",,,
100135,2Nd Closure Surg wound Comp,"$2,070.00",,,
100136,Skin Tissue Rearrange Trunk,"$1,309.00",,,
100137,Skin Tissue Rearrange A/L/S,"$1,321.00",,,
100632,Repair Torn Rupt Ligament,"$2,231.00",,,
100633,Total Ankle Replacement,"$3,953.00",,,
100634,Osteotomy Tibia,"$2,605.00",,,
100635,Osteotomy Fibula,"$1,296.00",,,
100636,Repair Malunion Tibia,"$2,958.00",,,
100637,Repair Wiliac Other Auto,"$4,094.00",,,
100638,Repair Fibula Nonunion,"$2,581.00",,,
100639,Fx Tibial Shaft Cl wo Ma,$982.00,,,
100640,Fx Care Of Tibia W Manipulat,"$1,488.00",,,
100641,Fx Open Tx Tib Shaft Int,"$2,012.00",,,
100642,Fx Tib Shaft Compl Winte,"$2,797.00",,,
100643,Fx Tibial Shaft Open Intramed,"$3,169.00",,,
100644,Fx Tx Closed wo Man,$803.00,,,
100645,Fx Distal Tibia Closed W,"$1,215.00",,,
100646,Fx Med Mallelous Open Wwo Int,"$1,915.00",,,
100647,Fx Tx Post Malleolus wout,$730.00,,,
