Description,Charge
Acetaminophen 325mg/10.15 mL L UD,$0.00
Acetaminophen 500mg Tab,$0.00
Acetaminophen 650mg Sup(Tylenol),$0.00
Acetaminophen 650mg/20.3mL L UD,$0.00
Acetaminophen Infant 80mg Supp,$0.00
Acetaminophen Level,$182.00
Acetate,$0.00
AcetaZOLAMIDE 250mg T(Diamox),$20.40
acetaZOLAMIDE 500mg I,$386.50
Acet-Cod 120-12mg/5mL L UD,$25.00
Acet-Cod 24-2.4/mL L(Tylenol w/Cod),$25.00
Acet-Cod 300-30mg T(Tylenol #3),$25.00
Acet-HYDROcodone 108-2.5mg/5mL Liq UD,$56.65
Acet-HYDROcodone 217-5mg/10mL Liq UD,$64.15
Acet-HYDROcodone 325/5mg T UD(Norco),$25.00
Acet-HYDROcodone 325-7.5mg/15mL L UD,$39.00
Acet-HYDROcodone 325mg/10mg T UD,$25.00
Acetic Acid 0.25% 1L Irr,$39.00
Acetic Acid 3% TS 30mL,$30.15
Acetic Acid 5% TS 30mL,$31.50
Acetone Serum,$93.00
Acet-OxyCODONE 325/5mg T(Percocet),$25.00
Acetylcholine 2mL OI(Miocho-El),$640.40
Acetylcholine Binding Ag,$119.00
Acetylcholine Rec Ab Modulating,$127.00
"Acetylcysteine 2,000mg/10mLOralSoln",$103.25
Acetylcysteine 6000mg/ 30mL I,"$1,656.40"
Acetylcysteine 800mg/4mL Neb Soln,$0.00
Ach Receptor Modulating Ab Serum,$146.00
Achr Ganglionic Neuronal Ab,$155.00
Acid Fast Bacilli Culture,$194.00
Acl Tightrope,"$1,840.00"
Acl Tightrope,"$2,240.00"
Activated Clotting Time,$62.00
Activated Protein C Resistance,$129.00
Acute Ac Repair System,"$4,725.00"
Acyclovir 200mg C(Zovirax),$20.65
Acyclovir 40mg/mL Susp(Zovirax),$33.30
Acyclovir 5% 5g TO(Zovirax),$873.30
Acyclovir 50mg/mL Inj 10mL,$128.00
Acyclovir 50mg/mL Inj 20mL,$238.00
Acyclovir 7mg/mL IV NICU,$376.00
Adalimumab 40mg/0.8mL x 4 Doses Starter Kit,$0.00
Adamts13 Activity,$207.00
Adamts13 Antibody,$351.00
Adamts13 Inhibitor,$234.00
Adapter,"$1,340.00"
Adapter,"$18,137.50"
Adapter,"$3,251.50"
Adapter,"$4,591.30"
Adapter,"$4,287.50"
Add Lt Ventr Lead To Existng Pm,"$20,940.00"
Additional Ihc Antibody Stain,$300.00
Additional Karyotypes Csi,$158.00
Additional Level,$798.00
Addtl 2Nd Order Above Diaghram,"$3,235.00"
Addtl 2Nd Order Below Diaghram,"$3,235.00"
Addtl Ablation Of Lt Or Rt Atrium,"$10,470.00"
Adductor Cancal Block,"$1,725.00"
Adenosine 6mg/2mL I(Adenocard),$38.30
Adenosine Mdv I,$261.75
Administration Of Flu Vaccine,$106.00
Administration Of Hep B Vaccine,$106.00
Administration Of Pneumo Vaccine,$106.00
Administration Of Vaccine,$106.00
Ado-Trastuzumab Emtansine Inj,"$33,104.15"
Adrenocorticotrophic,$112.00
Afb Stain Only,$93.00
Afp Total And L3 Percent,$172.00
Alanine Aminotransferase,$59.00
albendazole 200 mg T (Albenza),"$1,399.50"
Albumin 25% 50mL I,$668.00
Albumin 5% 250mL I,$497.05
Albumin Csf,$27.00
Albumin Level,$63.00
Albumin Level Body Fluid,$67.00
Albuterol  90 mcg/Inh,$171.60
Albuterol 0.4mg/mL Oral Liq,$10.00
Albuterol 1.25mg For Resp Tx,$0.00
Albuterol 2.5mg For Resp Tx,$0.00
Albuterol 2mg T(Proventil),$41.60
Albuterol 2mg/5mL Oral Liq UD,$10.00
Albuterol 4mg ER T(Vospire),$12.65
Albuterol 4mg T(Proventil),$41.60
Albut-Ipratrop 2.5-0.5mg/3mL UD,$0.00
Alcohol (Dehydrated) 5g/5mL I,$538.85
Alcohol L,$0.00
Alcohol L,$0.00
Aldolase,$126.00
Aldosterone,$130.00
Aldosterone 24 Hour,$130.00
Alfentanil 1mg/2mL inj,$84.15
Alfuzosin 10 mg ER Tab,$29.85
Aliskiren 150mg T(Tekturna),$50.95
Alk Phose Isoenzymes,$33.00
Alkaline Phosphatase,$110.00
Alkaline Phosphatase,$93.00
Allergen Environmental,$11.00
Allergen Food Alpha Gal Ige,$130.00
Allergen Food Ige,$17.00
Allergen Peanut Components Ige,$57.00
Allergen Qualitative,$16.00
Allergen Specific Ige,$38.00
Allergens Food Fish,$18.00
Allergens Food Igg,$26.00
Allergens Ige,$8.00
Allergy Evaluation,$8.00
Alloderm 1Cc For 2Cc,$860.00
Alloderm 1Cm For 16X20Cm,$93.37
Alloderm 1Cm For 16X20Cm,$95.53
Alloderm 1Cm For 16X20Cm,$97.52
Alloderm 1Cm For 2X4Cm,$177.00
Alloderm 1Cm For 4X12Cm,$122.35
Alloderm 1Cm For 4X12Cm,$72.70
Alloderm 1Cm For 4X12Cm,$117.91
Alloderm 1Cm For 4X12Cm,$29.39
Alloderm 1Cm For 4X16Cm,$125.91
Alloderm 1Cm For 6X12Cm,$122.00
Alloderm 1Cm For 6X16Cm,$119.34
Alloderm 1Cm For 8X16Cm,$113.46
Alloderm 1Cm For 9.6X19.3Cm,$83.04
Alloderm 1Cm For 9.6X19.3Cm,$81.32
Allograft,"$2,612.80"
Allograft,"$4,287.50"
Allograft,"$32,568.75"
Allograft,"$25,750.00"
Allograft,"$4,946.10"
Allograft,"$5,516.00"
Allograft,"$1,440.00"
Allograft,"$2,080.00"
Allograft,"$3,200.00"
Allograft Plug,"$4,946.10"
Allopurinol 100mg T(Zyloprim),$10.00
Allopurinol 300mg T(Zyloprim),$10.00
Alpha 1 Antitrypsiin Serpina 1,$206.00
Alpha 1 Antitrypsin,$117.00
Alpha 1 Antitrypsin Phenotype,$57.00
Alpha 1 Antitrypsin Total,$63.00
Alpha 1-Proteinase Inhibitor Human 10mg I,$50.00
Alpha Fetoprotein Amino Fluid,$433.00
Alpha Fetoprotein Male Nonpreg,$121.00
Alpha Gal Food Panel,$42.00
ALPRAZolam 0.25mg T(Xanax),$25.00
ALPRAZolam 0.5mg T(Xanax),$25.00
ALPRAZolam 1mg T(Xanax),$25.00
Alprostadil 500mcg/mL I(Prostin VR),$500.00
Alteplase 0.5mg/1mL Inj Syr,$385.60
Alteplase 100mg I,"$63,867.30"
Alteplase 2mg/2mL I(Cathflo),"$1,159.70"
Alteplase 50mg I,"$29,983.50"
Alteplase Bolus Syringe,"$4,529.40"
Aluminum,$121.00
Aluminum Magn Simeth 15Ml,$0.00
Aluminum OH 1920mg/30mL L,$0.00
Aluminum OH-Magnesium Trisil Chew,$0.00
Aluminum-Magnesium-Simeth L 30mL UD,$0.00
Alvimopan 12mg Cap,"$1,102.30"
Amantadine 100mg C(Symmetrel),$14.30
Amantadine 100mg/10mL Oral Liq UD,$18.20
Amantadine 10mg/mL Oral Liq,$10.00
Amantadine 50mg/5mL Oral Liq UD,$10.00
Ameritox,$0.00
Amikacin,$119.00
Amikacin 500mg/2mL I,$107.95
aMILoride 5mg T(Midamor),$10.00
Amino Acid Quant Blood,$203.00
Amino Acids (for TPN/PPN),$57.00
Amino Acids 5% /Dextrose 15%+Lytes,$147.65
Aminocaproic 500mg T(AMicAR),$175.05
Aminocaproic 5g/20mL I,$55.10
Aminophylline 250mg/10mL Inj,$104.55
Aminophylline 500mg/20mL I,$58.85
Amiodarone 100 mg T(Cordarone),$52.60
Amiodarone 150mg IVPB Bolus,$346.00
Amiodarone 150mg/3mL I,$50.00
Amiodarone 200mg T(Cordarone),$10.00
Amiodarone 360mg/D5W 200mL,$455.25
Amiodarone 450mg/9mL Inj,$100.00
Amitriptyline 100mg T(Elavil),$18.00
Amitriptyline 10mg T(Elavil),$10.00
Amitriptyline 25mg T(Elavil),$10.00
Amitriptyline 50mg T(Elavil),$10.00
Amitriptyline 75mg T(Elavil),$13.50
Amitriptyline And Nortriptyline,$115.00
amLODIPIine 10mg T (Norvasc),$16.90
amLODIPine 2.5mg T (Norvasc),$12.25
amLODIPine 5mg T(Norvasc),$12.65
Ammonia Level,$154.00
Ammonium Lactate 12% Lotion,$129.15
Amniocentesis,$863.00
Amniomatrix 1Cm For 2X12Cm,$177.77
Amox-Clav 125mg/2.5mL L,$15.30
Amox-Clav 250mg/5mL L(Augmen,$51.35
Amox-Clav 400mg-57mg/5 mL L,$24.90
Amox-Clav 500mg T(Augmentin),$26.80
Amox-Clav 600-42.9mg/5mL L,$24.45
Amox-Clav 875mg T(Augmentin),$35.75
Amoxicillin 125mg/2.5mL L,$10.00
Amoxicillin 250mg C,$10.00
Amoxicillin 250mg/5mL L,$10.00
Amoxicillin 500mg C,$10.00
Amoxicillin-Clav 1000 mg ER T(Augmentin XR),$49.40
Amphet.-Dextroamphetamine 5 mg T,$25.00
Amphetamine Drug Screening,$43.00
Amphetamines Quant Urine,$62.00
Amphet-Dextroamphetamine 15 mg T,$25.00
Amphet-Dextroamphetamine 20mg T,$25.00
Amphiphysin Antibody,$190.00
Amphiphysin Wblot,$270.00
Amphotericin B 50mg/10mL I,$355.00
Amphotericin B LIPO 1mg/mL IV NICU,"$1,778.50"
Amphotericin B LIPO 50mg I,"$1,684.65"
Ampicillin 100mg/mL IV Syr - NICU,$50.00
Ampicillin 125mg I,$27.75
Ampicillin 1g I,$69.10
Ampicillin 250 mg I,$25.00
Ampicillin 250mg/mL IM NICU,$53.20
Ampicillin 2g I,$134.00
Ampicillin 500mg I,$50.00
Ampicillin 500mg/2mL IM NICU,$53.20
Ampicillin-Sulbactam 1.5g I,$50.00
Ampicillin-Sulbactam 3g I,$116.80
Amputation Full Toe Lt,"$1,500.00"
Amputation Full Toe Rt,"$1,500.00"
Amputation Partial Toe Lt,"$1,500.00"
Amputation Partial Toe Rt,"$1,500.00"
Amylase Blood,$131.00
Amylase Iso,$63.00
Amylase Isoenzymes,$63.00
Amylase Random Urine,$131.00
Amylase-Lipase-Protea Cap,$12.40
An Abd Aortogram,"$5,392.00"
An Ablation Bone Tumor,"$4,642.00"
An Ablation Liver Tumor S,"$4,642.00"
An Ablation Renal Tumor S Bilat,"$6,568.00"
An Ablation Renal Tumor S Unilat,"$5,435.00"
An Abscess Drainage,"$1,925.00"
An Abscess Tube Change W Fluoro,$906.00
An Abscess Tube Check W Fluoro,$906.00
An Angio Personnel,$0.00
An Angiogram W Angioplasty,"$5,662.00"
An Aortogram W Runoff,"$5,392.00"
An Aspiration,"$1,246.00"
An Axillary Biopsy Lt,"$1,925.00"
An Axillary Biopsy Rt,"$1,925.00"
An Balloon C,$810.00
An Balloon I 11G X 10Mm,"$4,962.23"
An Balloon I 11G X 15Mm,"$4,962.23"
An Biliary Biopsy,"$4,755.00"
An Biliary Cath Placement W Us,"$1,925.00"
An Biliary Catheter Exchange,"$3,283.00"
An Biliary Catheter Placement,"$3,283.00"
An Biliary Dilitation,"$1,078.00"
An Biliary Drain Removal,"$1,618.00"
An Biliary Stent Placement,"$10,784.00"
An Biliary Stone Removal,"$4,348.00"
An Biliary Tube Check,"$2,265.00"
An Biopsy Abdominal Mass,"$1,925.00"
An Biopsy And Aspiration,"$4,417.00"
An Biopsy Bone,"$1,925.00"
An Biopsy Bone Marrow,"$3,171.00"
An Biopsy Liver,"$1,925.00"
An Biopsy Lung,"$1,925.00"
An Biopsy Other,"$3,000.00"
An Biopsy Pancreas,"$1,925.00"
An Biopsy Renal,"$2,718.00"
An Biopsy Renal Mass,"$1,925.00"
An Biopsy Thyroid,"$1,925.00"
An Brush Cytology,$0.00
An Carotid Arteriogram,"$6,930.00"
An Cath Ex Throm,"$4,076.00"
An Catheter 100Cm,$89.25
An Catheter 13.5M,$420.80
An Catheter 14.5P,"$1,698.32"
An Catheter 65 Sf,$89.25
An Catheter Ptm,$0.00
An Catheter R,"$1,627.04"
An Catheter Rk,"$1,593.12"
An Catheter Suprapubic,$84.65
An Catheter Tl,$481.27
An Cecostomy Tube Exchange,"$6,489.00"
An Central Line Placement,"$1,925.00"
An Cerebral Arteriogram,"$6,251.00"
An Cervico Cephalic Arteriogram,"$7,473.00"
An Chest Tube Placement,"$1,925.00"
An Chest Tube Placement W Thora,"$2,446.00"
An Cholecyst Tube Placement,"$1,925.00"
An Cyst Aspiration,"$1,246.00"
An Denver Drain Peritoneal,"$3,662.00"
An Denver Drain Placement Pleural,"$4,885.00"
An Dialysis Cath Placement Perm,"$4,348.00"
An Dialysis Cath Placement Temp,"$3,398.00"
An Drain 7-10S,$471.72
An Drain Apd 6-22,$475.00
An Drain Biliary 8To14,$476.19
An Drain Catheter Exchange,"$2,853.00"
An Drain Catheter Removal,"$2,174.00"
An Drain Peritoneal,"$2,634.52"
An Drain Placement,"$1,925.00"
An Drain Pleural,"$2,634.52"
An Drainage Yc,$126.63
An Embo Coil E,$0.00
An Embo Coil H,$0.00
An Embo Coil N,$0.00
An Embo Particles,$0.00
An Existing Catheter Arteriogram,"$1,828.00"
An Extremity Bilat Arteriogram,"$4,552.00"
An Extremity Lt Arteriogram,"$3,465.00"
An Extremity Rt Arteriogram,"$3,465.00"
An Extremity Venogram Bilateral,"$1,766.00"
An Extremity Venogram Lt,"$1,359.00"
An Extremity Venogram Rt,"$1,359.00"
An Filter C,"$5,075.00"
An Filter Gt,"$4,646.25"
An Filter O,"$4,515.00"
An Filter T,"$3,920.00"
An Foreign Body Retrieval,"$4,687.00"
An Gastro Tube Exchange,"$1,925.00"
An Gastro Tube To Gj Conversion,"$3,057.00"
An Guidewire 014 T,"$1,313.60"
An Guidewire 018 X 150 G,$350.31
An Guidewire 018 X 260 G,$446.50
An Guidewire 018 X 60 N,$372.08
An Guidewire 035 X 145 B,$119.44
An Guidewire 035 X 150 G,$181.65
An Guidewire 035 X 150 Gss,$309.46
An Guidewire 035 X 180 A,$190.58
An Guidewire 035 X 180 M,$193.88
An Guidewire 035 X 260 A,$289.75
An Guidewire 035 X 260 G,$305.90
An Guidewire 035 X 260 Gss,$331.79
An Guidewire 035 X 80 3J,$88.10
An Guidewire 035 X 80 A,$145.37
An Guidewire 035 X 80 B,$132.46
An Guidewire 038 X 145 B,$145.69
An Guidewire 038 X 150 G,$234.68
An Guidewire 038 X 150 Gss,$309.46
An Guidewire 15 J,$107.00
An Guidewire 3 J,$107.00
An Guidewire Bmw,$475.00
An Guidewire Css,$203.18
An Guidewire Glide 035 X 80 G,$188.48
An Guidewire Glide 035 X 80 Ss,$188.48
An Guidewire Gtda,$909.00
An Guidewire Pp,$456.00
An Hepatic Venogram,"$3,533.00"
An Ileo Femoral Arteriogram,"$3,465.00"
An Imaging Catheter 5B,$0.00
An Imaging Catheter 5C,$0.00
An Imaging Catheter 5C1,$0.00
An Imaging Catheter 5C2,$0.00
An Imaging Catheter 5H1,$0.00
An Imaging Catheter 5Hg,$0.00
An Imaging Catheter 5J1,$0.00
An Imaging Catheter 5J2,$0.00
An Imaging Catheter 5K,$0.00
An Imaging Catheter 5O,$0.00
An Imaging Catheter 5P,$0.00
An Imaging Catheter 5Rc2,$0.00
An Imaging Catheter 5Ruc,$0.00
An Imaging Catheter 5S3,$0.00
An Imaging Catheter 5Sg,$0.00
An Imaging Catheter 6G,$120.75
An Imaging Catheter Rdc,$0.00
An Imaging Catheter S,$0.00
An Inferior Vena Cava Venogram,"$5,435.00"
An Infusion Catheter U,$922.50
An Introducer A,$544.59
An Introducer D,$456.00
An Introducer L,$319.68
An Introducer Met,$170.63
An Introducer Ms,$223.60
An Ivc Filter Placement,"$5,888.00"
An Ivc Filter Removal,"$6,183.00"
An J Tube Exchange,"$4,188.00"
An Jugular Venogram,"$1,181.00"
An Kyphoplasty,"$10,784.00"
An Kyphoplasty Each Additional,"$8,627.00"
An Mammo Catheter,"$10,500.00"
An Mammosite Cath Placement,"$7,927.00"
An Mesenteric Arteriogram,"$5,209.00"
An Nephro Tube Placement W Us,"$1,925.00"
An Nephrostogram,"$3,283.00"
An Nephrostomy Tube Check,"$2,604.00"
An Nephrostomy Tube Exchange,"$3,283.00"
An Nephrostomy Tube Placement,"$3,283.00"
An Percutaneous Cholangiogram,"$2,604.00"
An Picc 5Fdl,$715.50
An Picc 6F Tl,$945.00
An Picc Line Placement,"$2,157.00"
An Picc Line Replacement,"$2,157.00"
An Picc Line Reposition,"$2,157.00"
An Port 6 Fs,"$1,600.00"
An Port 8 F,"$1,600.00"
An Port A Cath Insertion,"$2,989.00"
An Port A Cath Removal,"$1,925.00"
An Pulmonary Arteriogram Bilat,"$5,435.00"
An Pulmonary Arteriogram Unilat,"$5,435.00"
An Renal Bilat Arteriogram,"$6,183.00"
An Renal Unilat Arteriogram,"$4,824.00"
An Renal Vein Renin Study,"$2,378.00"
An Retrieval Device Filter,"$1,720.00"
An Retrieval Device Snare E,"$1,720.00"
An Retrieval Device Snare G,"$1,764.00"
An Rf Ablation Pulmonary,"$7,394.00"
An Rfa Electrode 2.0,$0.00
An Rfa Electrode 3.0,$0.00
An Rfa Electrode 3.5,$0.00
An Rfa Electrode 4.0,$0.00
An Rfa Electrode S,$0.00
An Rfa Introducer Set,$0.00
An Sacroplasty,"$10,784.00"
An Sheath 10 Curved,$513.00
An Sheath 10 Straight,$434.63
An Sheath 11 Cm Bt,$128.63
An Sheath 11 Pa,$124.43
An Sheath 23 Cm Bt,$157.50
An Sheath 30 Pa,$350.55
An Sheath 35 Cm Bt,$157.50
An Sheath 6-8 B,$415.63
An Sheath 9 Curved,$513.00
An Shuntogram,"$2,718.00"
An Stent Neph 8F,$599.63
An Stent Ureteral B,$665.42
An Stent W,"$4,462.50"
An Stent Wf,"$9,024.00"
An Thoracic Arteriogram,"$3,465.00"
An Thrombolysis Follow Up,"$4,076.00"
An Thrombolysis W Angiogram,"$2,831.00"
An Thrombolysis W Cath Removal,"$4,076.00"
An Thrombolysis W Venogram,"$5,662.00"
An Tips Follow Up,"$2,095.00"
An Tips Procedure,"$4,872.00"
An Transjugular 100,"$2,436.80"
An Transjugular 100 & 200,"$2,008.00"
An Transjugular Liver Biopsy,"$1,925.00"
An Tube Check,$906.00
An Tunneled Cath Replacement,"$1,925.00"
An Tunneled Catheter Removal,"$1,925.00"
An Ureteral Catheter Dl,$223.13
An Ureteral Catheter Tt,$89.78
An Ureteral Stent Placement,"$5,435.00"
An Uterine Fibroid Embolization,"$11,323.00"
An Vascular Line Check,$906.00
An Vascular Stent Placement,"$4,892.00"
An Venogram,"$1,133.00"
An Vertebral Arteriogram,"$5,435.00"
An Vertebroplasty Each Addl Level,"$8,627.00"
An Vertebroplasty Lumbar,"$10,784.00"
An Vertebroplasty Thoracic,"$10,784.00"
Ana Reflex Bill,$122.00
Ana Screen,$123.00
Anagrelide 0.5mg C(Agrylin),$79.05
Anastrozole 1 mg T(Arimidex),$94.20
Anca C And P By Ifa,$123.00
Anca Titer Bill,$49.00
Anchor,"$2,040.00"
Anchor,"$1,880.00"
Anchor,"$2,476.00"
Anchor,"$2,768.00"
Anchor,"$1,740.00"
Anchor,"$1,941.76"
Anchor,"$2,320.00"
Anchor,"$1,280.00"
Anchor,"$1,360.00"
Anchor,"$1,504.96"
Anchor,"$1,821.12"
Anchor,"$1,804.48"
Anchor,"$1,480.00"
Anchor,"$2,432.00"
Anchor,"$2,260.00"
Anchor,"$1,940.00"
Anchor,"$2,094.08"
Anchor,"$1,820.00"
Anchor,"$2,304.00"
Anchor,"$3,040.00"
Anchor,"$4,634.00"
Anchor,"$1,980.00"
Anchor,"$4,637.50"
Anchor,"$3,500.00"
Anchor,$810.00
Anchor,"$1,540.00"
Anchor,"$1,251.20"
Anchor,$931.50
Anchor,"$1,920.00"
Anchor,$922.50
Anchor,"$1,286.80"
Anchor,"$3,111.60"
Anchor,"$8,235.00"
Anchor,"$2,160.00"
Anchor,"$1,780.00"
Anchor,"$2,664.00"
Anchor,"$2,180.00"
Anchor,"$1,700.00"
Anchor,"$2,020.80"
Anchor,"$7,500.00"
Anchor,"$2,041.60"
Anchor,"$2,140.00"
Anchor,"$1,440.00"
Anchor,"$5,295.50"
Anchor,"$2,080.00"
Anchor,"$18,608.30"
Anchor,"$4,711.00"
Anchor,"$2,060.00"
Anchor ,"$2,640.00"
Anchor Humeral,"$14,250.00"
Androstenedione,$121.00
Anesthesia Epidural 30Min,$755.00
Anesthesia Epidural Ea Addl 15Min,$57.00
Anesthesia General 30Min,$755.00
Anesthesia General Ea Addl 15Min,$57.00
Anesthesia Local 30Min,$324.00
Anesthesia Local Ea Addl 15Min,$57.00
Anesthesia Mac 30Min,$755.00
Anesthesia Mac Ea Addl 15Min,$57.00
Anesthesia Regional 30Min,$755.00
Anesthesia Regional Ea Addl 15Min,$57.00
Angio Only Fem Pop Artery Unilat,"$11,863.00"
Angio Only Tibial Peroneal Art,"$11,863.00"
Angio Only Tibial Peroneal Art Ea,"$11,863.00"
Angioplast Iliac Artery Addtl,"$11,863.00"
Angioplast Only Iliac Artery Init,"$11,863.00"
Angiotensin 1 Converting,$126.00
Anna Ifa Titer,$123.00
Anti Mullerian Hormone,$146.00
Anti Nmda Antibody Igg Csf,$221.00
Antibody Id Serum,$216.00
Anticoag Citr Dextr-A 1L,$100.00
Anticoag Citr Dextr-A 500mL,$100.00
Antigen Type Patient,$216.00
Antihemophilic Factor VIII Recombinant Inj.,$50.00
Anti-inhibitor Coagulant Complex Inj.,$50.00
Antineutrophil Cytoplasmic Ab,$75.00
Antithrombin Iii Act,$130.00
Antivenin 1g I(Snake),"$7,919.60"
Antivenin 6000unit/2.5mL I(Spider),$174.25
Aortic Extension,"$16,382.50"
Aortic Extension,"$13,569.00"
Aortic Extension,"$13,872.00"
Aortic Extension,"$15,167.50"
Aortic Extension,"$14,460.00"
Api Aerobic Identification,$91.00
Apixaban 2.5mg Tab,$55.00
Apixaban 5mg Tab,$55.00
Apligraft 1 Sq Cm Used,$120.91
Apligraft 1 Sq Cm Wasted,$120.91
Apoe For Alzheimer Risk,$193.00
Apolipoprotein E Genotyping Cr,$193.00
Application Total Contact Cast Lt,$351.00
Application Total Contact Cast Rt,$351.00
Apply High Sub F/H/F Addl 25,$863.00
Apply High Sub F/H/F Init 25,"$1,564.00"
Apply High Sub T/A/L Addl 100,$863.00
Apply High Sub T/A/L Addl 25,$863.00
Apply High Sub T/A/L Init 100,"$2,565.00"
Apply High Sub T/A/L Init 25,"$1,564.00"
Apply Multilayer Compression Bila,$650.00
Apply Multilayer Compression Lt,$325.00
Apply Multilayer Compression Rt,$325.00
Apply Unna Boot Bilateral,$756.00
Apply Unna Boot Lt,$378.00
Apply Unna Boot Rt,$378.00
ApraCloniDINE 0.5% Ophth Soln 5mL(Iopidine),$567.55
ApraCloniDINE 1%  0.1mL Ophth Soln(Iopidine),$498.05
Aprepitant 125mg C (Emend),"$1,902.40"
Aprepitant 40mg C (Emend),$809.15
Aprepitant 80mg C (Emend),"$1,320.25"
Aptt 1 To 1 Mix,$106.00
Arbo Ab Panel E Equine,$161.00
Arbo Ab Panel St Louis,$161.00
Arbo Ab Panel W Equine,$161.00
Arbovirus Antibody Panel Ifa,$161.00
Arformoterol 15mcg/2mL Inhl Soln UD,$0.00
Argatroban 250mg/2.5mL I,"$7,965.20"
Argatroban/NS 1mg/1mL IVPB,"$6,387.10"
Argine Vasopressin,$115.00
ARIPiprazole 10 mg Tab (Abilify),$226.05
ARIPiprazole 15 mg Tab (Abilify),$226.05
ARIPiprazole 2mg T(Abilify),$226.05
ARIPiprazole 5 mg Tab (Abilify),$226.30
Armodafinil 150mg Tab,$177.40
Armodafinil 50mg Tab,$58.95
Arsenic Blood,$48.00
Arsenic Blood,$123.00
Arsenic Fractionated Urine,$192.00
Arsenic Random Urine,$165.00
Arsenic Triox 10mg/10mL I,"$3,425.50"
Arsenic Urine,$27.00
Art Pvr Lowers Rest,"$1,078.00"
Art Pvr Lowers W Ex,"$1,186.00"
Art Pvr Uppers,"$1,078.00"
Art Unilateral Study,$863.00
Arterial Blood Gas For Client,$241.00
Arterial Blood Gases,$241.00
Articulation Kit,"$4,462.50"
Artificial Tear Lubr Soln 15mL,$0.00
Ascorbic Acid 250mg T (Vitamin C),$0.00
Ascorbic Acid 25g I,$50.00
Ascorbic Acid 500mg T(Vitamin C),$0.00
Ascorbic acid-Iron poly50-150mg C(Niferex-150),$0.00
Asparaginase Erwinia Chrysanthemi,"$25,035.45"
Aspartate Aminotransferase,$57.00
Aspergill,$38.00
Aspergillus Ab,$81.00
Aspergillus Antibody,$14.00
Aspergillus Antibody By Cf,$118.00
Aspiration Or Arthrocentesis,"$1,294.00"
Aspiration Or Inject Joint Bursa,"$1,236.00"
Aspirin 10MG 1 ML SOL,$0.00
Aspirin 1MG 1ML SOL,$0.00
Aspirin 300mg Sup,$0.00
Aspirin 325mg EC T(Ecotrin),$0.00
Aspirin 325mg T,$0.00
Aspirin 600mg Sup,$0.00
Aspirin 81mg Chew Tab,$0.00
Aspirin 81mg EC T,$0.00
Aspirin-Dipyridamole 25-200mg ERC,$49.05
Assay Of Serum Albumin,$34.00
Assembly Kit,"$2,560.00"
Atenolol 100mg T(Tenormin),$10.00
Atenolol 25mg T(Tenormin),$10.00
Atenolol 50mg T(Tenormin),$10.00
Atherct Only Tib Per Addtl Vessel,"$20,940.00"
Atherct Tib Per W Angio Initl,"$20,940.00"
Atherect + Place Stent +Ptca Addt,"$20,940.00"
Atherect + Place Stent +Ptca Art,"$20,940.00"
Atherect +Ptca Addtl Branch,"$20,940.00"
Atherect +Ptca Art Or Branch,"$20,940.00"
Atherect Only Fem Pop W Angio,"$20,940.00"
Atomoxetine 10 mg C,$102.20
Atorvastatin 10mg T(Lipitor),$53.10
Atorvastatin 20mg T(Lipitor),$40.85
Atorvastatin 40mg T (Lipitor),$75.75
