"HospitalName","Price","Zip","City","StaffedBeds","GrossPatientRevenue","long","lat","Item","medianIncome","totalPopulation","totalInsured","percentInsured"
"Poplar Bluff Regional Medical Center - Oak Grove",1603.95,63901,"Poplar Bluff",221,1367325,-90.443287,36.788987,"Private Room (Medical/Surgical Unit)",32819,17112,9537,55.7328190743338
"Southeast Hospital",609.41,63701,"Cape Girardeau",222,1083546,-89.54289,37.311756,"Private Room (Medical/Surgical Unit)",42078,39092,24488,62.6419727821549
"Saint Luke's Des Peres Hospital",2476,63122,"St. Louis",88,478258,-90.44815,38.58157,"Private Room (Medical/Surgical Unit)",38664,314867,207106,65.7757084737365
"Capital Region Medical Center",1147,65101,"Jefferson City",114,502476,-92.18203,38.56665,"Private Room (Medical/Surgical Unit)",48132,43092,23670,54.9289891395155
"University of Missouri Hospital",1756,65212,"Columbia",587,2595460,-92.3273683,38.9381449,"Private Room (Medical/Surgical Unit)",47236,118620,81358,68.5870848086326
"Ozarks Medical Center",1104,65775,"West Plains",103,406891,-91.87558,36.738,"Private Room (Medical/Surgical Unit)",34456,12218,6585,53.8958913079064
"Saint Francis Medical Center",1373,63703,"Cape Girardeau",302,1955417,-89.57125,37.30357,"Private Room (Medical/Surgical Unit)",42078,39092,24488,62.6419727821549
"Bothwell Regional Health Center",30,65301,"Sedalia",122,315040,-93.22264,38.699062,"Normal Saline (for IV)",35096,21477,12569,58.5230711924384
"Citizens Memorial Hospital",10,65613,"Bolivar",72,378182,-93.42094,37.626537,"Normal Saline (for IV)",39900,10654,6017,56.4764407734184
"Liberty Hospital",12,64068,"Liberty",207,629356,-94.42488,39.276436,"Normal Saline (for IV)",70066,30602,17993,58.7968106659695
"Mosaic Life Care at Saint Joseph - Medical Center",23,64506,"St. Joseph",352,1235235,-94.77176,39.770138,"Normal Saline (for IV)",45762,76819,44329,57.7057759148127
"Northeast Regional Medical Center",35,63501,"Kirksville",73,320798,-92.59086,40.19272,"Normal Saline (for IV)",27667,17519,11499,65.6373080655289
"Southeast Hospital",34.71,63701,"Cape Girardeau",222,1083546,-89.54289,37.311756,"Normal Saline (for IV)",42078,39092,24488,62.6419727821549
"Pemiscot Memorial Health System",34.5,63851,"Hayti",167,74792,-89.74066,36.236813,"Normal Saline (for IV)",23438,2766,1446,52.2776572668113
"Saint Francis Medical Center",40,63703,"Cape Girardeau",302,1955417,-89.57125,37.30357,"Normal Saline (for IV)",42078,39092,24488,62.6419727821549
"Texas County Memorial Hospital",30,65483,"Houston",47,74237,-91.95923,37.317314,"Normal Saline (for IV)",26496,2428,1145,47.158154859967
